Opponent,W/L,Method,Competition,Weight,Stage,Year
Alan Finfou,L,Referee Decision,European NoGi,ABS,SF,2013
Claudio Mattos,L,Adv,Rio Open,76KG,F,2013
Vitor Oliveira,L,Armbar,American Nationals,ABS,F,2013
Murilo Santana,L,Choke,NoGi Pan American,ABS,SF,2013
Leonardo Vieira,L,Referee Decision,ADCC,77KG,1/4F,2013
Luiz Panza,L,Armbar,Brasileiro NoGi,ABS,F,2013
Marcelo Mafra,L,Referee Decision,NoGi Worlds,76KG,SF,2013
Lucas Leite,L,Adv,NoGi Worlds,ABS,1/4F,2013
Osvaldo Moizinho,L,Adv,Las Vegas Open,76KG,SF,2013
Francisco Iturralde,L,Points,European,76KG,SF,2014
James Puopolo,L,Choke from back,Pan American,ABS,R2,2014
Gianni Grippo,L,Pts: 4x0,NY Spring Open,ABS,F,2014
Sandro Vieira,L,DQ,Brasileiro,76KG,1/4F,2014
Gilbert Burns,L,Points,ADCC Florida,77KG,SPF,2014
Rodolfo Vieira,L,Choke from back,World Champ.,ABS,R2,2014
Roberto Satoshi,L,Choke from back,World Champ.,76KG,1/8F,2014
Josh Hinger,L,Points,Am. Nat. NoGi,ABS,SF,2014
Garry Tonon,L,RNC,No Gi Pan Am.,73KG,SF,2014
Jackson Sousa,L,Armbar,No Gi Pan Am.,ABS,F,2014
Ricardo Rezende,L,Pts: 2x2, Adv,No Gi Worlds,ABS,RDS,2014
Bruno Frazatto,L,Pts: 0x0, Adv,World Expo,ABS,SPF,2014
Otavio Sousa,L,Choke from back,NYC Pro,82KG,SF,2014
AJ Sousa,L,Adv,World Pro Trials,86KG,F,2015
AJ Sousa,L,Pts: 6x2,World Pro Trials,ABS,F,2015
Rafael Pereira,L,Pts: 4x2,European,76KG,1/4F,2015
Bernardo Faria,L,Points,Pan American,ABS,R3,2015
JT Torres,L,Pts: 10x0,Pan American,76KG,F,2015
Lucas Lepri,L,Pts: 2x0,World Pro,75KG,1/4F,2015
Jackson Sousa,L,Pts: 2x0,World Pro,ABS,R1,2015
Sergio Ardilla,L,Pts: 2x0,ADCC Trials,77KG,1/4F,2015
Otavio Sousa,L,RNC,ADCC,77KG,R1,2015
Joao Rocha,L,Referee Decision,ADCC,ABS,R1,2015
Augusto Mendes,L,Referee Decision,Berkut 2,ABS,SPF,2015
Roberto Satoshi,L,Pts: 4x0,World Pro,77KG,SF,2016
Jhonny Loureiro,L,Pts: 4x4, Adv,World Pro,77KG,3RD,2016
Juan Kamezawa,L,Pts: 11x2,Brasileiro,76KG,1/4F,2016
Mansher Khera,L,Points,World Champ.,76KG,R1,2016
Marcio Andre,L,Pts: 2x2, Adv,NoGi Worlds,73KG,SF,2016
Daniel Mendonca,W,Choke,Rome Open,76KG,F,2013
Oliver Geddes,W,Pts: 6x0,Rome Open,76KG,SF,2013
Unknown,W,Armbar,European NoGi,ABS,1/4F,2013
Daniel Mendonca,W,Wristlock,European NoGi,76KG,F,2013
Unknown,W,Choke,Rio Open,76KG,R1,2013
Unknown,W,Points,Rio Open,76KG,1/4F,2013
Theodoro Canal,W,Pts: 2x0,Rio Open,76KG,SF,2013
Choi Choi,W,Pts: 32x0,American Nationals,76KG,1/4F,2013
Choi Choi,W,Pts: 32x0,American Nationals,76KG,1/4F,2013
Oliver Geddes,W,Pts: 4x0,American Nationals,76KG,SF,2013
Antonio Antnioli,W,Pts: 4x0,American Nationals,ABS,1/4F,2013
Samir Chantre,W,Points,American Nationals,ABS,SF,2013
Denny Prokopos,W,Pts: 4x0,NoGi American Nat.,76KG,SF,2013
Diogo Freitas,W,Referee Decision,NoGi American Nat.,76KG,F,2013
