Opponent,W/L,Method,Competition,Weight,Stage,Year
R. Evangelista;L;Adv;Brasileiro;O100KG;SF;2013
Andre Galvao;L;Kneebar;World Champ.;ABS;RDS;2013
Rodrigo Cavaca;L;DQ;World Champ.;O100KG;SF;2013
Victor Estima;L;Estima lock;Pan American;ABS;R3;2014
Andre Galvao;L;Choke from back;Pan American;O100KG;SF;2014
Lucas Lepri;L;Armbar;WP Montreal;ABS;SF;2014
Andre Galvao;L;wristlock;World Pro.;ABS;R2;2014
Bernardo Faria;L;Armbar;World Champ.;ABS;R3;2014
Alexander Trans;L;Pts: 2x0;World Champ.;O100KG;1/4F;2014
Gabriel Lucas;L;Pts: 3x0;No Gi Pan Am.;O100KG;F;2014
AJ Agazarm;L;Pts: 4x2;No Gi Pan Am.;ABS;SF;2014
Keenan Cornelius;L;Pts: 2x2, Adv;No Gi Worlds;ABS;RDS;2014
Yuri Simoes;L;Points;No Gi Worlds;O100KG;SF;2014
Bernardo Faria;L;Kneebar;NYC Pro;O100KG;F;2014
Claudio Calasans;L;Pts: 5x4;Asian Open;ABS;F;2014
James Puopolo;L;Pts: 7x4;Pan American;O100KG;1/4F;2015
Alexander Trans;L;Kneebar;World Champ.;ABS;SF;2015
Joao Assis;L;Heel hook;FIVE SL;ABS;1/4F;2015
Joao Rocha;L;Pts: 3x0;ADCC;O99KG;1/4F;2015
Jonathan Satava;L;Pts: 3x0;US National Pro;ABS;F;2016
Luiz Panza;L;Referee Decision;UAEJJF NYC Pro;O94KG;RR;2016
Thiago Sa;L;Pts: 4x0;UAEJJF NYC Pro;HWABS;SF;2016
Romulo Azevedo;L;Pts: 5x2;UAEJJF NYC Pro;HWABS;3RD;2016
Dany Gerard;L;Choke;Pan American;O100KG;1/4F;2016
Leo Nogueira;L;Pts: 6x0;Pan American;ABS;1/8F;2016
Daniel Garcia;W;Kimura;Team Nationals;O88KG;NA;2012
Tiago Reinaldo;W;Ezekiel;Brasileiro;O100KG;R1;2013
C. de Plastico;W;Points;Brasileiro;O100KG;1/4F;2013
Max Freitas;W;Triangle armbar;World Champ.;ABS;RDS;2013
Renato Cardoso;W;Bow and arrow;World Champ.;ABS;RDS;2013
Orlando Sanchez;W;Pts: 8x0;World Champ.;O100KG;R1;2013
R. Evangelista;W;Pts: 2x0;World Champ.;O100KG;1/4F;2013
Tiago Giussani;W;Choke;Pan American;ABS;R2;2014
Tiago Giussani;W;Triangle;WP Montreal;O100KG;R1;2014
Unknown;W;Triangle;WP Montreal;O100KG;1/4F;2014
Unknown;W;Kimura;WP Montreal;O100KG;SF;2014
Keneth Brown;W;Armbar;WP Montreal;O100KG;F;2014
Tanner Rice;W;Cross choke;WP Montreal;ABS;1/4F;2014
Martin Ottaviano;W;Choke;Copa Podio;ABS;SPF;2014
Igor Silva;W;Points;World Pro.;ABS;R1;2014
Raphael Goulart;W;Choke;World Champ.;ABS;R2;2014
R. Goulart;W;Bow and arrow;World Champ.;ABS;R2;2014
Unknown;W;Triangle;World Champ.;O100KG;R1;2014
Kitner Moura;W;Armbar;World Champ.;O100KG;R2;2014
Bruno Bastos;W;Triangle;No Gi Pan Am.;O100KG;SF;2014
Gabriel Toribio;W;DQ;No Gi Pan Am.;ABS;R1;2014
Enrique Coco;W;Pts: 4x0;No Gi Pan Am.;ABS;1/4F;2014
Gabriel Vieira;W;Pts: 2x0;No Gi Worlds;O100KG;1/4F;2014
Kenneth Brown;W;Triangle;NYC Pro;O100KG;SF;2014
Unknown;W;Choke;Asian Open;ABS;1/4F;2014
Rodrigo Caporal;W;Pts: 10x0;Asian Open;ABS;SF;2014
Charles Gaspar;W;Brabo choke;Asian Open;O100KG;F;2014
Daniel Tsatsos;W;Triangle;Pan American;O100KG;R1;2015
Arnaldo Maidana;W;Triangle;World Champ.;ABS;R1;2015
Leo Nogueira;W;Armbar;World Champ.;ABS;1/8F;2015
Keneth Brown;W;Armbar;World Champ.;O100KG;1/8F;2015
Juskowiak Mateusz;W;Triangle w/ arm;ADCC;O99KG;R1;2015
Jason Lees;W;Palm-to-palm ck.;NoGi Pan Ams;O100KG;SF;2015
Gustavo Elias;W;Pts: 2x2, Adv;NoGi Pan Ams;O100KG;F;2015
Q. Rosenzweig;W;Choke from mount;US National Pro;ABS;SF;2016
Mahamed Aly;W;Pts: 0x0, Adv;UAEJJF NYC Pro;O94KG;RR;2016
Aaron Johnson;W;Cross choke;UAEJJF NYC Pro;HWABS;1/4F;2016
Pablo Lemos;W;Pts: 4x4, Adv;Pan American;O100KG;1/8F;2016
Manuel Ribamar;W;Kimura;Pan American;ABS;R2;2016
