Opponent,W/L,Method,Competition,Weight,Stage,Year
Michael Liera;L;Pts: 10x4;Atlanta Open;82KG;SF;2015
Guybson Sa;L;Points;Atlanta Open;ABS;SF;2015
Tanner Rice;L;Referee Decision;Grand Slam LA;85KG;SF;2015
Roberto Abreu;L;Pts: 6x0;Grand Slam LA;ABS;1/8F;2015
Jaime Canuto;L;Armbar;Pan American;82KG;1/8F;2016
Diogo Sampaio;L;Referee Decision;World Champ.;82KG;R2;2016
Claudio Calasans;L;Pts: 2x0;Asian Open;88KG;F;2016
Gregory Walker;W;Choke from back;Atlanta Open;82KG;1/4F;2015
Pedro Palhares;W;Points;Atlanta Open;ABS;1/4F;2015
Pedro Mello;W;Points;Dallas Open;88KG;SF;2015
Marcos Tinoco;W;Choke from back;Dallas Open;88KG;F;2015
Ryan Golgosky;W;Pts: 0x0, Adv;Grand Slam LA;85KG;1/4F;2015
Matt Baker;W;Clock choke;Grand Slam LA;85KG;3RD;2015
Brian Beaury;W;Armbar;Atlanta Open;88KG;SF;2016
Steven Patterson;W;Adv;Atlanta Open;88KG;F;2016
Ryan Golgosky;W;Pts: 0x0, Adv;Pan American;82KG;R1;2016
Marcelo Cortelassi;W;Choke from back;Asian Open;88KG;1/4F;2016
Nathan Mendelsohn;W;Pts: 2x0;Asian Open;88KG;SF;2016
Joshua Bowling;W;Points;Atlanta S. Open;ABS;F;2016
Andrew Wooten;W;Points;Atlanta S. Open;88KG;F;2016
