Opponent,W/L,Method,Competition,Weight,Stage,Year
Fabricio Werdum,L,Pts: 2x0,ADCC,O99KG,R1,2011
Marcus Almeida,L,Pts: 2x0,Pan American,O100KG,F,2012
Leonardo Leite,L,Pts: 2x0,World Champ.,O100KG,SF,2012
Leo Nogueira,L,Pts: 4x0,European Open,ABS,SF,2013
Gustavo Campos,L,Points,Pan American,ABS,R2,2013
Marcus Almeida,L,Referee Decision,World Champ.,O100KG,SF,2013
Leandro Lo,L,Points,Pan American,ABS,SF,2014
Andre Galvao,L,Adv,Pan American,O100KG,F,2014
Otavio Sousa,L,Pts: 0x0, Adv,World Pro.,ABS,R1,2014
Marcus Almeida,L,Pts: 2x0,World Pro.,O100KG,F,2014
Rodolfo Vieira,L,Choke,World Champ.,ABS,1/4F,2014
Marcus Almeida,L,Choke from back,World Champ.,O100KG,F,2014
Bernardo Faria,L,Pts: 2x0,Pan American,ABS,SF,2015
Marcus Almeida,L,Pts: 2x0,World Pro,O95KG,F,2015
Marcus Almeida,L,Pts: 0x0, Adv,World Pro,ABS,F,2015
Felipe Pena,L,Pts: 2x0,World Pro,ABS,SF,2016
Joao Rocha,L,Referee Decision,World Champ.,O100KG,1/4F,2016
Felipe Pena,L,Pts: 2x0,World Champ.,ABS,1/8F,2016
Leandro Lo,L,Pts: 2x0,Copa Podio,105KG,F,2016
Andre Campos,W,Pts: 0x0, Adv,European Open,O100KG,SF,2012
T. Gaia,W,Choke,European Open,O100KG,F,2012
Michael Schuss,W,Submission,Pan American,O100KG,1/4F,2012
R. Evangelista,W,Toe Hold,Pan American,O100KG,SF,2012
Antonio Peinado,W,Points,Brasileiro,O100KG,SF,2012
T. Gaia,W,Points,Brasileiro,O100KG,F,2012
Rodrigo Comprido,W,Pts: 2x2, Adv,World Champ.,O100KG,1/4F,2012
Lucio Rodrigues,W,Points,European Open,ABS,1/4F,2013
Vedran Ikic,W,Choke from back,European Open,O100KG,1/4F,2013
Leo Nogueira,W,Pts: 5x2,European Open,O100KG,SF,2013
Rodrigo Cavaca,W,Pts: 3x0,European Open,O100KG,F,2013
Roberto Roberto,W,Referee Decision,World Champ.,O100KG,1/4F,2013
Thomas Johanssen,W,Footlock,European,ABS,1/4F,2014
Fabiano Leite,W,Adv,European,ABS,SF,2014
Yuri Simoes,W,Armbar,European,ABS,F,2014
Unknown,W,Submission,Pan American,ABS,R3,2014
Keenan Cornelius,W,Pts: 3x2,Pan American,ABS,1/4F,2014
Rafael Goulart,W,Choke from back,Pan American,O100KG,1/4F,2014
Leo D'Avila,W,Choke from back,Pan American,O100KG,SF,2014
Rodrigo Cavaca,W,Pts: 0x0, Adv,World Pro.,O100KG,SF,2014
William Lima,W,Kneebar,World Champ.,ABS,R2,2014
Murilo Santana,W,Pts: 6x2,World Champ.,ABS,RD 4,2014
Abraham Marte,W,Pts: 2x0,World Champ.,O100KG,1/4F,2014
Morrys Ayala,W,N/A,Pan American,ABS,R2,2015
Erberth Santos,W,Pts: 6x4,Pan American,ABS,R3,2015
Otavio Sousa,W,Points,Pan American,ABS,1/4F,2015
Kitner Moura,W,Armbar,Pan American,O100KG,1/4F,2015
Luis Panza,W,Pts: 6x2,Pan American,O100KG,SF,2015
James Puopolo,W,Kneebar,Pan American,O100KG,F,2015
Pablo Anastacio,W,Armbar,World Pro,O95KG,R1,2015
Rodrigo Cavaca,W,Pts: 2x0,World Pro,O95KG,1/4F,2015
Igor Silva,W,Toe hold,World Pro,O95KG,SF,2015
Unknown,W,Kneebar,World Pro,ABS,R1,2015
Unknown,W,Armbar,World Pro,ABS,R3,2015
Jackson Sousa,W,Toe hold,World Pro,ABS,1/4F,2015
Keenan Cornelius,W,Pts: 2x0,World Pro,ABS,SF,2015
Gustavo Elias,W,Points,World Champ.,ABS,R1,2015
Murilo Santana,W,Pts: 2x0,World Champ.,ABS,1/8F,2015
Abraham Marte,W,Kneebar,World Champ.,ABS,SF,2015
T. Gaia,W,Kneebar,World Champ.,O100KG,1/8F,2015
Rodrigo Cavaca,W,Pts: 4x2,World Champ.,O100KG,1/4F,2015
Roberto Abreu,W,Pts: 0x0, Adv,World Pro,ABS,R2,2016
Andre Campos,W,Pts: 2x0,World Pro,ABS,1/8F,2016
Keenan Cornelius,W,Pts: 0x0, Adv,World Pro,ABS,1/4F,2016
Antonio Junior,W,Pts: 6x0,World Pro,O94KG,R1,2016
Mahamed Aly,W,Pts: 4x0,World Champ.,ABS,R2,2016
Braulio Estima,W,Pts: 6x0,Copa Podio,ABS,SPF,2016
Nelton Pontes,W,Pts: 6x0,Copa Podio,105KG,RR,2016
Rodrigo Cavaca,W,Pts: 2x0,Copa Podio,105KG,RR,2016
Gabriel Lucas,W,Pts: 9x0,Copa Podio,105KG,RR,2016
Diego Borges,W,Pts: 6x0,Copa Podio,105KG,RR,2016
F. Trovo,W,Pts: 2x0,Copa Podio,105KG,SF,2016
