Opponent,W/L,Method,Competition,Weight,Stage,Year
Braulio Estima;L;Submission;World Champ.;94KG;SF;2009
Bernardo Faria;L;Pts: 4x0;World Champ.;ABS;SF;2011
Renan Vital;L;N/A;World Champ.;94KG;RDS;2011
Andre Galvao;L;Pts: 16x0;F4F Nogi;ABS;NA;2011
Claudio Calasans;L;N/A;Pan Am CBJJE;ABS;SF;2011
Tarsis Humphreys;L;Pts: 2x0;Gramado Trials;94KG;SF;2012
Romulo Barral;L;Referee Decision;Brasileiro;ABS;R1;2012
Leandro Lo;L;Pts: 0x0, Adv;World Champ.;ABS;R2;2012
Rodolfo Vieira;L;Choke from Back;World Champ.;94KG;SF;2012
Rodolfo Vieira;L;Choke;Copa Podio;100KG;GP;2013
Alexandre Ribeiro;L;Armbar;Copa Podio;100KG;GP;2013
Leo Nogueira;L;Choke;Copa Podio;100KG;GP;2013
Rafael Lovato;L;N/A;Brasileiro;ABS;SF;2013
Felipe Pena;L;Pts: 7x0;Copa Podio;88KG;GP;2013
Davi Ramos;L;Toe hold;Copa Podio;88KG;GP;2013
Kit Dale;L;Pts: 2x0;Copa Podio;88KG;GP;2013
James Puopolo;L;Pts: 3x0;World Champ.;ABS;RDS;2013
John Slater;L;Points;Pan American;94KG;1/8F;2014
Paulo Miyao;L;Pts: 2x2, Adv;Brasileiro;ABS;R1;2014
Kitner Moura;L;Points;Pan American;ABS;R2;2015
Rodrigo Silva;L;Pts: 6x4;Pan American;94KG;R2;2015
Arturo Espies;L;Pts: 0x0, Adv;World Pro;ABS;R1;2016
Leo Nogueira;L;Pts: 0x0, Adv;World Champ.;100KG;F;2016
Bernardo Faria;L;Dogbar/Kneebar;World Champ.;ABS;1/8F;2016
Leo Nogueira;L;Bow and arrow;IBJJF Pro GP;ABS;1/4F;2016
Roberto Abreu;W;Pts: 4x4, Adv;World Champ.;94KG;1/4F;2009
Rodolfo Vieira;W;Adv;WPC Gr trials;92KG;F;2010
Romulo Barral;W;Pts: 3x2;World Pro.;92KG;F;2010
Leo Nogueira;W;Pts: 5x2;Brasileiro;94KG;F;2010
Cassio Francis;W;Points;Panamericano;ABS;NA;2011
Pedro Macedo;W;Submission;World Champ.;ABS;R2;2011
Roberto Abreu;W;Adv;World Champ.;ABS;R2;2011
Rodrigo Caporal;W;Pts: 3x0;World Champ.;ABS;1/4F;2011
Nivaldo Oliveira;W;Points;Pan Am CBJJE;ABS;NA;2011
