Opponent,W/L,Method,Competition,Weight,Stage,Year
Daniel Simoes;L;Referee Decision;Brasileiro;O100KG;F;1999
Fernando Margarida;L;Armbar;World Champ.;ABS;1/4F;2000
Marcelo Garcia;L;Pts: 2x2, Adv;Team Nationals;O88KG;1/4F;2003
Alex. Cacareco;L;Pts: 4x0;Copa Cyclone;ABS;SPF;2005
Robert Drysdale;L;Adv;Team Nationals;O88KG;F;2006
Gabriel Gonzaga;W;Points;Brasileiro;O100KG;SF;1999
Rodrigo Ribeiro;W;Points;Brasileiro;100KG;SF;2001
Leandro Lima;W;N/A;Brasileiro;100KG;F;2001
Rodrigo Ribeiro;W;Points;Brasileiro;100KG;SF;2001
Alfredo da Silva;W;Toe hold;World Champ.;100KG;1/4F;2002
Mauro Santos;W;N/A;World Champ.;100KG;SF;2002
Marcel Louzado;W;Adv;Brasileiro;ABS;R1;2002
Demian Maia;W;Points;Brasileiro;ABS;1/4F;2002
Marcelo Garcia;W;Pts: 9x0;Brasileiro;ABS;SF;2002
Felipe Pederneiras;W;N/A;Brasileiro;ABS;F;2002
Rodrigo Comprido;W;Points;Pan American;100KG;SF;2002
Roberto Tozi;W;Points;Pan American;100KG;F;2002
Marcelinho Garcia;W;Armbar;Team Nationals;O88KG;F;2002
Chico Melo;W;Triangle;Rip Dorey;ABS;SPF;2002
Daniel Moraes;W;Points;Estadual RJ;88KG;1/4F;2002
Sergio Canudo;W;Toe hold;Estadual RJ;88KG;SF;2002
Raphael Abi-Rihan;W;Points;Estadual RJ;88KG;F;2002
Marcelo Garcia;W;Points;World Champ.;ABS;1/4F;2003
Amal Easton;W;Pts: 15x0;Brazil vs USA;ABS;SPF;2003
Unknown;W;N/A;Pan American;O100KG;1/4F;2003
Fabricio Werdum;W;Toe hold;Pan American;O100KG;SF;2003
Gabriel Gonzaga;W;Pts: 2x0;BB Challenge 3;O100KG;SPF;2004
Diego Latorre;W;Pts: 10x0;BB Challenge 3;100KG;SPF;2004
Marcio Corleta;W;Pts: 8x0;Pan American;O100KG;F;2004
Fernando Terere;W;Points;Estadual RJ;ABS;1/4F;2004
Denis Gomes;W;Choke;Cyclone;ABS;SPF;2005
Leonardo Chocolate;W;Points;Rip Dorey;ABS;SPF;2005
Rodrigo Riscado;W;Points;ADCC Trials;100KG;SF;2005
Bruno Bastos;W;Points;ADCC Trials;100KG;F;2005
Rodrigo Oliveira;W;Guillotine;JetPower;ABS;SPF;2005
Unknown;W;Points;World Champ.;88KG;R1;2006
Raphael Abi-Rihan;W;Referee Decision;World Champ.;88KG;1/4F;2006
