Opponent,W/L,Method,Competition,Weight,Stage,Year
Roberto Correa,L,Points,Pan American,88KG,SF,2001
Jefferson Moura,L,Injury,World Champ.,94KG,1/4F,2002
Marcio Cruz,L,Pts: 2x0,World Champ.,ABS,SF,2002
A. Cacareco,L,Leg lock,ADCC,99KG,SF,2003
Roger Gracie,L,Pts: 3x0,ADCC,99KG,3PLC,2003
Marcio Cruz,L,Referee Decision,Best Fighters,ABS,SPF,2004
Fernando Margarida,L,Pts: 2x2, Adv,World Cup,ABS,1/4F,2004
Marcio Cruz,L,Pts: 2x0,Pan American,ABS,F,2005
Roger Gracie,L,RNC,ADCC,99KG,SF,2005
Roger Gracie,L,RNC,ADCC,ABS,SF,2005
Marcelo Garcia,L,RNC,ADCC,ABS,3PLC,2005
Roger Gracie,L,Pts: 12x2,World Champ.,100KG,F,2005
Braulio Estima,L,Pts: 5x4,World Champ.,ABS,R1,2005
Roger Gracie,L,Triangle,Pan American,ABS,F,2006
David Avellan,L,Referee Decision,ADCC,ABS,R1,2007
Romulo Barral,L,Pts: 0x0, Adv,World Champ.,ABS,SF,2007
Braulio Estima,L,Injury,ADCC,ABS,F,2009
Bernardo Faria,L,Pts: 2x0,World Champ.,94KG,F,2010
Romulo Barral,L,Pts: 0x0, Adv,World Champ.,ABS,SF,2010
Joao Assis,L,Points,GQ WBG,ABS,F,2010
Lucio Rodrigues,L,Points,World Pro.,O92KG,1/4F,2011
Joao Assis,L,RNC,ADCC,99KG,SF,2011
Pablo Popovitch,L,Referee Decision,ADCC,ABS,SF,2011
Andre Galvao,L,Pts: 2x0,World Pro.,ABS,SF,2012
Leo Nogueira,L,Pts: 4x0,World Champ.,ABS,1/4F,2012
Rodolfo Vieira,L,Pts: 2x2, Adv,World Champ.,94KG,F,2012
Leo Nogueira,L,Adv,Copa Podio,100KG,GP,2013
Rodolfo Vieira,L,Pts: 6x0,Copa Podio,100KG,GP,2013
Lucas Leite,L,Referee Decision,World Champ.,94KG,SF,2013
Rodolfo Vieira,L,Pts: 6x0,ADCC,99KG,SF,2015
Mahamed Aly,L,Pts: 2x0, Adv,IBJJF Pro GP,ABS,1/4F,2016
Felipe Pena,L,Pts: 4x2,Grand Slam Tokyo,94KG,F,2016
Marcio Corleta,W,Points,Pan American,ABS,R1,2001
Rodrigo Boni,W,Points,Pan American,ABS,1/4F,2001
Cassio Werneck,W,Points,Pan American,ABS,SF,2001
Fabio Leopoldo,W,Pts: 4x2,Pan American,ABS,F,2001
Roberto Ferreira,W,Choke,World Champ.,ABS,R1,2002
Adriano Maciel,W,Points,World Champ.,ABS,1/4F,2002
Pablo Popovitch,W,Triangle,Grapplers Quest,ABS,1/4F,2002
Todd Margolis,W,Points,Grapplers Quest,ABS,SF,2002
Jeff Monson,W,Armbar,Grapplers Quest,ABS,F,2002
Erik Paulson,W,Points,ADCC,99KG,R1,2003
Dean Lister,W,Pts: 8x0,ADCC,99KG,1/4F,2003
Lenio Montanha,W,Choke from back,Golden Cup,94KG,1/4F,2004
Eduardo Telles,W,Pts: 0x0, Adv,Golden Cup,94KG,SF,2004
Dennis Gomes,W,Omoplata,Golden Cup,94KG,F,2004
Marcelo Garcia,W,Pts: 6x0,Brasileiro,ABS,F,2004
Jefferson Moura,W,Pts: 3x0,Brasileiro,94KG,F,2004
Jefferson Moura,W,Pts: 2x0,World Champ.,94KG,F,2004
Rogerio Passos,W,Armbar,World Cup,100KG,1/4F,2004
Erik Wanderlei,W,Pts: 6x0,World Cup,100KG,F,2004
Michael Groth,W,Armbar,ADCC,99KG,R1,2005
Jamal Peterson,W,Pts: 2x0,ADCC,99KG,1/4F,2005
John Einimo,W,Pts: 6x0,ADCC,99KG,3PLC,2005
Antoine Joude,W,N/A,ADCC,ABS,R1,2005
Gabriel Napao,W,RNC,ADCC,ABS,1/4F,2005
Eduardo Telles,W,Pts: 4x2,World Cup,100KG,1/4F,2005
Ricardo Abreu,W,Armbar,World Cup,100KG,SF,2005
Roberto Tozi,W,Pts: 2x2, Adv,World Cup,100KG,F,2005
Bruno Bastos,W,Choke from back,World Cup,O75KG,1/4F,2005
Fernando Margarida,W,Pts: 9x2,World Cup,O75KG,SF,2005
Ronaldo Souza,W,Pts: 2x0,World Cup,O75KG,F,2005
Roberto Abreu,W,Armbar,World Champ.,100KG,R1,2005
Ricardo Morais,W,Wristlock,World Champ.,100KG,1/4F,2005
Rodrigo Comprido,W,Armbar,World Champ.,100KG,SF,2005
Diego Balouta,W,Kimura,Pan American,100KG,SF,2006
Roger Gracie,W,Pts: 0x0, Adv,Pan American,100KG,F,2006
Jorge Vidal,W,Ezekiel,Pan American,ABS,R1,2006
Demian Maia,W,Pts: 0x0, Adv,Pan American,ABS,1/4F,2006
Braulio Estima,W,Points,Pan American,ABS,SF,2006
Fabio Romao,W,Triangle,World Champ.,94KG,R1,2006
Helvecio Penna,W,Triangle,World Champ.,94KG,1/4F,2006
Carlos Eduardo,W,Baseball choke,World Champ.,94KG,SF,2006
T. Gaia,W,Choke from back,World Champ.,94KG,F,2006
Tarsis Humphreys,W,Points,World Champ.,ABS,1/4F,2006
Roberto Abreu,W,Cross ck. f/ mount,World Champ.,ABS,SF,2006
Roger Gracie,W,Pts: 4x4, Adv,World Champ.,ABS,F,2006
Vladimir Matyushenko,D,---,LA Sub-X,ABS,SPF,2006
Yukissyu Ozawa,W,Submission,ADCC,99KG,R1,2007
Tim Carpenter,W,Kimura,ADCC,99KG,1/4F,2007
Robert Drysdale,W,Points,ADCC,99KG,SF,2007
Braulio Estima,W,Points,ADCC,99KG,F,2007
Roberto Godoi,W,Triangle,World Champ.,94KG,1/4F,2007
Flavio Almeida,W,Points,World Champ.,94KG,SF,2007
Roberto Alencar,W,Ezekiel,World Champ.,94KG,F,2007
Roberto Abreu,W,Ezekiel,World Champ.,ABS,R1,2007
Joao Cunha,W,Armbar,World Champ.,ABS,R2,2007
Andre Galvao,W,Pts: 2x0,World Champ.,ABS,1/4F,2007
David Avellan,W,Pts: 8x0,Super Challenge,ABS,R1,2007
Cristiano Lazzarini,W,Pts: 3x0,Super Challenge,ABS,1/4F,2007
Andre Galvao,W,Referee Decision,Super Challenge,ABS,SF,2007
Luiz Theodoro,W,Referee Decision,Super Challenge,ABS,F,2007
Hugo Carioni,W,Triangle,World Champ.,94KG,1/4F,2008
Tarsis Humphreys,W,Pts: 2x0,World Champ.,94KG,SF,2008
Alexandre Souza,W,Pts: 3x2,World Champ.,94KG,F,2008
Hugo Carioni,W,Armbar,World Champ.,ABS,R1,2008
Raul Castillo,W,Choke,World Champ.,ABS,R2,2008
Braga Neto,W,Ezekiel,World Champ.,ABS,1/4F,2008
Gabriel Vella,W,Points,World Champ.,ABS,SF,2008
Roger Gracie,W,Pts: 4x2,World Champ.,ABS,F,2008
Ilir Latifi,W,Points,ADCC,99KG,R1,2009
Radek Turek,W,RNC,ADCC,99KG,1/4F,2009
