Opponent,W/L,Method,Competition,Weight,Stage,Year
Royler Gracie;L;N/A;Brasileiro;70KG;F;1994
Joao Roque;L;Pts: 4x2;Pan American;70KG;SF;1996
Royler Gracie;L;N/A;World Champ.;70KG;SF;1997
Vitor Shaolin;L;Pts: 5x0;Team Nationals;88KG;SF;1997
Marco Barbosa;L;Points;Brasileiro;70KG;F;1999
Royler Gracie;L;Leglock;ADCC;66KG;F;1999
BJ Penn;L;Points;World Champ.;70KG;1/4F;2000
Royler Gracie;L;Pts: 5x0;ADCC;66KG;F;2000
Baret Yoshida;L;Leglock;ADCC;66KG;SF;2001
Robson Moura;L;Points;ADCC;66KG;3PLC;2001
Baret Yoshida;L;Pts: 9x6;ADCC;66KG;SF;2003
Royler Gracie;L;Pts: 8x0;ADCC;66KG;3PLC;2003
Mario Reis;L;Pts: 8x4;World Champ.;70KG;F;2003
Unknown;W;Triangle;Brasileiro;70KG;1/4F;1994
Marcelo Mendes;W;Armbar;Brasileiro;70KG;SF;1994
Eduardo Tita;W;Armbar;Pan American;70KG;1/4F;1996
Marcelo Telo;W;Choke from back;Brasileiro;70KG;1/4F;1996
Paulo Coelho;W;Points;Brasileiro;70KG;SF;1996
Wellington Dias;W;Points;World Champ.;70KG;1/4F;1997
Trevor Lally;W;Armbar;ADCC;66KG;1/4F;1998
Marc;W;Armbar;ADCC;66KG;SF;1998
Robin Gracie;W;Choke;ADCC;66KG;F;1998
Vinicius Cruz;W;Choke;Brasileiro;70KG;R1;1999
Robson Moura;W;Choke from back;Brasileiro;70KG;1/4F;1999
Octavio Couto;W;Points;Brasileiro;70KG;SF;1999
T. Hirono;W;Armbar;ADCC;66KG;R1;1999
Vinicius Draculino;W;Pts: 2x0;ADCC;66KG;1/4F;1999
Sasha Palvski;W;Choke;ADCC;66KG;SF;1999
Fernando Lopes;W;Choke;Pan American;70KG;SF;2000
Edson Diniz;W;Choke from back;Pan American;70KG;F;2000
T. Yano;W;Pts: 10x0;ADCC;66KG;R1;2000
Sasha Plavski;W;Points;ADCC;66KG;1/4F;2000
Joe Gilbert;W;RNC;ADCC;66KG;SF;2000
Y. Kinishi;W;Guillotine;ADCC;66KG;R1;2001
T. Yano;W;Guillotine;ADCC;66KG;1/4F;2001
K. Hirate;W;N/A;ADCC;66KG;R1;2003
Joaquim Hansen;W;Guillotine;ADCC;66KG;1/4F;2003
Unknown;W;Choke from back;World Champ.;70KG;R1;2003
Wellington Dias;W;Choke from back;World Champ.;70KG;1/4F;2003
Reinaldo Ribeiro;W;Pts: 7x4;World Champ.;70KG;SF;2003
Yuki Nakai;W;Points;G1-02 Pro League;70KG;SPF;2003
