Opponent,W/L,Method,Competition,Weight,Stage,Year
Roberto Roleta;L;Pts: 2x0;World Champ.;88KG;SF;1999
Kareem Barkalev;L;Pts: 2x0;ADCC;88KG;1/4F;1999
Fabio Gurgel;W;Adv;World Champ.;ABS;SF;1996
Alexandre Paiva;W;Pts: 5x0;World Champ.;ABS;1/4F;1997
Royler Gracie;W;Pts: 2x0;World Champ.;ABS;SF;1997
Fabio Gurgel;W;Adv;World Champ.;ABS;F;1997
Ryan Gracie;W;Pts: 6x0;Brasileiro;88KG;1/4F;1998
Anderson Xavier;W;Points;Brasileiro;88KG;SF;1998
Astregesio Reis;W;Points;Brasileiro;ABS;R1;1999
Akira Shouji;W;Pts: 5x0;ADCC;88KG;R1;1999
