Opponent,W/L,Method,Competition,Weight,Stage,Year
Osvaldo Moizinho;L;DQ;American Nat.;76KG;F;2014
Gabriel Rollo;L;Choke from back;World Champ.;76KG;1/8F;2015
Gabriel Rollo;L;Pts: 4x4, Adv;Pan American;76KG;1/4F;2016
Jimmy Tat;W;Points;American Nat.;76KG;1/4F;2014
Rodrigo Freitas;W;Omoplata;American Nat.;76KG;SF;2014
Wellington Dias;W;Omoplata;Long Beach Open;76KG;F;2014
Jonatas Gurgel;W;Adv;Pan American;76KG;R1;2015
Juan Kamezawa;W;Pts: 4x4, Adv;Pan American;76KG;R2;2015
Thiago Abreu;W;Pts: 0x0, Adv;Pan American;76KG;1/4F;2015
Thimothy Lee;W;Points;Las Vegas Open;76KG;1/4F;2015
Della Monica;W;Adv;Las Vegas Open;76KG;SF;2015
Omar French;W;Bow and arrow;Las Vegas Open;76KG;F;2015
Rafael Henrique;W;Kneebar;World Champ.;76KG;R1;2015
Josh Whincey;W;Omoplata;Sub Series Pro;ABS;SPF;2015
Bruno Amorim;W;Omoplata;Asian Open;82KG;1/4F;2015
Hansel ko;W;Kneebar;Asian Open;82KG;SF;2015
Rodrigo Caporal;W;Pts: 8x4;Asian Open;82KG;F;2015
Matias Simonelli;W;Pts: 16x4;Pan American;76KG;1/8F;2016
