Opponent,W/L,Method,Competition,Weight,Stage,Year
Rodolfo Vieira,L,Points,World Pro.,92KG,SF,2011
Andre Galvao,L,Points,World Pro.,ABS,1/4F,2011
Rafael Lovato,L,Triangle,World Champ.,ABS,R2,2011
Bernardo Faria,L,Pts: 10x5,Pan American,O100KG,F,2012
Alexandre Ribeiro,L,Armbar,World Pro.,99KG,SF,2012
Leo Nogueira,L,Pts: 9x2,World Champ.,ABS,SF,2012
Bernardo Faria,W,Triangle-armbar,World Pro.,92KG,1/4F,2011
Fabiano Boi,W,Pts: 2x0,Brasileiro,100KG,NA,2011
Ryan Beuregard,W,Pts: 6x2,World Champ.,ABS,R1,2011
Roberto Alencar,W,Pts: 4x2,World Champ.,94KG,1/4F,2011
Ben Baxter,W,Choke,Pan American,ABS,R1,2012
Leandro Lo,W,Flying triangle,Pan American,ABS,R2,2012
Wander Costa,W,Verbal tap,Pan American,ABS,1/4F,2012
Bernardo Faria,W,Pts: 4x2,Pan American,ABS,SF,2012
David Gill,W,Submission,Pan American,O100KG,1/4F,2012
Felipe Bueno,W,RNC,Pan American,O100KG,SF,2012
Marcel Fortuna,W,N/A,World Pro.,99KG,1/4F,2012
Antonio Peinado,W,Kimura,Brasileiro,ABS,1/4F,2012
Romulo Barral,W,Pts: 4x0,Brasileiro,ABS,SF,2012
Leandro Lo,W,Pts: 2x2, Adv,World Champ.,ABS,R2,2012
Romulo Barral,W,Pts: 2x0,World Champ.,ABS,1/4F,2012
James Puopolo,W,Points,World Champ.,100KG,R2,2012
