Opponent,W/L,Method,Competition,Weight,Stage,Year
Bruno Bastos,L,Pts: 2x1,Copa Cyclone,99KG,SPF,2006
Rafael Lovato,L,Pts: 4x2,Brasileiro,100KG,SF,2007
Cristiano Tide,L,Guillotine,ADCC Trials,99KG,F,2007
Robert Drysdale,L,Pts: 4x0,World Champ.,100KG,SF,2007
Alexandre Souza,L,Pts: 0x0, Adv,Brasileiro,ABS,F,2008
Alexandre Ribeiro,L,Ezekiel,World Champ.,ABS,1/4F,2008
Roberto Alencar,L,Points,NoGi Worlds,ABS,F,2009
Rodolfo Vieira,L,Choke from back,WPC RJ Trials,92KG,SF,2010
Bernardo Faria,L,Pts: 2x0,Pan American,ABS,F,2010
Roberto Abreu,L,Triangle,World Champ.,O100KG,SF,2010
Marcus Almeida,L,Toe hold,World Pro.,O92KG,1/4F,2011
Marcus Almeida,L,Bow and arrow,World Champ.,ABS,1/4F,2011
Andre Galvao,L,Pts: 2x0,Ultimate Abs.,ABS,1/4F,2011
Joao Assis,L,Footlock,ADCC,99KG,1/4F,2011
Sergio Moraes,L,Footlock,ADCC,ABS,R1,2011
Marcus Almeida,L,Botinha,World Pro.,O99KG,F,2012
Leo Nogueira,L,Pts: 7x0,Copa Podio,100KG,SF,2013
Unknown,W,Choke,Team Nationals,O88KG,1/4F,2006
Igor Silva,W,Choke,Team Nationals,O88KG,F,2006
Unknown,W,Kimura,ADCC Trials,99KG,1/4F,2007
Unknown,W,Points,ADCC Trials,99KG,SF,2007
Rafael Lovato,W,Pts: 2x2, Adv,World Champ.,ABS,R1,2007
Otavio Sousa,W,Adv,Brasileiro,ABS,1/4F,2008
Augusto Ferrari,W,Choke,Brasileiro,ABS,SF,2008
T. Gaia,W,Omoplata,Brasileiro,100KG,F,2008
Marcel Fortuna,W,Kimura,World Champ.,100KG,SF,2008
Rafael Lovato,W,Pts: 5x0,World Champ.,100KG,F,2008
Adriano Comolese,W,Points,NoGi Worlds,100KG,SF,2008
Roberto Abreu,W,Pts: 6x0,NoGi Worlds,100KG,F,2008
Gabriel Vella,W,Pts: 2x2, Adv,NoGi Worlds,ABS,F,2008
Roberto Abreu,W,Choke from back,Pan American,100KG,F,2009
M. Vinhas,W,Calf slicer,Pan American,ABS,1/8F,2009
Romulo Barral,W,N/A,Pan American,ABS,SF,2009
Otavio Sousa,W,Pts: 3x0,Pan American,ABS,F,2009
Antonio Peinado,W,N/A,NoGi Worlds,100KG,SF,2009
Rafael Lovato,W,Pts: 0x0, Adv,NoGi Worlds,100KG,F,2009
Marcel Fortuna,W,Points,California Open,ABS,SF,2010
Diego Herzog,W,N/A,California Open,ABS,F,2010
Guybson Sa,W,Wristlock,Pan American,100KG,1/4F,2010
Roberto Alencar,W,Choke from back,Pan American,100KG,SF,2010
Bruno Bastos,W,Points,Pan American,ABS,R1,2010
Matt Jubera,W,Choke from back,Pan American,ABS,R2,2010
Daniel Azevedo,W,Points,Pan American,ABS,1/4F,2010
Antonio Peinado,W,Points,Pan American,ABS,SF,2010
Stephen Hall,W,Cross ck. f/ mount,World Champ.,O100KG,R1,2010
Marcio Corletta,W,DQ,World Champ.,O100KG,1/4F,2010
Unknown,W,Adv,World Pro Trials,92KG,1/4F,2011
Rigoney Castro,W,Omoplata,World Pro Trials,92KG,SF,2011
Alexandro Ceconi,W,Pts: 11x0,World Pro Trials,92KG,F,2011
Big Mac,W,Points,Pan American,O100KG,SF,2011
Antonio Peinado,W,Pts: 2x0,Pan American,O100KG,F,2011
Roberto Alencar,W,Referee Decision,World Champ.,ABS,R2,2011
Luiz Ribeiro,W,N/A,World Champ.,O100KG,RDS,2011
Mick Wilson,W,Toe Hold,World Champ.,O100KG,1/4F,2011
Roberto Abreu,W,Pts: 9x0,World Champ.,O100KG,SF,2011
Rodrigo Cavaca,W,Pts: 7x0,World Champ.,O100KG,F,2011
Unknown,W,N/A,WJJPC Trials,ABS,SF,2011
Andre Galvao,W,Pts: 7x0,WJJPC Trials,ABS,F,2011
Igor Praporschchikov,W,Triangle,ADCC,99KG,R1,2011
Peter Roberts,W,Choke from back,World Pro.,O99KG,1/4F,2012
R. Evangelista,W,Pts: 5x2,World Pro.,O99KG,SF,2012
Bruno Bastos,W,Pts: 11x0,Copa Podio,100KG,GP,2013
Lucio Rodrigues,W,Pts: 3x0,Copa Podio,100KG,GP,2013
Alexandre Souza,W,Pts: 2x2,Copa Podio,100KG,GP,2013
Joao Rocha,W,Pts: 2x0,Copa Podio,100KG,GP,2013
Joao Rocha,W,Points,World Pro,100KG,SF,2013
Jose Junior,W,Pts: 2x0,World Pro,100KG,F,2013
