Opponent,W/L,Method,Competition,Weight,Stage,Year
Saulo Ribeiro;L;Adv;World Champ.;82KG;F;1997
Rodrigo Comprido;L;Kimura;World Champ.;ABS;1/4F;2000
Fernando Terere;L;Pts: 2x0;World Champ.;82KG;F;2000
Fernando Margarida;L;Injury;Rickson Cup;ABS;F;2000
Saulo Ribeiro;L;Pen;ADCC;88KG;SF;2001
Andre Galvao;L;Clock choke;World Champ.;82KG;SF;2006
Vitor Shaolin;L;Pts: 8x0;World Expo;ABS;SPF;2014
Jorge Patino;W;Triangle;Brasileiro;82KG;F;1995
Alexandre Paiva;W;Pts: 2x0;World Champ.;82KG;SF;1997
Mario Pierro;W;Choke;Estadual RJ;82KG;F;1998
Unknown;W;Submission;World Champ.;88KG;1/4F;1998
Rinaldo Santos;W;Footlock;World Champ.;88KG;SF;1998
Pedro Duarte;W;Armbar;Oscar de JJ;ABS;SPF;1998
Magrao;W;Pts: 11x0;Pan American;ABS;1/4F;1999
Mario Esfiha;W;Armbar;Pan American;ABS;SF;1999
Claudio Moreno;W;Armbar;Pan American;88KG;1/4F;1999
Nilson Niboni;W;Armbar;Pan American;88KG;SF;1999
Jorge Patino;W;kneebar;Rickson Cup;ABS;GP;2000
Marcus Silva;W;Adv;Rickson Cup;ABS;GP;2000
Fernando Margarida;W;Pts: 5x0;Rio x Sao Paulo;ABS;SPF;2000
A. Cacareco;W;Points;ADCC Trials;87KG;F;2001
Akihiro Gono;W;RNC;ADCC;88KG;R1;2001
Alexander Savko;W;Omoplata;ADCC;88KG;1/4F;2001
Egan Inoue;W;Points;ADCC;88KG;3PLC;2001
Rodrigo Teixeira;W;Armbar;FFA (IGJJF);82KG;SPF;2003
Eduardo Rios;W;Pts: 8x4;World Champ.;82KG;1/4F;2006
