Opponent,W/L,Method,Competition,Weight,Stage,Year
Yuri Simoes,L,Pts: 17x0,Pan American,94KG,1/8F,2014
Osvaldo Moizinho,L,Omoplata,Dallas Open,ABS,1/4F,2014
Keenan Cornelius,L,Darce choke,No Gi Worlds,88KG,F,2014
Yuri Simoes,L,Points,JJ World League,94KG,SF,2015
Yuri Simoes,L,Armbar,SF Open,ABS,1/4F,2015
Diego Herzog,L,Pts: 0x0, Adv,SF Open,94KG,SF,2015
Pedro Mello,L,Kneebar,Pan American,88KG,1/4F,2015
Leo Nogueira,L,Pts: 6x2,Boca Raton Open,100KG,F,2015
Abraham Marte,L,Triangle,World Champ.,ABS,R1,2015
Alexandre Ribeiro,L,Choke,World Champ.,94KG,1/8F,2015
Keenan Cornelius,L,Armbar,Dallas Open,ABS,F,2015
Felipe Pena,L,Ezekiel,NoGi Worlds,94KG,SF,2015
Felipe Pena,L,Toe Hold,NoGi Worlds,ABS,1/4F,2015
Guilherme Augusto,L,Pts: 12x0,Pan American,94KG,1/4F,2016
Gabriel Arges,L,Pts: 10x4,Pan American,ABS,R2,2016
Dimitrius Souza,L,Pts: 0x0, Adv,World Champ.,94KG,R1,2016
Alexandre Ribeiro,L,Pts: 8x0,Grand Slam - LA,94KG,F,2016
Nick Schrock,L,Estima lock,BJJ Pro LA,94KG,1/4F,2016
William Bush,L,Pts: 13x2,NoGi Worlds,92KG,1/4F,2016
Felipe Mota,W,Choke from back,Pan American,94KG,R1,2014
Brian Carlsen,W,Choke from back,FIVE,ABS,N/A,2014
Jason Ackerman,W,Kneebar,FIVE,ABS,N/A,2014
Sergio Rios,W,Pts: 2x0,FIVE Cali. 2,ABS,R1,2014
Francisco Iturralde,W,Adv,FIVE Cali. 2,ABS,1/4F,2014
Eduardo Telles,W,Armbar,FIVE Cali. 2,ABS,SF,2014
Brian Carlsen,W,Bow and arrow,FIVE Cali. 2,ABS,F,2014
Daniel Strauss,W,Pts: 2x0,No Gi Worlds,88KG,R1,2014
Eduardo Telles,W,Armbar,No Gi Worlds,88KG,1/4F,2014
Claudio Mattos,W,DQ,No Gi Worlds,88KG,SF,2014
Diego Gamonal,W,Armbar,Pan American,88KG,R2,2015
Nathan Mendelsohn,W,Botinha,Boca Raton Open,100KG,SF,2015
Gustavo Dias,W,Omoplata,Las Vegas Open,100KG,SF,2015
Walnan Presto,W,Choke from back,Las Vegas Open,100KG,F,2015
Vitor Barreto,W,Triangle,Las Vegas Open,ABS,1/4F,2015
Walnan Presto,W,Armbar,Las Vegas Open,ABS,SF,2015
Carlos Farias,W,Choke,Las Vegas Open,ABS,F,2015
Felipe Dias,W,Choke,World Champ.,94KG,R1,2015
Gustavo Pires,W,Kneebar,American Nat.,100KG,SF,2015
Eliot Kelly,W,Botinha,American Nat.,100KG,F,2015
Samuel Snow,W,Triangle,Austin Open,ABS,1/4F,2015
Marcelo Strada,W,N/A,Austin Open,ABS,SF,2015
Inacio Neto,W,Armbar,Austin Open,ABS,F,2015
Ricardo Bastos,W,Kneebar,Santa Cruz Pro,94KG,1/4F,2015
John Yamashita,W,Pts: 3x0,Dallas Open,ABS,R1,2015
Manuel Diaz,W,Pts: 4x0,Dallas Open,ABS,1/4F,2015
Lucas Barbosa,W,Armbar,Dallas Open,ABS,SF,2015
Kheller Shodi,W,Kneebar,NoGi Worlds,94KG,1/4F,2015
Keller Locke-Sodhi,W,Submission,NoGi Worlds,ABS,R1,2015
Gustavo Dias,W,Armbar,NoGi Worlds,ABS,1/8F,2015
Dean Liebenberg,W,Referee Decision,Pan American,94KG,1/8F,2016
William Shanon,W,Wristlock/Omoplata,Pan American,ABS,R1,2016
Lincoln Pereira,W,Choke from back,Las Vegas Open,94KG,SF,2016
Roberto Torralbas,W,Pts: 2x0,Las Vegas Open,94KG,F,2016
R. Evangelista,W,Referee Decision,Grand Slam - LA,94KG,SF,2016
