Opponent,W/L,Method,Competition,Weight,Stage,Year
Kevin Mahecha,L,Pts: 0x0, Adv,World Pro Trials,ABS,1/4F,2015
Vitor Oliveira,L,Referee Decision,Pan American,82KG,R1,2015
Leandro Lo,L,Points,World Pro,85KG,SF,2015
Keenan Cornelius,L,Pts: 3x0,World Pro,85KG,3RD,2015
Michael Langhi,L,Points,World Champ.,76KG,1/8F,2015
Osvaldo Moizinho,L,Points,American Nat.,76KG,1/4F,2015
Alexandre Ribeiro,L,Choke,BJJL Challenge,ABS,SPF,2015
Michael Liera,L,Points,Dallas NoGi Open,82KG,SF,2015
Leandro Lo,L,Pts: 13x0,Copa Podio,77KG,GP,2016
Davi Ramos,L,Pts: 2x0,Copa Podio,77KG,GP,2016
Francisco Iturralde,L,Pts: 4x2,Pan American,76KG,1/4F,2016
Pedro Henrique,W,Choke from back,Miami Open,82KG,SF,2014
Leo Iturralde,W,Choke from back,Miami Open,82KG,F,2014
Daniel Azevedo,W,N/A,Miami Open,ABS,SF,2014
Magid Hage,W,Points,World Pro Trials,86KG,SF,2015
AJ Agazarm,W,Adv,World Pro Trials,86KG,F,2015
Magid Hage,W,Armbar,World Pro Trials,ABS,SF,2015
AJ Agazarm,W,Pts: 6x2,World Pro Trials,ABS,F,2015
Victor Marques,W,Choke from back,World Pro,85KG,R1,2015
Tarsis Humphreys,W,Points,World Pro,85KG,1/4F,2015
Bruno Togni,W,Armbar,Las Vegas Open,82KG,F,2015
Alex Cabanes,W,Armlock,World Champ.,76KG,R1,2015
Marcus Wilson,W,Armbar,American Nat.,76KG,R1,2015
Ed Ramos,W,Adv,American Nat.,76KG,1/8F,2015
Victor Barreto,W,Omoplata,BJJL Challenge,ABS,RR,2015
Dennis Hallman,W,Armbar,BJJL Challenge,ABS,RR,2015
Brian Mingia,W,Flying armbar,BJJL Challenge,ABS,RR,2015
Vitor Schlosser,W,Armbar,BJJL Challenge,ABS,F,2015
Leo Iturralde,W,Omoplata,Dallas Open,82KG,1/4F,2015
Michael Liera,W,Pts: 2x2, Adv,Dallas Open,82KG,SF,2015
Felipe Cesar,W,Pts: 4x2,Copa Podio,77KG,GP,2016
Lucas Lepri,W,Pts: 4x2,Copa Podio,77KG,GP,2016
Frederico Almeida,W,Armbar,Pan American,76KG,1/8F,2016
Felipe Cesar,W,Adv,Miami Spring Open,82KG,1/4F,2016
Marcel Goncalves,W,Pts: 2x0,Miami Spring Open,82KG,SF,2016
Lucas Valle,W,Pts: 9x0,Miami Spring Open,82KG,F,2016
Celso Vinicius,W,Pts: 2x0,World Champ.,82KG,R2,2016
Andrea Vaughan,W,Armbar,American Nats,76KG,1/4F,2016
Rodrigo Freitas,W,Pts: 2x0,American Nats,76KG,SF,2016
Osvaldo Moizinho,W,Armbar,American Nats,76KG,F,2016
