Opponent,W/L,Method,Competition,Weight,Stage,Year
Augusto Mendes;L;Pts: 4x2;World Pro.;65KG;R1;2011
Isaque Paiva;L;Referee Decision;Gramado Trials;65KG;SF;2012
Laercio Fernandes;L;Pts: 4x4, Adv;World Champ.;64KG;SF;2012
Gabriel Moraes;L;Adv;World Champ.;64KG;F;2013
Paulo Miyao;L;Pts: 4x2;World Champ.;64KG;F;2016
Ikuta Makoto;W;N/A;European;64KG;SF;2011
Bruno Malfacine;W;Pts: 6x4;European;64KG;F;2011
Fernando Resende;W;Pts: 4x0;World P. NoGi;64KG;R1;2011
Leandro Martins;W;Points;Brasileiro;64KG;SF;2011
Gabriel Moraes;W;Pts: 2x0;Brasileiro;64KG;F;2011
Dai Yoshioka;W;Pts: 2x0;World Champ.;64KG;RDS;2011
Pablo Silva;W;Pts: 2x2, Adv;World Champ.;64KG;1/4F;2011
Samir Chantre;W;Pts: 3x0;World Champ.;64KG;SF;2011
Kouhel Ebashi;W;Botinha;World Champ.;64KG;R1;2012
Daniel Beleza;W;Botinha;World Champ.;64KG;R2;2012
Carlos Esquisito;W;Pts: 2x2, Adv;World Champ.;64KG;1/4F;2012
Laercio Fernandes;W;Pts: 6x0;World Champ.;64KG;1/4F;2013
Yukinori Sasa;W;Adv;World Champ.;64KG;SF;2013
Severi Nenonen;W;N/A;Rome Open;70KG;1/4F;2016
Ashley Jordan;W;N/A;Rome Open;70KG;SF;2016
Jose Gallardo;W;Choke from back;Miami Spring Open;70KG;F;2016
Milton Bastos;W;Cross choke;World Champ.;64KG;R2;2016
Gabriel Moraes;W;Pts: 2x0;World Champ.;64KG;1/4F;2016
Hiago George;W;Referee Decision;World Champ.;64KG;SF;2016
