Opponent,W/L,Method,Competition,Weight,Stage,Year
Reinaldo Ribeiro,L,Pts: 2x2, Adv,World Champ.,70KG,1/4F,2006
Rubens Charles,L,Choke from back,World Champ.,70KG,1/4F,2007
Bruno Frazatto,L,Points,World Champ.,70KG,1/4F,2008
Michael Langhi,L,Armbar,Pan American,76KG,SF,2009
Claudio Calasans,L,Points,ADCC Trials,77KG,1/4F,2009
Michael Langhi,L,Pts: 4x4, Adv,World Champ.,76KG,1/4F,2009
Lucas Lepri,L,RNC,No Gi Worlds,76KG,F,2010
Lucas Lepri,L,Adv,World Champ.,76KG,1/4F,2010
Lucas Lepri,L,Pts: 4x2,Pan American,76KG,SF,2011
Davi Ramos,L,Points,World P. NoGi,74KG,R1,2011
Leandro Lo,L,Points,Brasileiro,76KG,SF,2011
Rafael Mendes,L,Pts: 4x4, Adv,World Champ.,70KG,F,2011
Claudio Calasans,L,Heel hook,ADCC,77KG,1/4F,2011
Lucas Lepri,L,Adv,No Gi Worlds,76KG,F,2011
Tanner Rice,L,Pts: 4x0,IBJJF Pro League,82KG,1/4F,2012
Leandro Lo,L,Points,Arizona Open,ABS,F,2013
Leandro Lo,L,Pts: 5x2,Copa Podio,ABS,SPF,2013
Rubens Charles,L,Pts: 2x0,European Open,70KG,F,2013
Rubens Charles,L,Points,Pan American,70KG,SF,2013
Justin Rader,L,Referee Decision,ADCC,66KG,R1,2013
Rubens Charles,L,Referee Decision,ADCC,66KG,SF,2015
Rodrigo Freitas,L,Pts: 0x0, Adv,NoGi Worlds,73KG,1/4F,2016
Yuri Simoes,L,Referee Decision,NoGi Worlds,ABS,SF,2016
Unknown,W,Armbar,Pan American,76KG,1/4F,2009
Unknown,W,Armbar,WPC Lx Trials,74KG,1/4F,2010
Unknown,W,Cross choke,WPC Lx Trials,74KG,SF,2010
Unknown,W,Pts: 18x0,WPC Lx Trials,74KG,F,2010
JT Torres,W,Points,No Gi Worlds,76KG,SF,2010
Davi Ramos,W,DQ,South American,76KG,SF,2010
Mario Reis,W,Pts: 0x0, Adv,South American,76KG,F,2010
Nivaldo Oliveira,W,Pts: 4x2,South American,ABS,SF,2010
Mario Reis,W,DQ,South American,ABS,F,2010
Guilherme Mendes,W,Pts: 9x0,Team Nationals,68KG,F,2010
Leandro Lo,W,Pts: 4x0,Pan American,76KG,R1,2011
Rodrigo Caporal,W,DQ,Pan American,76KG,1/4F,2011
Ary Farias,W,Pts: 4x2,World Pro.,65KG,R1,2011
Ryan Hall,W,Pts: 3x2,World Pro.,65KG,1/8F,2011
Guilherme Mendes,W,Adv,World Pro.,65KG,1/4F,2011
Eduardo Ramos,W,Adv,World Pro.,65KG,SF,2011
Rafael Mendes,W,Referee Decision,World Pro.,65KG,F,2011
Ryan Hall,W,Choke from back,World Champ.,70KG,RDS,2011
Bruno Frazatto,W,Pen,World Champ.,70KG,1/4F,2011
Rubens Charles,W,Pts: 4x2,World Champ.,70KG,SF,2011
Wagner Rocha,W,Footlock,ADCC,77KG,R1,2011
Thomas Michael,W,Armbar,No Gi Worlds,76KG,1/4F,2011
Della Monica,W,Pts: 5x0,No Gi Worlds,76KG,SF,2011
Rodrigo Farias,W,Arm in Ezekiel,American Nat.,76KG,F,2012
Steve Rosenburg,W,Ezekiel,Las Vegas Open,76KG,SF,2012
Della Monica,W,Adv,Las Vegas Open,76KG,F,2012
Leandro Lo,W,Pts: 9x0,NoGi Worlds,76KG,SF,2012
JT Torres,W,Pts: 0x0, Adv,NoGi Worlds,76KG,F,2012
Ed Ramos,W,N/A,European Open,70KG,SF,2013
Renan Borges,W,Armbar,NYC World Trials,74KG,SF,2013
Marcel Gonclaves,W,Points,NYC World Trials,74KG,F,2013
Spenser Guilliam,W,Pts: 15x0,Pan American,70KG,R1,2013
Isaque Oliveira,W,Points,Pan American,70KG,1/4F,2013
Michel Maia,W,Pts: 2x0,World Pro,70KG,SF,2013
Rubens Charles,W,Pts: 2x0,World Pro,70KG,F,2013
Eduardo Ramos,W,Points,World Champ.,70KG,1/4F,2013
Rubens Charles,W,Pts: 2x0,World Champ.,70KG,SF,2013
Rafael Mendes,W,Pts: 2x2, Adv,World Champ.,70KG,F,2013
Gianni Grippo,W,Referee Decision,World Expo,ABS,SPF,2014
Rafael Domingos,W,Pts: 2x0,Fight Blok Pro,79KG,SPF,2014
Nicholas Renier,W,Pts: 3x0,ADCC,66KG,R1,2015
Eddie Cummings,W,Pen,ADCC,66KG,1/4F,2015
Geo Martinez,W,Toe hold,ADCC,66KG,3RD,2015
Matthew Magana,W,RNC,NoGi Worlds,70KG,1/8F,2015
Vitor Paschoal,W,Katagatame,NoGi Worlds,70KG,1/4F,2015
Gianni Grippo,W,Pts: 2x0,NoGi Worlds,70KG,SF,2015
AJ Agazarm,W,Referee Decision,Berkut 2,ABS,SPF,2015
Eddie Cummings,D,---,Polaris 3,70KG,SPF,2016
Ross Nicholls,W,Katagatame,NoGi Worlds,73KG,R2,2016
Nic Ruben,W,Pts: 5x0,NoGi Worlds,ABS,1/8F,2016
Muslim Patsarigov,W,Pts: 0x0, Adv,NoGi Worlds,ABS,1/4F,2016
