Opponent,W/L,Method,Competition,Weight,Stage,Year
Sasha Palvski;L;Pts: 4x0;ADCC;66KG;1/4F;1999
Garth Taylor;L;Pts: 2x0;ADCC;ABS;R1;1999
Royler Gracie;L;Pts: 2x0;ADCC;66KG;R1;2000
Royler Gracie;L;Pts: 5x0;ADCC;66KG;F;2001
Daniel Moraes;L;Pts: 11x0;Gracie Pac. Rim;ABS;SF;2002
Leonardo Vieira;L;Pts: 6x0;ADCC;66KG;F;2003
Leonardo Vieira;L;Pts: 19x4;Budo Challenge;70KG;SPF;2005
Andre Galvao;L;Points;ADCC;ABS;R1;2007
Rany Yahya;L;Points;ADCC;66KG;SF;2007
Justin Rader;L;Adv;ADCC;66KG;R1;2009
Flavio Almeida;L;Points;No Gi Worlds;ABS;R1;2010
Samir Chantre;L;Adv;American Nat.;70KG;SF;2010
Rubens Charles;L;Points;ADCC;66KG;1/4F;2011
James Puopolo;L;Pts: 5x0;SD World Trials;ABS;1/4F;2012
Nicolas Renier;L;Points;ADCC;66KG;R1;2013
Osvaldo Moizinho;L;Pts: 6x2;NoGi Worlds;70KG;1/4F;2013
Jeff Glover;D;N/A;Metamoris 4;ABS;SPF;2014
Eddie Cummings;L;Heel hool;EBI 4;65KG;SF;2015
Robson Moura;D;N/A;Polaris 2;70KG;SPF;2015
Josh Hinger;D;N/A;Gracie NoGi Worlds;ABS;F;2015
Milton Bastos;L;Referee Decision;FTW Pro 5;ABS;SPF;2016
Mike Davila;L;Points;EBI 7;65KG;1/4F;2016
Wellington Dias;W;Flying armbar;ADCC;66KG;R1;1999
Gustavo Dantas;W;Kneebar;ADCC;66KG;R1;2001
N. Uematsu;W;Leglock;ADCC;66KG;1/4F;2001
Alexandre Soca;W;Leglock;ADCC;66KG;SF;2001
K. Toida;W;RNC;ADCC;66KG;R1;2003
Mike Mrkulic;W;RNC;ADCC;66KG;1/4F;2003
Alexandre Soca;W;Pts: 9x6;ADCC;66KG;SF;2003
Eddie Sanchez;W;RNC;ADCC;66KG;R1;2007
Yoshitomi Mishima;W;Triangle;ADCC;66KG;1/4F;2007
Tetsu Suzuko;W;Pts: 3x0;ADCC;66KG;3PLC;2007
Unknown;W;RNC;NoGi Worlds;70KG;NA;2008
Unknown;W;RNC;NoGi Worlds;70KG;1/4F;2008
Robson Rodrigues;W;RNC;NoGi Worlds;70KG;F;2008
Chris Holdsworth;W;Kneebar;NAGA LV;70KG;F;2009
Leandro Escobar;W;RNC;NoGi Worlds;70KG;1/4F;2009
Denny Prokopos;W;Pts: 9x0;NoGi Worlds;70KG;SF;2009
Samir Chantre;W;RNC;NoGi Worlds;70KG;F;2009
Nicolas Renier;W;RNC;ADCC;66KG;R1;2011
Dennis Dombrow;W;Kneebar;EBI 4;65KG;R1;2015
Randall Dolf;W;RNC;EBI 4;65KG;1/4F;2015
Juan Bernardo;W;Choke from back;SubCon;ABS;SPF;2016
Alex Eklin;W;RNC;EBI 7;65KG;R1;2016
Woolf Barnato;W;Referee Decision;F2W Pro 8;72KG;SPF;2016
