Opponent,W/L,Method,Competition,Weight,Stage,Year
Roger Gracie;L;Ezekiel;World Champ.;100KG;SF;2009
Rodrigo Cavaca;L;Points;European;ABS;SF;2010
Rafael Lovato;L;Pts: 7x0;Pan American;94KG;F;2010
Romulo Barral;L;Triangle;World Champ.;ABS;1/4F;2010
Claudio Calasans;L;Pts: 4x4, Adv;European;ABS;SF;2011
Rodolfo Vieira;L;Pts: 8x0;Pan American;94KG;F;2011
Rodolfo Vieira;L;Pts: 0x0, Adv;Pan American;ABS;F;2011
Antonio Carlos;L;Triangle-armbar;World Pro.;92KG;1/4F;2011
Rodolfo Vieira;L;Pts: 9x0;World Champ.;ABS;F;2011
Rodolfo Vieira;L;Pts: 3x0;World Champ.;94KG;F;2011
Rodolfo Vieira;L;Pts: 7x0;European Open;ABS;F;2012
Antonio Carlos;L;Pts: 4x2;Pan American;ABS;SF;2012
Alexandre Ribeiro;L;Pts: 2x0;World Pro.;99KG;F;2012
Rodolfo Vieira;L;Cross ck. f/ mount;World Pro.;ABS;SF;2012
Marcus Almeida;L;Choke from back;World Champ.;ABS;SF;2012
Joao Assis;L;Pts: 3x0;NoGi Worlds;100KG;SF;2012
Alexandre Ribeiro;L;Pts: 3x0;NoGi Worlds;ABS;SF;2012
Marcus Almeida;L;Pts: 9x2;Pan American;ABS;SF;2013
Marcus Almeida;L;Pts: 7x4;World Champ.;ABS;SF;2013
Luiz Panza;L;Armbar;Pan American;100KG;F;2014
Rodolfo Vieira;L;Wristlock;World Champ.;ABS;SF;2014
Rodolfo Vieira;L;Armbar;World Champ.;100KG;F;2014
Yuri Simoes;L;Armbar;No Gi Worlds;ABS;SF;2014
Erberth Santos;L;Armbar;World Champ.;ABS;SF;2016
Mauro Celso;W;Pts: 4x0;Brasileiro NoGi;94KG;F;2009
Rodrigo Comprido;W;Pts: 5x2;World Champ.;100KG;R1;2009
Felipe Fogolin;W;Armbar;Pan American;94KG;1/4F;2010
Abmar Barbosa;W;Points;Pan American;ABS;R2;2010
Gabriel Vella;W;Pts: 2x0;Pan American;ABS;1/4F;2010
Rodrigo Cavaca;W;Points;Pan American;ABS;SF;2010
Braga Neto;W;Pts: 2x0;Pan American;ABS;F;2010
Rafael Lovato;W;Pts: 3x0;Brasileiro;ABS;F;2010
Adriano Maciel;W;Cross choke f/ mount;World Champ.;94KG;R1;2010
Alexandro Ceconi;W;Points;World Champ.;94KG;1/4F;2010
Rafael Lovato;W;Points;World Champ.;94KG;SF;2010
Alexandre Ribeiro;W;Pts: 2x0;World Champ.;94KG;F;2010
Leonardo Davila;W;Armbar;European;ABS;R1;2011
Bruno Matias;W;Points;European;ABS;1/4F;2011
Fabiano Alves;W;Triangle;European;94KG;1/4F;2011
Helvecio Penna;W;N/A;European;94KG;SF;2011
Thiago Souza;W;Omoplata;World Pro Trials;O92KG;SF;2011
Igor Silva;W;Pts: 7x2;World Pro Trials;O92KG;F;2011
Roberto Alencar;W;Armbar;Pan American;94KG;SF;2011
Unknown;W;Omoplata;World Champ.;ABS;R2;2011
Unknown;W;Choke;World Champ.;ABS;R3;2011
Rafael Lovato;W;Pts: 2x0;World Champ.;ABS;1/4F;2011
Alexandre Ceconi;W;Pts: 4x0;World Champ.;ABS;SF;2011
Luciando Queiroz;W;N/A;World Champ.;94KG;RDS;2011
Luke Stewart;W;Triangle;World Champ.;94KG;1/4F;2011
Lucio Lagarto;W;Pts: 4x0;European Open;100KG;F;2012
Roberto Alencar;W;Omoplata;European Open;ABS;1/4F;2012
Rafael Lovato;W;Pts: 4x2;European Open;ABS;SF;2012
George Murphy;W;Armbar;Pan American;ABS;R1;2012
Diogo Silva;W;Leglock;Pan American;ABS;R2;2012
James Puopolo;W;Armbar;Pan American;ABS;1/4F;2012
Vitor Schlosser;W;Points;Pan American;100KG;1/4F;2012
Joao Assis;W;Pts: 3x2;Pan American;O100KG;SF;2012
Antonio Carlos;W;Pts: 10x5;Pan American;O100KG;F;2012
Christopher Bowe;W;N/A;World Pro.;99KG;1/4F;2012
Alexandre Souza;W;Pts: 2x0;World Pro.;99KG;SF;2012
Oliver Geddes;W;Points;World Champ.;ABS;R2;2012
Marcos de Souza;W;N/A;World Champ.;ABS;R2;2012
Roberto Abreu;W;Armbar;World Champ.;ABS;1/4F;2012
Rodrigo Ranieri;W;Submission;World Champ.;100KG;R2;2012
Andre Simoes;W;Katagatame;World Champ.;100KG;1/4F;2012
Andre Campos;W;Baseball choke;World Champ.;100KG;SF;2012
James Puopolo;W;Points;NoGi Worlds;100KG;1/4F;2012
Tarcisio Jardim;W;RNC;NoGi Worlds;ABS;1/4F;2012
Max Carvalho;W;Points;European NoGi;ABS;SF;2012
Renato Cardoso;W;Omoplata;European Open;ABS;1/4F;2013
Claudio Calasans;W;Pts: 4x0;European Open;ABS;SF;2013
Lucio Rodrigues;W;Pts: 4x0;European Open;100KG;F;2013
Unknown;W;Submission;Pan American;ABS;R1;2013
Brent Primus;W;Armbar;Pan American;ABS;R2;2013
DJ Jackson;W;Pts: 12x0;Pan American;ABS;1/4F;2013
Israel Reyes;W;N/A;World Champ.;ABS;RDS;2013
Diogo Almeida;W;N/A;World Champ.;ABS;RDS;2013
Leandro Lo;W;Points;World Champ.;ABS;1/4F;2013
Lucas Sachs;W;Triangle armbar;World Champ.;100KG;1/4F;2013
Luiz Panza;W;Triangle;World Champ.;100KG;SF;2013
Joao Rocha;W;Pts: 6x0;World Champ.;100KG;F;2013
Roger Ambrosi;W;Submission;Pan American;100KG;R1;2014
Bernardo Siqueira;W;Choke from back;Pan American;100KG;1/4F;2014
Andre Campos;W;Submission;Pan American;100KG;SF;2014
Gustavo Silva;W;Choke;World Champ.;ABS;R2;2014
Abraham Marte;W;Armbar;World Champ.;ABS;R3;2014
Braulio Estima;W;Pts: 8x0;World Champ.;ABS;1/4F;2014
Igor Silva;W;Choke from back;World Champ.;100KG;1/4F;2014
Yuri Simoes;W;Pts: 8x5;World Champ.;100KG;SF;2014
