Opponent,W/L,Method,Competition,Weight,Stage,Year
Fernando Vieira;L;Pts: 4x2;World Champ.;64KG;F;2004
Mario Reis;L;Points;Pan American;70KG;SF;2007
Rodrigo Pagani;W;Armbar;World Champ.;64KG;R1;2003
Marcelo Santos;W;Armbar;World Champ.;64KG;1/4F;2003
Rafael Primo;W;Choke from back;World Champ.;64KG;SF;2003
Carlos Lemos;W;Pts: 6x2;World Champ.;64KG;F;2003
Matsumato;W;Pts: 4x0;BB Challenge 3;64KG;SPF;2004
Andre Soares;W;Pts: 8x0;Pan American;64KG;SF;2004
Dai Yoshida;W;N/A;Pan American;64KG;F;2004
Rodrigo Hirakawa;W;Submission;Dumau Cup;64KG;F;2005
Ameris Lira;W;Armbar;World Champ.;64KG;R1;2005
Rodrigo Romeri;W;Pts: 5x0;World Champ.;64KG;1/4F;2005
Carlos Holanda;W;Pts: 6x6, Adv;World Champ.;64KG;F;2005
Davied Jacobs;W;Triangle;Pan American;70KG;1/4F;2006
Jonatas Gurgel;W;Points;Pan American;70KG;F;2006
David Hader;W;Armbar;World Champ.;64KG;1/4F;2006
Bernardo Pitel;W;Choke from back;World Champ.;64KG;SF;2006
Jeff Glover;W;Pts: 5x0;Pan American;70KG;1/4F;2007
