Opponent,W/L,Method,Competition,Weight,Stage,Year
Daniel Beleza;L;Triangle;World Champ.;64KG;1/4F;2008
Carlos Esquisito;L;Points;NoGi Worlds;64KG;SF;2009
Caio Terra;L;Armbar;No Gi Panams;64KG;F;2010
Bruno Malfacine;L;Pts: 13x0;World Champ.;57KG;1/4F;2011
Caio Terra;L;Points;American Nationals;64KG;SF;2011
Caio Terra;L;Points;Pan American;57KG;1/4F;2012
Caio Terra;L;Policeman's lock;No Gi Nationals;64KG;SF;2012
Caio Terra;L;Armbar;World Champ.;57KG;SF;2012
Bruno Malfacine;L;Bow and Arrow;World Champ.;57KG;1/4F;2014
Tomohiro Hashi;W;Points;NoGi Worlds;64KG;1/4F;2009
Joseph Capizzi;W;Points;No Gi Worlds;57KG;F;2010
Igor Rodrigues;W;Triangle;World Champ.;57KG;RDS;2011
Joseph Capizzi;W;Points;No Gi Worlds;57KG;F;2011
Joel Borja;W;Ezekiel;Pan American;57KG;R1;2012
Fumiali Kobayashi;W;Points;World Champ.;57KG;R2;2012
Koji Shibamoto;W;Triangle;European Open;57KG;F;2013
