Opponent,W/L,Method,Competition,Weight,Stage,Year
Ronaldo Souza;L;Flying triangle;Pan American;88KG;F;2004
Vitor Viana;L;RNC;ADCC;99KG;R1;2005
Ronaldo Souza;L;Pts: 6x0;World Champ.;88KG;F;2005
Ronaldo Souza;L;Pts: 9x0;World Champ.;ABS;SF;2005
Alexandre Ribeiro;L;Points;Pan American;ABS;SF;2006
Roberto Abreu;L;Armbar;World Champ.;ABS;R1;2006
Tarsis Humphreys;L;Points;ADCC;ABS;R1;2007
Alexandre Ribeiro;L;Points;ADCC;99KG;F;2007
Jeff Monson;L;Points;10k Challenge;ABS;F;2007
Andre Galvao;L;Choke from back;World Champ.;88KG;F;2008
Tarsis Humphreys;L;Pts: 2x2, Adv;World Pro.;ABS;F;2009
Rodolfo Vieira;L;Pts: 0x0, Adv;World Pro.;94KG;SF;2009
Claudio Calasans;L;Adv;World Pro.;ABS;F;2010
Claudio Calasans;L;Pts: 2x2, Pen;World Pro.;83KG;F;2010
Rodolfo Vieira;L;Referee Decision;Metamoris 2;ABS;SPF;2013
Alexandre Ribeiro;L;Points;Copa Podio;ABS;SPF;2013
Andre Galvao;L;RNC;ADCC;ABS;SPF;2013
Keenan Cornelius;L;Pts: 2x2, Adv;World Pro.;ABS;1/4F;2014
Bernardo Faria;L;Pts: 8x0;World Champ.;ABS;1/4F;2014
Alexander Trans;L;Pts: 6x0;Copa Podio;ABS;SPF;2016
Todd Margolis;W;Triangle;Pan American;88KG;1/4F;2004
Cassio Werneck;W;Ezekiel;Pan American;88KG;SF;2004
Ricardo Cavalcanti;W;Armbar;World Champ.;88KG;R1;2005
Rafael Mota;W;Adv;World Champ.;88KG;1/4F;2005
Demian Maia;W;Pts: 0x0, Adv;World Champ.;88KG;SF;2005
Alexandre Ribeiro;W;Pts: 5x4;World Champ.;ABS;R1;2005
Carlos Francis;W;N/A;Pan American;94KG;SF;2006
Eduardo Telles;W;Triangle armbar;Pan American;94KG;F;2006
Wellington Dias;W;Triangle;Pan American;ABS;R1;2006
Edson Diniz;W;Armbar;Pan American;ABS;1/4F;2006
Rogel Alexandre;W;Triangle;World Champ.;88KG;R1;2006
Alexandre Souza;W;Triangle;World Champ.;88KG;1/4F;2006
Delson Heleno;W;Pts: 6x4;World Champ.;88KG;F;2006
Tomas Szczerek;W;Armbar;ADCC;99KG;R1;2007
Cristiano Lazzarini;W;Katagatame;ADCC;99KG;1/4F;2007
A. Cacareco;W;Triangle;ADCC;99KG;SF;2007
Haim Gozali;W;Triangle;10k Challenge;ABS;GP;2007
Pedro Bessa;W;Armbar;10k Challenge;ABS;GP;2007
Tito Beltran;W;RNC;10k Challenge;ABS;GP;2007
Rafael Lovato;W;Armbar;10k Challenge;ABS;SF;2007
Lee Douglas;W;Armbar;World Champ.;88KG;R1;2008
Roger Monsalve;W;Triangle;World Champ.;88KG;1/4F;2008
Murilo Santana;W;N/A;World Champ.;88KG;SF;2008
Edmilson C.;W;Choke;Capital Challenge;88KG;SF;2008
Otavio Sousa;W;Armbar;Capital Challenge;88KG;F;2008
Leonardo Leite;W;Points;Capital Challenge;ABS;F;2008
Alexandre Souza;W;Adv;European;94KG;F;2009
Alexandre Souza;W;Points;European;ABS;F;2009
Rafael Lovato;W;Pts: 5x0;World Pro.;ABS;1/4F;2009
Marcelo Garcia;W;Triangle;World Pro.;ABS;SF;2009
Matheus Costa;W;Bread cutter;World Pro.;94KG;R1;2009
Fabio Gurgel;W;Pts: 2x0;World Pro.;94KG;1/4F;2009
Yuji Arai;W;RNC;ADCC;88KG;R1;2009
James Brasco;W;Points;ADCC;88KG;1/4F;2009
Rafael Lovato;W;Estima lock;ADCC;88KG;SF;2009
Andre Galvao;W;Inverted triangle;ADCC;88KG;F;2009
Janne-Pekka;W;Armbar;ADCC;ABS;R1;2009
Marcelo Garcia;W;Inverted Katagatame;ADCC;ABS;1/4F;2009
Vinny Magalhaes;W;Points;ADCC;ABS;SF;2009
Alexandre Ribeiro;W;Injury;ADCC;ABS;F;2009
Rodrigo Pinheiro;W;Triangle;World Champ.;94KG;1/4F;2009
Alexandre Ceconi;W;Submission;World Champ.;94KG;SF;2009
Alexandre Souza;W;Pts: 2x0;World Champ.;94KG;F;2009
Sergio Moraes;W;Adv;European;88KG;F;2011
Ronaldo Souza;W;Pts: 3x0;ADCC;ABS;SPF;2011
Rodrigo Fajardo;W;Armbar;World Champ.;88KG;1/4F;2013
Andre Galvao;W;Pts: 6x2;World Champ.;88KG;SF;2013
A. Ortiz;W;Choke from back;World Pro.;ABS;R1;2014
Chris Bowe;W;Submission;World Pro.;ABS;R2;2014
Rodrigo Cavaca;W;Choke from back;World Pro.;ABS;R2;2014
Lucas Leite;W;Pts: 3x0;World Pro.;94KG;R1;2014
Keenan Cornelius;W;Points;World Pro.;94KG;SF;2014
Tarcisio Jardim;W;Triangle;World Pro.;94KG;F;2014
A. Antonioli;W;Armbar;World Champ.;ABS;R2;2014
Roberto Abreu;W;Points;World Champ.;ABS;R3;2014
Don Schon;W;Triangle;World Champ.;88KG;RDS;2014
Raul Castillo;W;Triangle;World Champ.;88KG;RDS;2014
Thiago Sa;W;Choke from back;World Champ.;88KG;1/4F;2014
Murilo Santana;W;Pts: 8x2;World Champ.;88KG;SF;2014
