Opponent,W/L,Method,Competition,Weight,Stage,Year
Gianni Grippo,L,Points,NY Spring Open,70KG,SF,2015
Isaque Paiva,L,Points,World Pro,65KG,1/4F,2015
Samir Chantre,L,Pts: 4x2,American Nat.,70KG,SF,2015
Marcel Goncalves,L,Referee Decision,Miami Open,76KG,SF,2015
Paulo Silva,L,Pts: 2x2, Adv,IBJJF NY Pro,70KG,1/4F,2015
Paulo Miyao,L,Choke from back,European Open,70KG,SF,2016
Jon Van Buren,L,Pts: 4x2,Pan American,70KG,1/8F,2016
Paulo Miyao,L,Points,World Pro,69KG,1/4F,2016
J. Thomas,L,Armbar,World Champ.,70KG,R1,2016
Isaac Doederlein,L,Pts: 6x4,Grand Slam - LA,69KG,SF,2016
Jean Cartagena,W,Armbar,NY Spring Open,70KG,1/4F,2015
Danilo Barbosa,W,N/A,World Pro,65KG,R1,2015
Vitor Riciotti,W,Choke from back,American Nat.,70KG,1/4F,2015
Paulo Silva,W,Points,Miami Open,76KG,1/4F,2015
Spencer Guilliam,W,Points,Houston Nat. Pro,77KG,SF,2015
Kevin Mahecha,W,Points,Houston Nat. Pro,77KG,F,2015
Jose Portillo,W,Referee Decision,Houston Nat. Pro,O77KG,SF,2015
Kevin Mahecha,W,Points,Houston Nat. Pro,O77KG,F,2015
T. Tammilehto,W,Armbar,European Open,70KG,1/4F,2016
Christopher Kriebel,W,Armbar,Atlanta Open,70KG,SF,2016
Andre Monteiro,W,Pts: 4x2,Atlanta Open,70KG,F,2016
Vinicius de Lima,W,Armbar,World Pro,69KG,R1,2016
Murat Besnek,W,Pts: 2x0,World Pro,69KG,1/8F,2016
Mario Silva,W,Armbar,Grand Slam - LA,69KG,1/4F,2016
