Opponent,W/L,Method,Competition,Weight,Stage,Year
Rubens Charles,L,Toe hold,World Champ.,70KG,SF,2006
Rubens Charles,L,Points,World Champ.,70KG,SF,2007
Marcelino Freitas,L,Referee Decision,Brasileiro,70KG,F,2008
Rubens Charles,L,Toe hold,World Champ.,70KG,F,2008
Rubens Charles,L,Referee Decision,World Champ.,70KG,F,2009
Claudio Mattos,L,Pts: 2x0,WPC SD trials,74KG,SF,2010
Celso Vinicius,L,Adv,World Champ.,76KG,R2,2010
Bruno Malfacine,L,Points,World Pro.,65KG,1/4F,2011
Augusto Mendes,L,Pen,World Champ.,70KG,1/4F,2011
Rafael Mendes,L,Pts: 6x0,ADCC,66KG,R1,2011
Gunnar Nelson,L,Points,ADCC,ABS,R1,2011
Isaque Paiva,L,Triangle,Gramado Trials,65KG,F,2012
Rubens Charles,L,Pts: 3x0,ADCC,66KG,F,2015
Paulo Miyao,L,Pts: 4x2,Pan American,70KG,SF,2016
Mansher Khera,L,Pts: 2x0,San Antonio Open,76KG,F,2016
Joao Miyao,L,Points,Atlanta BJJ Pro,70KG,F,2016
Marcio Andre,L,Pts: 9x6,World Champ.,70KG,1/4F,2016
Samir Chantre,L,Referee Decision,Atlanta S. Open,70KG,F,2016
Samir Chantre,L,Pen,Atlanta S. NoGi,67KG,F,2016
Cicero Costha,W,Pts: 2x0,Brasileiro,70KG,F,2005
Wagner Nascimento,W,Points,World Champ.,70KG,1/4F,2006
Jonatas Gurgel,W,Pts: 2x0,Brasileiro,70KG,F,2006
Rafa Mendes,W,Pts: 5x0,ADCC Trials,66KG,F,2007
Yuji Uchida,W,Triangle armbar,World Champ.,70KG,R1,2008
Augusto Mendes,W,Points,World Champ.,70KG,1/4F,2008
Mario Reis,W,Points,World Champ.,70KG,SF,2008
Denilson Pimenta,W,Pts: 4x4, Adv,NoGi Worlds,70KG,F,2008
Isaque Paiva,W,Points,Brasileiro CBJJE,70KG,F,2009
Jonatas Gurgel,W,Pts: 2x2, Adv,World Champ.,70KG,1/4F,2009
Mario Reis,W,Pts: 2x0,World Champ.,70KG,SF,2009
Osvaldo Moizinho,W,Pts: 4x2,Pan American,70KG,1/4F,2011
Reinaldo Ribeiro,W,Pts: 2x0,World P. NoGi,64KG,R1,2011
Bruno Malfacine,W,Pts: 2x2, Adv,World P. NoGi,64KG,1/4F,2011
Leonardo Saggioro,W,Points,Brasileiro,70KG,F,2011
Renato Tavares,W,Triangle,World Champ.,70KG,RDS,2011
Gabriel Willcox,W,RNC,World Champ.,70KG,RDS,2011
Luciano Aldiguieri,W,Triangle armbar,Gramado Trials,65KG,SF,2012
AJ Agazarm,W,Pts: 0x0, Adv,World Expo,ABS,SPF,2014
Mark Ramos,W,RNC,ADCC,66KG,R1,2015
Renan Sancar,W,Referee Decision,ADCC,66KG,1/4F,2015
Geo Martinez,W,Pts: 2x0,ADCC,66KG,SF,2015
Lucas Dantas,W,Points,PNBJJC,ABS,SPF,2016
Rodrigo Cardoso,W,Pts: 2x2, Adv,Pan American,70KG,1/8F,2016
Niccolas Araujo,W,N/A,Pan American,70KG,1/4F,2016
Gianni Grippo,D,---,Polaris 3,70KG,SPF,2016
Marcus Wilson,W,Pts: 4x0,San Antonio Open,76KG,SF,2016
Rodrigo Lima,W,N/A,Atlanta BJJ Pro,70KG,1/4F,2016
Victor Paschoal,W,N/A,Atlanta BJJ Pro,70KG,SF,2016
Italo Lins,W,Pts: 4x4, Adv,World Champ.,70KG,R2,2016
