Opponent,W/L,Method,Competition,Weight,Stage,Year
Felipe Costa,L,Pts: 4x2,World Champ.,57KG,1/4F,2006
Caio Terra,L,RNC,World Champ.,57KG,SF,2008
Ary Farias,L,Pts: 6x4,European,64KG,F,2011
Caio Terra,L,Pts: 2x0,Pan American,64KG,F,2011
Rafael Mendes,L,Pts: 7x0,World Pro.,65KG,SF,2011
Bruno Frazatto,L,Pts: 2x2, Adv,World P. NoGi,64KG,1/4F,2011
Caio Terra,L,Pts: 2x0,Pan American,64KG,F,2013
Caio Terra,L,Pts: 4x2,World Champ.,57KG,F,2013
Felipe Costa,W,Footlock,World Champ.,57KG,1/4F,2007
Oga Mikio,W,Points,World Champ.,57KG,SF,2007
Yusuke Honma,W,RNC,World Champ.,57KG,F,2007
Felipe Costa,W,Armbar,Brasileiro,57KG,F,2008
Narciso Vilaca,W,RNC,Brasileiro CBJJE,57KG,1/4F,2009
William Campos,W,Toe hold,Brasileiro CBJJE,57KG,SF,2009
Jonas Fortunato,W,Toe hold,Brasileiro CBJJE,57KG,F,2009
Leandro Escobar,W,Kneebar,Brasileiro NoGi,64KG,F,2009
Mikio Oga,W,Choke from back,World Champ.,57KG,1/4F,2009
Felipe Costa,W,Armbar,World Champ.,57KG,SF,2009
Caio Terra,W,Adv,World Champ.,57KG,F,2009
Andrea Verdimari,W,Kneebar,European,57KG,SF,2010
Wekcilley Cruz,W,Toe hold,European,57KG,F,2010
Felipe Costa,W,Choke from back,Pan American,57KG,F,2010
Felipe Costa,W,Pts: 9x0,Brasileiro,57KG,F,2010
Marcelo Pereira,W,Choke,World Champ.,57KG,1/4F,2010
Caio Terra,W,Adv,World Champ.,57KG,F,2010
Leandro Martins,W,Points,European,64KG,SF,2011
Unknown,W,Wristlock,Pan American,64KG,1/4F,2011
Wellington Dias,W,Flying armbar,Pan American,64KG,SF,2011
Reinaldo Ribeiro,W,Pts: 2x0,World Pro.,65KG,R1,2011
Bruno Frazatto,W,Points,World Pro.,65KG,1/4F,2011
Wellington Dias,W,Triangle,World P. NoGi,64KG,R1,2011
Felipe Costa,W,Pts: 23x0,Brasileiro,57KG,F,2011
Koji Shibamoto,W,Choke from back,World Champ.,57KG,RDS,2011
Brandon Mullins,W,Pts: 13x0,World Champ.,57KG,1/4F,2011
Josef Manuel,W,Pts: 10x0,World Champ.,57KG,SF,2011
Caio Terra,W,Pts: 4x2,World Champ.,57KG,F,2011
Daniel Beleza,W,Footlock,Pan American,64KG,1/4F,2012
Guilherme Mendes,W,Pts: 2x0,Pan American,64KG,F,2012
Samir Chantre,W,Points,NYC World Trials,65KG,F,2012
Jordy Peute,W,Armbar,World Champ.,57KG,R2,2012
Joao Carlos Hiroshi,W,Armbar,World Champ.,57KG,1/4F,2012
Rafael Freitas,W,Bow and arrow,World Champ.,57KG,SF,2012
Caio Terra,W,Referee Decision,World Champ.,57KG,F,2012
Jeff Glover,W,Pts: 5x2,World Expo,ABS,SPF,2013
Takahiko Yashioka,W,Armbar,Pan American,64KG,1/4F,2013
Felipe Costa,W,Submission,Pan American,64KG,SF,2013
Raul Marcello,W,Submission,World Champ.,57KG,1/4F,2013
Felipe Costa,W,Triangle,World Champ.,57KG,SF,2013
Joao Kuruoka,W,Armbar,World Champ.,57KG,RDS,2014
Brandon Mullins,W,Bow and Arrow,World Champ.,57KG,1/4F,2014
Jorge Elias Bucaram,W,Submission,World Champ.,57KG,SF,2014
Joao Miyao,W,Referee Decision,World Champ.,57KG,F,2014
Koji Shibamoto,W,Pts: 3x2,Pan American,57KG,SF,2015
Caio Terra,W,Choke from back,Pan American,57KG,F,2015
Washington Lima,W,Crucifix choke,World Champ.,57KG,1/4F,2015
Rafael Freitas,W,Armbar,World Champ.,57KG,SF,2015
Joao Miyao,W,Adv,World Champ.,57KG,F,2015
Rafael Freitas,W,Heel hook,W. Fitness Expo,ABS,SPF,2015
Rodnei Barbosa,W,Pts: 7x0,World Champ.,57KG,1/4F,2016
Tiago Barros,W,Armbar,World Champ.,57KG,SF,2016
Caio Terra,W,Pts: 0x0, Adv,World Champ.,57KG,F,2016
Jeff Glover,D,---,Metamoris 7,ABS,SPF,2016
