Opponent,W/L,Method,Competition,Weight,Stage,Year
Bernardo Pitel,L,Pts: 2x2, Adv,Brasileiro,64KG,F,2007
Robson Moura,L,Referee Decision,World Champ.,64KG,SF,2007
Guilherme Mendes,L,Adv,World Champ.,64KG,SF,2009
Caio Terra,L,Pts: 0x0, Adv,NoGi Worlds,64KG,F,2009
Justin Rader,L,Referee Decision,No Gi Worlds,70KG,F,2010
Samuel Braga,L,DQ,World Champ.,64KG,1/4F,2011
Ary Farias,L,Pts: 2x2, Adv,World Champ.,64KG,1/4F,2012
Laercio Fernandes,L,Adv,European Open,64KG,F,2013
Osvaldo Moizinho,L,Points,NoGi Worlds,70KG,SF,2013
Guilherme Mendes,L,Pts: 7x2,World Champ.,64KG,SF,2014
Samir Chantre,L,Pts: 0x0, Adv,No Gi Worlds,70KG,SF,2014
Eduardo Ramos,L,Botinha,Dallas Open,70KG,SF,2015
Tiago Barros,L,Pts: 3x2,Grand Slam - Rio,62KG,1/4F,2015
Jair Neto,L,Submission,Grand Slam - Rio,ABS,R1,2015
Robson Medeiros,W,Points,Brasileiro,64KG,F,2004
Oseias Costa,W,RNC,World Champ.,64KG,1/4F,2006
Sebastian Lali,W,Pts: 11x0,Brasileiro,64KG,F,2006
Caio Terra,W,Adv,World Champ.,64KG,1/4F,2007
Rafael Freitas,W,Pts: 6x0,World Champ.,64KG,1/4F,2009
Brandon Mullins,W,Points,NoGi Worlds,64KG,SF,2009
Laercio Fernandes,W,Points,Pan American,64KG,1/4F,2010
Caio Terra,W,Points,Pan American,64KG,F,2010
Bill Cooper,W,Points,Pan American,ABS,R1,2010
Bruno Bastos,W,Referee Decision,Pan American,ABS,R2,2010
Almiro Barros,W,Pts: 6x2,World Champ.,64KG,R1,2012
Kenji Urabe,W,Points,World Champ.,64KG,R2,2012
John Cho,W,Referee Decision,World Champ.,64KG,RDS,2014
Daniel Abe,W,Points,World Champ.,64KG,RDS,2014
Laercio Fernandes,W,Pts: 4x4, Adv,World Champ.,64KG,1/4F,2014
Luiz Tosta,W,Pts: 4x0,No Gi Worlds,70KG,1/4F,2014
A. Guilherme,W,Pts: 5x0,Grand Slam - Rio,62KG,1/8F,2015
