Opponent,W/L,Method,Competition,Weight,Stage,Year
Vinicius Marinho,L,Points,Sulamericano,ABS,NA,2011
Fabiano Boi,L,Kneebar,Panamericano,94KG,NA,2011
Alexandre Ceconi,L,Points,Panamericano,ABS,NA,2011
CÃ¡ssio Lisboa,L,Referee Decision,Brasileiro Sud.,94KG,F,2013
Leandro Lo,L,Points,Brasileiro CBJJE,ABS,NA,2013
Antonio Peinado,L,Adv,World Pro Trial,94KG,SF,2014
Renato Cardoso,L,Points,Brasileiro,ABS,R1,2014
Victor Silverio,L,Adv,Rio Open,ABS,1/4F,2014
Gabriel Lucas,L,Pts: 3x0,Rio BJJ Pro,O94KG,SF,2014
Erberth Santos,L,Pts: 0x0, Adv,Brasileiro,ABS,1/4F,2015
Jackson Sousa,L,Pts: 2x2, Adv,World Champ.,94KG,1/4F,2015
Rodolfo Vieira,L,RNC,ADCC,99KG,1/4F,2015
Otavio Nalati,L,Referee Decision,SP National Pro,O77KG,1/4F,2015
Erberth Santos,L,Kneebar,Grand Slam - Rio,ABS,1/4F,2015
Erberth Santos,L,Pts: 6x4,European Open,100KG,1/4F,2016
Guilherme Augusto,L,Toe hold,Brasileiro,94KG,SF,2016
Andre Galvao,L,Pts: 4x4, Adv,World Champ.,94KG,SF,2016
Jonathan Satava,L,Referee Decision,NoGi Pan Ams,ABS,SF,2016
Erberth Santos,L,Pts: 0x0, Adv,Copa Podio,105KG,RR,2016
Leandro Lo,L,Toe hold,Copa Podio,105KG,RR,2016
I. Bahiense,L,Pts: 5x2,Copa Podio,105KG,RR,2016
Jefferson ConceiÃ§Ã£o,W,Verbal tap,Sulamericano,ABS,NA,2011
Grimaldo Oliveira,W,Kneebar,Brasileiro CBJJE,94KG,NA,2011
Raggi Junior,W,Armbar,Brasileiro CBJJE,94KG,NA,2011
Alexandre Cordeiro,W,Bow and arrow,XXII Interclubes,100KG,SF,2011
Luiz Pereira,W,Triangle,XXII Interclubes,100KG,F,2011
Dalton RÃ©gis,W,Toe hold,Panamericano,94KG,NA,2011
Josimar Junior,W,Arm in ezekiel,Brasileiro Sud.,ABS,1/4F,2013
Alex Silva,W,Wristlock,Brasileiro Sud.,ABS,SF,2013
CÃ¡ssio Lisboa,W,Wristlock,Brasileiro Sud.,ABS,F,2013
Rodrigo Ribeiro,W,Points,Brasileiro CBJJE,ABS,NA,2013
Diogo Almeida,W,Points,SP Open,ABS,F,2013
PetrÃ´nio Batista,W,Wristlock,Leao Dourado Cup,ABS,SF,2013
Leandro Beinroth,W,Choke from back,Leao Dourado Cup,ABS,F,2013
V. Honorio,W,Points,The Team,O85KG,RR,2014
Augusto Lessa,W,Bow and arrow,Panamericano,ABS,SF,2015
Evandro Resende,W,Wristlock,Panamericano,ABS,F,2015
Erberth Santos,W,Footlock,ADCC SP,99KG,R1,2015
Jorge Luis,W,RNC,ADCC SP,99KG,SF,2015
Armando Sapo,W,RNC,ADCC SP,99KG,F,2015
Manuel Diaz,W,Toe Hold,World Champ.,94KG,1/8F,2015
Tobias G,W,N/A,ADCC,99KG,R1,2015
Bruno Cuppari,W,Points,Brasileiro NoGi,100KG,SF,2015
Ivan Tomic,W,Ankle lock,Brasileiro NoGi,100KG,F,2015
Pedro Pimenta,W,Botinha,SP National Pro,O77KG,R1,2015
Rodrigo Almeida,W,Choke,Grand Slam - Rio,ABS,R1,2015
Luiz Silva,W,Choke from back,Grand Slam - Rio,ABS,R2,2015
Jair Neto,W,Submission,Grand Slam - Rio,ABS,1/8F,2015
Nathan Mendelsohn,W,Pts: 6x2,European Open,100KG,R1,2016
Diogo Almeida,W,Choke from back,Rio Summer Open,94KG,SF,2016
Jhonny Loureiro,W,Toe hold,Rio Summer Open,ABS,1/4F,2016
Jaime Canuto,W,Pts: 2x0,Rio Summer Open,ABS,SF,2016
Ruan Oliveira,W,Kneebar,Rio Summer Open,ABS,F,2016
Herico Hesley,W,Kneebar,Pan American,94KG,1/4F,2016
Diego Herzog,W,N/A,Pan American,94KG,SF,2016
Leo Nogueira,W,Pts: 2x0,Pan American,94KG,F,2016
Andre Cassio,W,N/A,Brasileiro,94KG,R1,2016
Igor Marques,W,N/A,Brasileiro,94KG,1/4F,2016
R. Torralbas,W,Pts: 11x0,World Champ.,94KG,R1,2016
Dimitrius Souza,W,Pts: 2x2, Adv,World Champ.,94KG,1/4F,2016
Diego Pereira,W,Pts: 0x0, Adv,Brasileiro Equipes,94KG,R1,2016
Fernando Reis,W,Pts: 0x0, Adv,NoGi Pan Ams,97KG,F,2016
Vinicius Soares,W,Pts: 27x2,NoGi Pan Ams,ABS,1/4F,2016
