Opponent,W/L,Method,Competition,Weight,Stage,Year
Carlos Portugues,L,Adv,Brasileiro,76KG,F,2005
Lucas Lepri,L,Kneebar,World Champ.,76KG,SF,2007
Gilbert Burns,L,Pts: 7x2,WPC Gr Trials,74KG,F,2010
Gilbert Burns,L,Points,World Pro.,74KG,SF,2010
Michael Langhi,L,Referee Decision,World Champ.,76KG,F,2010
Leandro Lo,L,Adv,World Pro.,74KG,F,2011
JT Torres,L,Pts: 2x0,World Champ.,76KG,1/4F,2011
Roberto Satoshi,L,Pts: 2x0,World Champ.,76KG,1/4F,2014
Roberto Satoshi,L,Adv,Grand Slam Tokyo,77KG,F,2015
AJ Sousa,L,Pts: 2x0,World Champ.,82KG,R2,2016
Gabriel Arges,L,Pts: 8x7,World Champ.,82KG,1/8F,2016
R. Barbosa,W,Points,World Champ.,76KG,SF,2005
Tiago Alves,W,Pts: 2x0,World Champ.,76KG,F,2005
Daisuke Sugie,W,Pts: 18x0,World Champ.,76KG,R1,2006
Carlos Diego,W,Pts: 8x0,World Champ.,76KG,1/4F,2006
Adriano Martins,W,Pts: 10x0,World Champ.,76KG,SF,2006
Mario Reis,W,Pts: 5x0,World Champ.,76KG,F,2006
Unknown,W,Points,Team Nationals,88KG,1/4F,2006
Rafael Barbosa,W,Pts: 2x0,Rio Teams GP,76KG,R1,2007
Marcelino Freitas,W,Pts: 2x0,Rio Teams GP,76KG,SF,2007
Michel Maia,W,Pts: 4x0,Brasileiro,76KG,F,2007
Michael Langhi,W,Referee Decision,Pan American,76KG,SF,2008
Lucas Lepri,W,Pts: 4x0,Pan American,76KG,F,2008
Jack McVicker,W,Pts: 21x0,World Champ.,76KG,R1,2008
Daisuke,W,Pts: 14x0,World Champ.,76KG,R2,2008
Rafael Rosendo,W,Triangle armbar,World Champ.,76KG,1/4F,2008
Michael Langhi,W,Points,World Champ.,76KG,SF,2008
Lucas Lepri,W,Pts: 2x0,World Champ.,76KG,F,2008
Orlando Zanetti,W,Pts: 4x2,Sul Americano,76KG,F,2009
Mario Reis,W,Referee Decision,WPC Gr Trials,74KG,SF,2010
Oliver Geddes,W,Pts: 16x0,World Pro.,74KG,R1,2010
R. Olivier,W,Kimura,World Pro.,74KG,1/4F,2010
Tiago Rocha,W,Points,World Champ.,76KG,R1,2010
Bruno Frazatto,W,Adv,World Champ.,76KG,R2,2010
Davi Ramos,W,Choke from back,World Champ.,76KG,1/4F,2010
Lucas Lepri,W,Referee Decision,World Champ.,76KG,SF,2010
Rubens Charles,W,Referee Decision,World Pro.,74KG,SF,2011
Yuji Okamoto,W,Armbar,World Champ.,76KG,RDS,2011
Mark Ramos,W,RNC,Ultimate Abs.,76KG,R1,2012
G. Tonon,W,Points,Ultimate Abs.,76KG,1/4F,2012
Renan Borges,W,RNC,Ultimate Abs.,76KG,SF,2012
Justin Rader,W,Points,Ultimate Abs.,76KG,F,2012
Francisco Iturralde,W,Pts: 5x2,World Champ.,76KG,R1,2014
Kleber Koike,W,Pts: 2x0,Grand Slam Tokyo,77KG,SF,2015
Stephen Martinez,W,Pts: 7x0,Grand Slam LA,77KG,1/4F,2015
Marcio Andre,W,Pts: 2x0,Grand Slam LA,77KG,SF,2015
Roberto Satoshi,W,Injury,Grand Slam LA,77KG,F,2015
Rafael Suzuki,W,Pts: 6x0,Grand Slam - Rio,77KG,1/8F,2015
Pedro Fernandes,W,Pts: 2x2, Adv,Grand Slam - Rio,77KG,1/4F,2015
Matheus Costa,W,Choke from back,Grand Slam - Rio,77KG,SF,2015
Lucas Valle,W,Pts: 0x0, Adv,Grand Slam - Rio,77KG,F,2015
