Opponent,W/L,Method,Competition,Weight,Stage,Year
Rafael Barbosa;L;Pts: 9x2;AZ Open;ABS;SF;2010
Claudio Calasans;L;Pts: 2x0;Pan American;82KG;SF;2011
Lucas Leite;L;Pts: 6x0;World Champ.;82KG;SF;2011
Andre Galvao;L;Referee Decision;WJJPC Trials;82KG;SF;2011
JT Torres;L;Pts: 2x0;ADCC;77KG;R1;2011
Joao Assis;L;Pts: 10x0;No Gi Worlds;ABS;1/4F;2011
Marcelo Mafra;L;Pts: 2x0;No Gi Worlds;82KG;1/4F;2011
Victor Estima;L;Estima lock;British Open;82KG;F;2012
Victor Estima;L;Armbar;European Open;82KG;SF;2012
Claudio Calasans;L;Pts: 4x0;Pan American;82KG;SF;2012
Andre Galvao;L;Pts: 3x0;SD World Trials;83KG;F;2012
Otavio Sousa;L;Points;NYC Open;82KG;F;2012
Otavio Sousa;L;Points;World Champ.;82KG;1/4F;2012
DJ Jackson;L;Pts: 5x0;NoGi Worlds;82KG;F;2012
Tarcisio Jardim;L;Pts: 6x4;NoGi Worlds;ABS;1/8F;2012
Magid Hage;L;Baseball choke;SD Pro Trials;85KG;SF;2013
Leo Nogueira;L;Pts: 6x0;Pan American;ABS;R2;2013
Victor Estima;L;Pts: 2x0;World Champ.;82KG;1/4F;2013
Juan Kamezawa;D;N/A;Copa Podio;76KG;GP;2013
Diego Borges;L;Pts: 2x0;Copa Podio;76KG;GP;2013
Leandro Lo;L;Pts: 13x0;Copa Podio;76KG;GP;2013
Keenan Cornelius;L;Pts: 4x2;ADCC;88KG;R1;2013
Lucas Rocha;L;Pts: 7x4;Pan American;82KG;1/4F;2014
Jaime Canuto;L;Pts: 3x2;World Champ.;82KG;RDS;2014
Ricardo Rezende;L;Pts: 11x2;Five Florida;82KG;NA;2014
Marcel Goncalves;L;Armbar;Five Florida;82KG;NA;2014
Magid Hage;L;Crucifix choke;US Nat. Pro;ABS;F;2015
Keenan Cornelius;L;Pts: 7x0;World Pro;85KG;1/4F;2015
Michael Westbrook;W;Choke f/ omoplata;AZ Open;ABS;1/4F;2010
Daniel Haglind;W;Submission;World Champ.;82KG;RDS;2011
Gabriel Rollo;W;Footlock;World Champ.;82KG;1/4F;2011
Frederico Moncaio;W;Omoplata;No Gi Worlds;ABS;R1;2011
Abmar Barbosa;W;Botinha;Pan American;82KG;R2;2012
Otavio Sousa;W;Pts: 2x0;Pan American;82KG;1/4F;2012
Ken Primola;W;Choke f/ omoplata;NYC Open;82KG;1/4F;2012
Gabriel Goulart;W;Choke f/ omoplata;NYC Open;82KG;SF;2012
Adam Hunicutt;W;N/A;World Champ.;82KG;R1;2012
Murilo Santana;W;Points;World Champ.;82KG;1/8F;2012
Murilo Santana;W;Pts: 2x0;NoGi Worlds;82KG;1/4F;2012
Marcus Antelante;W;Armlock;NoGi Worlds;82KG;SF;2012
Levi Oliveira;W;Darce choke;NoGi Worlds;ABS;R1;2012
Marco Machado;W;Omoplata;Pan American;82KG;R2;2013
Otavio Sousa;W;Points;Pan American;82KG;1/4F;2013
DJ Jackson;W;Referee Decision;Pan American;82KG;SF;2013
Marcelo Lapela;W;Choke f/ omoplata;Pan American;82KG;F;2013
Diego Borges;W;Omoplata;Copa Podio;82KG;SPF;2013
Brandon Magana;W;Clock choke;Copa Podio;76KG;GP;2013
Rafael Mendes;D;---;Metamoris 3;ABS;SPF;2014
Victor Silverio;W;Kimura;Pan American;82KG;R1;2014
Thiago Dutra;W;Armbar;World Champ.;82KG;RDS;2014
Leo Iturralde;W;Inverted triangle;World Champ.;82KG;RDS;2014
Chris Westfall;W;Choke f/ omoplata;Five TX;82KG;SF;2014
Tanner Rice;W;Referee Decision;US Nat. Pro;82KG;1/4F;2015
Dang Khoa;W;Inverted omoplata;US Nat. Pro;82KG;SF;2015
Magid Hage;W;Pts: 8x6;US Nat. Pro;82KG;F;2015
Eliot Kelly;W;Pts: 2x0;US Nat. Pro;ABS;F;2015
Felipe Sansone;W;Pts: 4x2;World Pro;85KG;R1;2015
Roberto Satoshi;D;---;Metamoris 6;ABS;SPF;2015
Mario Handa;W;Omoplata;Grand Slam Tokyo;85KG;SF;2015
Marcos Souza;W;Referee Decision;Grand Slam Tokyo;85KG;F;2015
Magid Hage;W;Referee Decision;Berkut 3;ABS;SPF;2016
