Opponent,W/L,Method,Competition,Weight,Stage,Year
Mario Reis;L;Referee Decision;World Champ.;76KG;SF;2006
Murilo Santana;L;Triangle armbar;ADCC Trials;77KG;F;2009
Roger Gracie;L;Cross choke;World Champ.;ABS;SF;2009
Marcelo Garcia;L;Pts: 2x0;World Champ.;82KG;F;2010
Diego Borges;L;Pts: 4x2;World Pro Trials;83KG;F;2011
Rubens Charles;L;Pts: 4x2;World Pro.;ABS;1/4F;2011
Rodolfo Vieira;L;Armbar;World Champ.;ABS;R2;2011
Andre Galvao;L;Adv;WJJPC Trials;82KG;F;2011
Leonardo Vieira;L;Pts: 3x0;ADCC;77KG;SF;2011
Kron Gracie;L;Guillotine;ADCC;77KG;3PLC;2011
Marcus Almeida;L;Points;Pan Am CBJJE;ABS;F;2011
Otavio Sousa;L;Pts: 6x6, Pen;World Champ.;82KG;F;2012
Bernardo Faria;L;Pts: 4x0;European Open;ABS;SF;2013
Victor Estima;L;Bow and arrow;World Pro;82KG;SF;2013
Rodolfo Vieira;L;Pts: 9x0;World Pro;ABS;SF;2013
Leandro Lo;L;Points;Copa Podio;82KG;SPF;2013
Otavio Sousa;L;Pts: 4x2;World Champ.;82KG;F;2013
Oskar Piechota;L;Choke;ADCC;88KG;R1;2013
Marcus Almeida;L;Submission;World Pro.;ABS;R2;2014
Leandro Lo;L;Pts: 4x2;Mundial CBJJE;ABS;F;2014
Vitor Oliveira;L;Adv;IBJJF Pro League;82KG;SF;2014
Luiz Panza;L;Botinha;Copa Podio;85KG;GP;2014
Felipe Pena;L;Pts: 7x2;Copa Podio;85KG;SF;2014
Abdurahman Bilarov;L;Points;Berkut Open;ABS;F;2015
Delson Heleno;L;Referee Decision;ADCC RJ;88KG;R1;2015
Victor Estima;L;Pts: 0x0, Adv;World Pro;85KG;1/4F;2015
Keenan Cornelius;L;Pts: 2x0;ADCC;88KG;1/4F;2015
Felipe Pena;L;Pts: 4x2;World Pro;ABS;1/8F;2016
Leandro Lo;L;Referee Decision;World Pro;85KG;F;2016
Gabriel Arges;L;Kneebar;World Champ.;82KG;1/4F;2016
Erberth Santos;D;Pts: 0x0;Copa Podio;86KG;GP;2016
Diego Borges;L;Pts: 2x0;Copa Podio;86KG;GP;2016
Sal Rangel;W;Pts: 4x2;World Champ.;76KG;1/4F;2006
Walber Brigo;W;Points;ADCC Trials;77KG;R1;2009
Augusto Mendes;W;Points;ADCC Trials;77KG;1/4F;2009
Rodrigo Damm;W;Referee Decision;ADCC Trials;77KG;SF;2009
Jose Carlos;W;Points;WPC SD trials;83KG;SF;2010
Adriano Silva;W;Guillotine;WPC SD trials;83KG;F;2010
Braulio Estima;W;Adv;World Pro.;ABS;F;2010
Braulio Estima;W;Pts: 2x2, Pen;World Pro.;83KG;F;2010
Lucas Leite;W;Points;World Champ.;82KG;1/4F;2010
Sergio Moraes;W;Points;World Champ.;82KG;SF;2010
Bernardo Faria;W;Pts: 4x4, Adv;European;ABS;SF;2011
Sergio Moraes;W;Pts: 4x4, Adv;European;ABS;F;2011
Bruno Alves;W;Choke;European;82KG;F;2011
Unknown;W;Adv;World Pro Trials;83KG;R1;2011
Unknown;W;Guillotine;World Pro Trials;83KG;1/4F;2011
Juarez Harles;W;Pts: 2x0;World Pro Trials;83KG;SF;2011
Clark Gracie;W;Pts: 2x0;Pan American;82KG;SF;2011
Lucas Leite;W;Wristlock;Pan American;82KG;F;2011
Alan Finfou;W;Adv;World Pro.;83KG;SF;2011
Vinicius Corrales;W;Pts: 6x6, Adv;World Pro.;83KG;F;2011
Tetsuya Kondo;W;Choke;World Champ.;ABS;R1;2011
Unknown;W;Submission;World Champ.;82KG;RDS;2011
Daniel Strauss;W;Kneebar;ADCC;77KG;R1;2011
Augusto Mendes;W;Heel hook;ADCC;77KG;1/4F;2011
Frederico Oliveira;W;Armbar;Pan Am CBJJE;ABS;NA;2011
Jose Carlos;W;Armbar;Pan Am CBJJE;ABS;NA;2011
Alexandre Ceconi;W;N/A;Pan Am CBJJE;ABS;SF;2011
Renato Cardoso;W;Pts: 0x0, Adv;Mundial CBJJE;ABS;F;2012
Francisco Torres;W;Points;Pan American;82KG;R2;2012
Thiago Abreu;W;Armbar;Pan American;82KG;1/4F;2012
Clark Gracie;W;Pts: 4x0;Pan American;82KG;SF;2012
Victor Estima;W;Pts: 4x2;Pan American;82KG;F;2012
DJ Jackson;W;Armbar;World Pro.;82KG;R2;2012
Marcos de Souza;W;Points;World Pro.;82KG;1/4F;2012
Bruno Alves;W;Armbar;World Pro.;82KG;SF;2012
Lucas Leite;W;Pts: 2x0;World Pro.;82KG;F;2012
Rodrigo Sousa;W;Shoulder lock;World Champ.;82KG;R2;2012
Jake Mackenzie;W;Wristlock;World Champ.;82KG;1/8F;2012
Alan Finfou;W;Pts: 4x2;World Champ.;82KG;1/4F;2012
Victor Estima;W;Pts: 4x4, Adv;World Champ.;82KG;SF;2012
Leonardo Maciel;W;Pts: 2x0;European Open;ABS;1/4F;2013
DJ Jackson;W;Pts: 0x0, Pen;European Open;82KG;1/4F;2013
Fernando Terere;W;DQ;European Open;82KG;F;2013
DJ Jackson;W;Pts: 0x0, Adv;World Pro;82KG;R1;2013
Tarsis Humphreys;W;Pts: 6x0;World Pro;82KG;1/4F;2013
Tarsis Humphreys;W;Adv;World Pro;ABS;3PLC;2013
Tio Chico;W;Pts: 2x0;World Champ.;82KG;1/4F;2013
Victor Estima;W;Pts: 8x4;World Champ.;82KG;SF;2013
Luca Anacoreta;W;Submission;European;82KG;SF;2014
JT Torres;W;Pts: 2x2, Adv;European;82KG;F;2014
Unknown;W;Pts: 2x0;World Pro.;ABS;R1;2014
Paulo Miyao;W;Pts: 2x2, Adv;Mundial CBJJE;ABS;SF;2014
Howon Jung;W;Amassa Pao choke;Asian Open;ABS;SF;2014
Abraham Marte;W;Pts: 5x4;Asian Open;ABS;F;2014
Sonoda Kendy;W;Armbar;Asian Open;88KG;SF;2014
Julien Cazier;W;Amassa Pao choke;Asian Open;88KG;F;2014
Luis Gustavo;W;Choke from back;Copa Podio;85KG;GP;2014
Diogo Sampaio;W;Points;Copa Podio;85KG;GP;2014
Jon Satava;W;Pts: 0x0, Adv;Copa Podio;85KG;GP;2014
Renato Cardoso;W;Pts: 0x0, Adv;Brazil Nat. Pro;85KG;1/4F;2015
Fred Almeida;W;N/A;Brazil Nat. Pro;85KG;SF;2015
Rafael Nicholas;W;Pts: 0x0, Adv;Brazil Nat. Pro;85KG;F;2015
Unknown;W;Referee Decision;Berkut Open;ABS;SF;2015
Unknown;W;Adv;Berkut Open NoGi;ABS;1/4F;2015
Unknown;W;Guillotine;Berkut Open NoGi;ABS;SF;2015
Unknown;W;Pts: 8x0;Berkut Open NoGi;ABS;F;2015
Mauro Santiago;W;Kneebar;ADCC SP;88KG;R1;2015
I. Paiva;W;Guillotine;ADCC SP;88KG;SF;2015
Felipe Cesar;W;Pts: 0x0, Pen;ADCC SP;88KG;F;2015
Rodrigo Martins;W;Amassa pao;World Pro;85KG;R1;2015
Renato Cardoso;W;Pts: 0x0, Adv;World Pro;85KG;R2;2015
Bruno Togni;W;Estima lock;World Champ.;82KG;1/8F;2015
Vinicius Marinho;W;Pts: 6x4;World Champ.;82KG;1/4F;2015
Victor Estima;W;Pts: 4x2;World Champ.;82KG;SF;2015
Vitor Oliveira;W;Pts: 8x4;World Champ.;82KG;F;2015
Mike Perez;W;Referee Decision;ADCC;88KG;R1;2015
Gabriel Lucas;W;Referee Decision;ADCC;ABS;R1;2015
Vinny Magalhaes;W;Referee Decision;ADCC;ABS;1/4F;2015
Yuri Simoes;W;Referee Decision;ADCC;ABS;SF;2015
Joao Rocha;W;Pts: 0x0, Pen;ADCC;ABS;F;2015
Lucas Rocha;D;---;Berkut 2;ABS;SPF;2015
Igor Sousa;W;Referee Decision;World Pro;ABS;R2;2016
Abner Souza;W;Pts: 0x0, Adv;World Pro;85KG;1/8F;2016
Gustavo Campos;W;Pts: 0x0, Adv;World Pro;85KG;1/4F;2016
Romulo Barral;W;Kneebar;World Pro;85KG;SF;2016
Javier Yamuni;W;Pts: 15x0;World Champ.;82KG;R2;2016
Diego Sampaio;W;Pts: 6x2;World Champ.;82KG;1/8F;2016
Dan Borovic;W;Pts: 2x2, Adv;Copa Podio;86KG;GP;2016
John Combs;W;Guillotine;Copa Podio;86KG;GP;2016
Leandro Kussano;W;Points;Asian Open;88KG;SF;2016
Alec Baulding;W;Pts: 2x0;Asian Open;88KG;F;2016
Renato Cecilio;W;Choke from back;Asian Open;ABS;1/4F;2016
Nathan Mendelsohn;W;Pts: 4x0;Asian Open;ABS;SF;2016
Leandro Kussano;W;Points;Asian Open;ABS;F;2016
