Opponent,W/L,Method,Competition,Weight,Stage,Year
Gilbert Burns,L,Pts: 2x0,World Pro.,74KG,F,2010
Leandro Lo,L,Choke from back,Copa Podio,76KG,F,2011
Vinicius Marinho,L,Pts: 4x2,Pan American,76KG,1/4F,2012
Michael Langhi,L,Pts: 8x4,Copa Podio,ABS,SPF,2012
Rodrigo Caporal,L,Points,World Champ.,76KG,1/4F,2013
Paulo Miyao,L,Adv,Brasileiro CBJJE,NA,NA,2013
Roberto Satoshi,L,Choke,World Pro.,76KG,SF,2014
Arnaldo Maidana,L,DQ,No Gi Worlds,88KG,SF,2014
Charles Negromonte,L,Pts: 2x0,Brasileiro NoGi,88KG,F,2014
Dimitrus Souza,L,Pts: 2x2, Adv,Rio BJJ Pro,94KG,F,2014
Erberth Santos,L,Armbar,Rio Fall NoGi,ABS,F,2015
Davi Ramos,L,RNC,ADCC RJ,77KG,F,2015
Gabriel Rollo,L,Pts: 0x0, Pen,ADCC SP,77KG,F,2015
Augusto Carsalade,L,Points,Brasileiro,82KG,F,2015
Wellington Luis,L,Pts: 0x0, Adv,Brazil Nat. Pro,77KG,1/4F,2015
Gabriel Rollo,L,Pts: 2x2, Adv,Desafio UK,82KG,RR,2015
Patrick Gaudio,L,Pts: 3x2,Brasileiro NoGi,85KG,SF,2015
Luan Carvalho,L,Referee Decision,Brasileiro,82KG,SF,2016
Bruno Frazatto,W,Pts: 2x0,WPC SD trials,74KG,SF,2010
Vitor Oliveira,W,Pts: 2x0,WPC SD trials,74KG,F,2010
Eduardo Pessoa,W,Kneebar,Copa Podio,76KG,GP,2011
Vinicius Marinho,W,Pts: 2x0,Copa Podio,76KG,GP,2011
Helder Medeiros,W,Pts: 2x0,Copa Podio,76KG,GP,2011
Ed Ramos,W,Pts: 0x0, Adv,Copa Podio,76KG,SF,2011
Marcel Goulart,W,Points,World Champ.,76KG,R1,2012
Unknown,W,Katagatame,Rio Open,76KG,1/4F,2013
Sandro Vieira,W,Kneebar,Rio Open,76KG,SF,2013
AJ Agazarm,W,Adv,Rio Open,76KG,F,2013
Rafael Henrique,W,Pts: 2x0,World Pro Trial,76KG,SF,2014
Thiago Abreu,W,Pts: 5x0,World Pro Trial,76KG,F,2014
Charles Negromonte,W,N/A,Brasileiro,82KG,SF,2014
Diego Borges,W,Referee Decision,Brasileiro,82KG,F,2014
Romulo Souza,W,Points,No Gi Pan Am.,88KG,SF,2014
Brian Beaury,W,Toe hold,No Gi Pan Am.,88KG,F,2014
Felipe Brobrick,W,Points,No Gi Worlds,88KG,1/4F,2014
Unknown,W,Toe hold,Brasileiro NoGi,ABS,1/4F,2014
Victor Bomfim,W,Pts: 2x2, Adv,Rio BJJ Pro,94KG,SF,2014
Pedro Henrique,W,N/A,Rio Fall NoGi,88KG,SF,2015
William Martins,W,N/A,Rio Fall NoGi,88KG,F,2015
Rodrigo Rocha,W,DQ,Rio Fall NoGi,ABS,SF,2015
Thiago Gaia,W,Calf slicer,ADCC RJ,77KG,R1,2015
Lucas Gomes,W,Footlock,ADCC RJ,77KG,1/4F,2015
Chico Salgado,W,Leglock,ADCC RJ,77KG,SF,2015
Jake Mackenzie,W,Referee Decision,ADCC SP,77KG,1/4F,2015
Jonatas Gracie,W,Toe hold,ADCC SP,77KG,SF,2015
Victor Silverio,W,Referee Decision,Brasileiro,82KG,SF,2015
Edson Luis,W,N/A,Curitiba No Gi,88KG,SF,2015
Romeu Mendes,W,Adv,Curitiba No Gi,88KG,F,2015
Unknown,W,Footlock,Curitiba Open,82KG,1/4F,2015
Fabio Pulita,W,Adv,Curitiba Open,82KG,SF,2015
Joao Carvalho,W,N/A,Brazil Nat. Pro,77KG,R1,2015
Caio Gregori,W,Katagatame,Brazil Nat. Pro,U77KG,R1,2015
Darcy InÃ¡cio,W,Kimura,Sub. Campos X,77KG,RR,2015
Leonardo Vasconcelos,W,Points,Sub. Campos X,77KG,RR,2015
Bruno Celio,W,Katagatame,Team Nationals,76KG,F,2015
Lucas Valle,W,Adv,Desafio UK,82KG,RR,2015
Hermes FranÃ§a,W,Pts: 4x0,Desafio UK,82KG,RR,2015
Luciano Bernert,W,Triangle,Desafio UK,82KG,RR,2015
Felipe Cesar,D,---,Desafio UK,82KG,RR,2015
Lucas Valle,W,Pts: 10x0,Desafio UK,82KG,3RD,2015
JoÃ£o Diniz,W,Triangle,Brasileiro NoGi,85KG,1/4F,2015
Tomasz Michalowsk,W,N/A,European NoGi,88KG,SF,2016
Max Carvalho,W,N/A,European NoGi,88KG,F,2016
Ricardo Elleres,W,N/A,Brasileiro,82KG,R1,2016
Chaise Albuquerque,W,N/A,Brasileiro,82KG,1/8F,2016
Vinicius Garcia,W,N/A,Brasileiro,82KG,1/4F,2016
Carlos Guedes,W,Toe hold,Brasileiro Equipes,76KG,SF,2016
H. Marques,W,Adv,Brasileiro Equipes,76KG,F,2016
Gabriel Alves,W,Kneebar,Brasileiro NoGi,85KG,1/4F,2016
Gabriel ProcÃ³pio,W,Points,Brasileiro NoGi,85KG,SF,2016
