Opponent,W/L,Method,Competition,Weight,Stage,Year
Marcio Feitosa;L;Points;Arnold Classic;73KG;F;2001
Vitor Shaolin;L;Points;Arnold Classic;73KG;F;2002
Carlos Portugues;L;Adv;Pan American;73KG;F;2002
Alexandre Dantas;L;Points;Estadual RJ;88KG;1/4F;2002
Suyan Queiroz;L;Adv;Liga Niteroi;73KG;F;2002
Otto Olsen;L;Points;ADCC Trials;77KG;F;2003
Vitor Shaolin;L;Pts: 2x0;Arnold Classic;73KG;SF;2003
Wagney Fabiano;L;Points;Arnold Classic;73KG;R1;2004
Reinaldo Ribeiro;L;Choke from back;GP Blackbelt;70KG;SF;2004
Tiago Alves;L;Points;World Champ.;76KG;R1;2005
Andre Bastos;L;DQ;Liga NiterÃ³i;76KG;1/4F;2005
Kurt Pellegrino;L;Referee Decision;Arnold Classic;73KG;SF;2005
Marcelo Garcia;L;DQ;World Champ.;82KG;SF;2006
Andre Galvao;L;Pts: 16x2;ADCC Trials;77KG;F;2007
Pablo Popovitch;L;Points;World NoGi;79KG;F;2007
Murilo Santana;L;Points;ADCC Trials;77KG;SF;2009
Carlos Ferreira;L;Points;NoGi Worlds;79KG;SF;2009
Marcus Almeida;L;RNC;Copa America;ABS;SF;2010
Pablo Popovitch;L;Pts: 6x0;No Gi Worlds;86KG;F;2010
Delson Heleno;L;Pts: 6x0;ADCC RJ;88KG;1/8F;2015
Romulo Azevedo;L;Points;Aberto de verÃ£o;88KG;F;2015
Gregor Gracie;L;Points;Copa Podio;ABS;SPF;2015
Hermes Franca;W;Points;Arnold Classic;73KG;R1;2001
Jeff Curran;W;Points;Arnold Classic;73KG;1/4F;2001
Anthony Tolene;W;Points;Arnold Classic;73KG;SF;2001
Shawn Williams;W;Points;Arnold Classic;73KG;R1;2002
Jeff Curran;W;Points;Arnold Classic;73KG;1/4F;2002
Alberto Crane;W;Pts: 11x0;Arnold Classic;73KG;SF;2002
Wander Braga;W;Pts: 6x0;Pan American;73KG;R1;2002
Marcelo Queiroz;W;Submission;Pan American;73KG;1/4F;2002
Alberto Crane;W;Pts: 3x0;Pan American;73KG;SF;2002
Joao Silva;W;Pts: 8x2;Gracie Pac. Rim;ABS;1/4F;2002
Baret Yoshida;W;Pts: 11x0;Gracie Pac. Rim;ABS;SF;2002
Gabriel Wilcox;W;Points;Liga Niteroi;73KG;SF;2002
Pedro Brandao;W;Points;Bud Cup;ABS;SF;2002
Carlos Lemos;W;Points;Bud Cup;ABS;F;2002
Johil de Oliveira;W;Pts: 21x0;ADCC Trials;77KG;R1;2003
Fernando Terere;W;Pts: 2x0;ADCC Trials;77KG;1/4F;2003
Marcelo Garcia;W;Pen;ADCC Trials;77KG;SF;2003
Jorge Gurgel;W;Pts: 8x0;Bud Cup;73KG;SPF;2003
Jeff Curran;W;Points;Arnold Classic;73KG;R1;2003
N. Phungephorn;W;Pts: 6x0;Arnold Classic;73KG;1/4F;2003
Pete deBeen;W;Injury;World Champ.;76KG;R1;2003
Frederico Ribeiro;W;Pts: 5x0;World Champ.;76KG;1/4F;2003
Bruno de Paula;W;Points;World Champ.;76KG;SF;2003
Marcio Feitosa;W;Adv;World Champ.;76KG;F;2003
Armando Guedes;W;Submission;Pan American;76KG;1/4F;2004
Edson Diniz;W;Pts: 14x0;Pan American;76KG;SF;2004
Carlos Portugues;W;Referee Decision;Pan American;76KG;F;2004
Diego Asenjo;W;Points;World Champ.;76KG;1/4F;2004
Bruno de Paula;W;Pts: 4x0;World Champ.;76KG;SF;2004
Rodrigo Magalhaes;W;Pts: 4x0;World Champ.;76KG;F;2004
Ocimar Costa;W;Pts: 13x0;GP Blackbelt;70KG;R1;2004
Mario Reis;W;Adv;GP Blackbelt;70KG;1/4F;2004
Rafael Assuncao;W;Points;Arnold Classic;73KG;1/4F;2005
Jack McVicker;W;Points;Arnold Classic;73KG;SF;2005
Edson Diniz;W;Points;Arnold Classic;73KG;F;2005
Rodrigo Damm;W;Pts: 5x0;Copa Cyclone;ABS;SPF;2005
Theodoro Canal;W;Submission;Liga NiterÃ³i;76KG;R1;2005
Chris Moriaty;W;Referee Decision;Arnold Classic;73KG;R1;2005
Matt Jones;W;Submission;Arnold Classic;73KG;1/4F;2005
Mike Fowler;W;Pts: 5x0;World Champ.;82KG;R1;2006
Yan Cabral;W;Pts: 3x0;World Champ.;82KG;1/4F;2006
Rodrigo Damm;W;Points;Copa Cyclone;SPF;77KG;2006
Edson Chulapa;W;RNC;Copa Cyclone;77KG;SPF;2006
Carlos Eduardo;W;Points;ADCC Trials;77KG;R1;2007
Bernardo Magalhaes;W;Submission;ADCC Trials;77KG;1/8F;2007
Marcelo Azevedo;W;Points;ADCC Trials;77KG;1/4F;2007
Lucas Leite;W;Points;ADCC Trials;77KG;SF;2007
Wagner Rocha;W;Points;World NoGi;79KG;1/4F;2007
Bill Cooper;W;Guillotine;World NoGi;79KG;SF;2007
Bruno de Paula;W;Points;FILA Trials;77KG;SF;2007
Denilson Soldani;W;Points;FILA Trials;77KG;F;2007
Raphael Chaves;W;Referee Decision;NoGi Worlds;79KG;R1;2008
Jonatas Novaes;W;Pts: 11x0;NoGi Worlds;79KG;1/4F;2008
Carlos Ferreira;W;Points;NoGi Worlds;79KG;SF;2008
Lucas Lepri;W;Pts: 0x0, Adv;NoGi Worlds;79KG;F;2008
Alexandre Pulga;W;Submission;ADCC Trials;77KG;1/4F;2009
Roberto Abreu;W;Points;Copa America;ABS;SF;2009
Mike deBartolo;W;Submission;Copa America;ABS;F;2009
Nik Ruben;W;Points;NoGi Worlds;79KG;1/8F;2009
Marcelo Mafra;W;Referee Decision;NoGi Worlds;79KG;1/4F;2009
Alan Berube;W;Submission;Copa America;ABS;1/4F;2009
Matt Aroyo;W;Points;Copa America;ABS;SF;2009
Reby Donofrio;W;Points;Copa America;ABS;F;2009
Jordan Schultz;W;Points;GQ Europa;77KG;1/4F;2010
Andrew Mcinnes;W;Points;GQ Europa;77KG;SF;2010
Enrico Cocco;W;Points;GQ Europa;77KG;F;2010
James Clingerman;W;Submission;No Gi Panams;79KG;R1;2010
Bruno Tostes;W;Submission;No Gi Panams;79KG;1/8F;2010
Mike Camarillo;W;Points;No Gi Panams;79KG;1/4F;2010
Reby Donofrio;W;Points;Copa America;ABS;R1;2010
Matt Aroyo;W;Points;Copa America;ABS;1/8F;2010
Fred Moncaio;W;Points;Copa America;ABS;1/4F;2010
Kleber BuiÃº;W;Pts: 8x0;No Gi Worlds;86KG;SF;2010
Tony Tipton;W;Pts: 3x0;Rupture Houston;92KG;1/4F;2010
Carlo Prater;W;Pts: 4x0;Rupture Houston;92KG;SF;2010
Frost Murphy;W;Pts: 20x0;Rupture Houston;92KG;F;2010
Jonathan Valle;W;Pts: 9x0;Ilha Sports;ABS;SPF;2014
Marcos Grael;W;Pts: 5x0;Aberto de verÃ£o;88KG;SF;2015
Leonardo Ramos;W;Submission;Copa Helio Gracie;82KG;SF;2016
Everton Luis;W;Submission;Copa Helio Gracie;82KG;F;2016
