Opponent,W/L,Method,Competition,Weight,Stage,Year
Leandro Lo;L;Cross choke;Pan American;ABS;R2;2016
Felipe Pena;L;Injury;World Pro;ABS;1/4F;2016
R. Evangelista;L;Referee Decision;World Pro;O94KG;1/4F;2016
Gustavo Elias;L;Referee Decision;World Champ.;O100KG;R1;2016
Rodrigo Cavaca;L;Pts: 0x0;World Champ.;ABS;R2;2016
Charles Gaspar;W;Armbar;Asian Open;O100KG;F;2015
Unknown;W;Kimura;Asian Open;ABS;R1;2015
Bruno Amorim;W;Lapel choke;Asian Open;ABS;1/4F;2015
Howon Jung;W;Armbar;Asian Open;ABS;SF;2015
Rodrigo Caporal;W;Points;Asian Open;ABS;F;2015
Pedro Moura;W;Pts: 2x0;Pan American;O100KG;1/8F;2016
Abraham Marte;W;Choke;Pan American;O100KG;1/4F;2016
Steven Patterson;W;Armbar;Pan American;ABS;R1;2016
Marcos Costa;W;Points;World Pro;ABS;R1;2016
Arturo Espies;W;Americana;World Pro;ABS;R2;2016
Kevin Mahecha;W;Pts: 2x0;World Pro;ABS;1/8F;2016
Gabriel Lucas;W;Referee Decision;World Pro;O94KG;R1;2016
