Opponent,W/L,Method,Competition,Weight,Stage,Year
Eduardo Rios;L;Cross choke;European;82KG;R1;2015
Gianni Grippo;L;Points;SF Open;ABS;1/4F;2015
Josh Hinger;L;Triangle;SF Open;82KG;1/4F;2015
Alan Finfou;L;Points;Rome Open;88KG;F;2015
Renato Cardoso;L;Wristlock;World Pro;85KG;R1;2015
Josh Hinger;L;Points;EBI 3;77KG;SF;2015
Luca Anacoreta;L;Points;World Champ.;82KG;R1;2015
Tanner Rice;L;Points;American Nat.;82KG;F;2015
Jake McKenzie;L;Points;Rio Winter Open;82KG;R1;2015
Charles Negromonte;L;Points;London Open;82KG;F;2015
Charles Negromonte;L;Points;European Open;82KG;R2;2016
Yago Souza;L;Pts: 11x0;Pan American;82KG;1/8F;2016
Jonathan Satava;D;N/A;Polaris 3;82KG;SPF;2016
Lucas Leite;L;Pts: 9x2;World Champ.;82KG;R2;2016
Perttu Tepponen;L;Pts: 4x0;NoGi Finnish Open;ABS;SF;2016
Magomedov;L;Points;ADCC EU Trials;77KG;1/4F;2016
Nic Ruben;W;Darce choke;London Open;82KG;SF;2014
Luca Anacoreta;W;Points;London Open;82KG;F;2014
Sebastian Lecoq;W;N/A;London NoGi Open;79KG;SF;2014
Ilke Bulut;W;North south choke;London NoGi Open;79KG;F;2014
Chris Regan;W;Baseball bat choke;Sub15teen;ABS;SPF;2014
Maciek Kozak;W;Baseball bat choke;Toukon Challenge;ABS;SPF;2014
Daniel Bertina;W;Baseball bat choke;World Pro Trials;85KG;SF;2014
Jan Michalowski;W;Points;World Pro Trials;85KG;F;2014
Max Campos;D;---;Polaris;ABS;SPF;2015
Kim Terra;W;N/A;SF Open;ABS;R1;2015
Diego Calvacanti;W;Baseball bat choke;Rome Open;88KG;1/4F;2015
Santeri Lilius;W;Baseball bat choke;Rome Open;88KG;SF;2015
Javier Vazquez;W;Points;EBI 3;77KG;R1;2015
Richie Martinez;W;North south choke;EBI 3;77KG;1/4F;2015
Carlos Ferreira;W;Points;US No Gi Nat.;79KG;SF;2015
Sean Fischer;W;Points;US No Gi Nat.;79KG;F;2015
Carlos Ferreira;W;Points;American Nat.;82KG;1/4F;2015
Leo Iturralde;W;Points;American Nat.;82KG;SF;2015
Sebastian Lecoq;W;Points;London Open;82KG;SF;2015
Esmerlannio Neto;W;Points;London NoGi Open;79KG;SF;2015
Luciano Rodrigues;W;Points;London NoGi Open;79KG;F;2015
Gustavo Dantas;W;N/A;Gothenburg Open;ABS;1/4F;2015
Davi Raab;W;Points;European Open;82KG;R1;2016
Harto VallimÃ¤gi;W;RNC;NoGi Finnish Open;ABS;R1;2016
Riku Hapulahti;W;Triangle;NoGi Finnish Open;ABS;1/4F;2016
Ville Heikkonen;W;Armbar;NoGi Finnish Open;79KG;SF;2016
Jaakko Hulkkonen;W;Pts: 7x0;NoGi Finnish Open;79KG;F;2016
Nic Ruben;W;Points;ADCC EU Trials;77KG;R1;2016
Unknown;W;Armbar;ADCC EU Trials;77KG;R2;2016
Juliano Rocha;W;Darce choke;London NG Open;79KG;SF;2016
Arbi Muradov;W;Points;London NG Open;79KG;F;2016
