Opponent,W/L,Method,Competition,Weight,Stage,Year
Celso Vinicius;L;Choke from back;World Champ.;76KG;1/4F;2010
Augusto Mendes;L;DQ;South American;76KG;SF;2010
Michael Langhi;L;Points;Brasileiro;76KG;SF;2011
Michael Langhi;L;Pts: 4x0;World Champ.;76KG;1/4F;2011
Rustam Chsiev;L;Points;Ultimate Abs.;ABS;1/4F;2011
Antonio Peinado;L;DQ;No Gi Worlds;ABS;1/4F;2011
Victor Estima;L;Estima lock;No Gi Worlds;82KG;SF;2011
Caio Almeida;L;Choke;Copa Podio;85KG;GP;2012
Dimitrius Souza;L;Pts: 6x4;Copa Podio;85KG;SF;2012
Roberto Satoshi;L;Pts: 3x2;World Pro.;76KG;R2;2012
Gabriel Rollo;L;Pts: 2x2, Adv;Brasileiro;76KG;1/4F;2012
Vinicius Marinho;L;Pts: 4x4, Adv;World Champ.;76KG;R3;2012
Diogo Sampaio;L;Pts: 2x0;Copa Podio;88KG;GP;2013
Felipe Pena;L;Choke from back;Copa Podio;88KG;GP;2013
Otavio Sousa;L;Pts: 6x2;World Champ.;82KG;1/4F;2013
Lucas Lepri;L;Pts: 4x2;Copa Podio;77KG;GP;2016
Leandro Lo;L;Pts: 6x2;Copa Podio;77KG;GP;2016
Andre Galvao;L;Pts: 0x0, Adv;World Pro;ABS;R2;2016
AJ Agazarm;L;Pts: 2x0;World Pro;77KG;1/4F;2016
Augusto Mendes;W;Points;World P. NoGi;74KG;R1;2011
Michel Maia;W;N/A;World P. NoGi;74KG;1/4F;2011
JT Torres;W;Points;World P. NoGi;74KG;SF;2011
Warren Stout;W;Toe hold;Ultimate Abs.;ABS;R1;2011
Jeff Monson;W;Armbar;Grapplers Quest LV;ABS;SF;2011
Joao Assis;W;Toe hold;Grapplers Quest LV;ABS;F;2011
Warren Stout;W;Kneebar;NoGi Pan Ams;82KG;SF;2011
Pedro Elias;W;Toe hold;NoGi Pan Ams;82KG;F;2011
Unknown;W;RNC;NoGi Pan Ams;ABS;1/4F;2011
Kayron Gracie;W;Calf slicer;NoGi Pan Ams;ABS;F;2011
Leo Davila;W;Submission;No Gi Worlds;ABS;R2;2011
Rafael Rosendo;W;Verbal tap;No Gi Worlds;82KG;1/4F;2011
Rafael Freitas;W;Verbal tap;No Gi Worlds;82KG;1/4F;2011
Pedro Mello;W;Pts: 8x0;Copa Podio;85KG;GP;2012
Ricardo Bastos;D;---;Copa Podio;85KG;GP;2012
Tiago Barata;W;Armbar;Copa Podio;85KG;GP;2012
Ricardo Bastos;W;Pts: 2x0;Copa Podio;85KG;3RD;2012
Rodrigo Akilis;W;Pts: 6x0;Gramado Trials;75KG;SF;2012
Thiago Abreu;W;Points;Gramado Trials;75KG;F;2012
Francisco Tavares;W;Armbar;World Champ.;76KG;R1;2012
Unknown;W;Choke from back;World Champ.;76KG;R2;2012
Alexandre Ceconi;W;Toe hold;Copa Podio;88KG;GP;2013
Kit Dale;D;---;Copa Podio;88KG;GP;2013
Nic Nikolaisen;W;Choke;European;82KG;R2;2015
Victor Silverio;W;Pts: 2x0;European;82KG;1/4F;2015
Francisco Iturralde;W;Pts: 2x0;European;82KG;SF;2015
Unknown;W;Toe hold;Sharjah Open;ABS;1/4F;2015
Luis V.;W;Russian armbar;Sharjah Open;ABS;SF;2015
Jiddu Lemos;W;Referee Decision;Sharjah Open;ABS;F;2015
Rafael Ferreira;W;Armbar;ADCC RJ;77KG;R1;2015
Luan Andrei;W;RNC;ADCC RJ;77KG;R2;2015
Matheus Oliveira;W;Armbar;ADCC RJ;77KG;R3;2015
Geraldo Freitas;W;Referee Decision;ADCC RJ;77KG;1/4F;2015
Thiago Abreu;W;Pts: 4x0;ADCC RJ;77KG;SF;2015
Claudio Mattos;W;RNC;ADCC RJ;77KG;F;2015
Young-Ahm;W;RNC;ADCC;77KG;R1;2015
Gabriel Rollo;W;Pts: 3x0;ADCC;77KG;1/4F;2015
Gilbert Burns;W;RNC;ADCC;77KG;SF;2015
Lucas Lepri;W;Flying armbar;ADCC;77KG;F;2015
Felipe Cesar;W;Pts: 2x0;Copa Podio;77KG;GP;2016
AJ Sousa;W;Pts: 2x0;Copa Podio;77KG;GP;2016
Marcos Tinoco;W;Pts: 4x2;World Pro;77KG;R1;2016
Alex Cabanes;W;Pts: 0x0, Adv;World Pro;77KG;1/8F;2016
