Opponent,W/L,Method,Competition,Weight,Stage,Year
Ricardo Almeida;L;Pts: 3x0;ADCC;99KG;1/4F;2001
David Terrell;L;Pts: 2x0;Gracie Open;ABS;SPF;2002
Ricardo Almeida;L;Points;Grapplers Quest;ABS;1/4F;2002
Alexandre Ribeiro;L;Pts: 8x0;ADCC;99KG;1/4F;2003
Glover Teixeira;L;Points;ADCC;99KG;1/4F;2009
Vinny Magalhaes;L;Points;ADCC;ABS;R1;2009
Alexandre Ribeiro;D;N/A;Metamoris;ABS;SPF;2012
Joao Assis;L;Pts: 5x0;ADCC;99KG;F;2013
Marcus Almeida;L;Pts: 5x0;ADCC;ABS;SF;2013
Keenan Cornelius;L;Points;ADCC;ABS;3PLC;2013
Josh Barnet;L;Choke;Metamoris 4;100KG+;SPF;2014
Keenan Cornelius;L;Inverted triangle;Polaris;ABS;SPF;2015
Orlando Sanchez;L;Referee Decision;ADCC;O99KG;1/4F;2015
Yuri Simoes;L;Pts: 5x3;ADCC;ABS;1/4F;2015
Muhammad Kerimov;L;Pressure/Injury;Berkut 2;ABS;SPF;2015
Yuri Simoes;L;Referee Decision;F2W Pro 8;86KG;SPF;2016
M. Yano;W;RNC;ADCC;99KG;R1;2001
Rodolfo Amaro;W;Points;Grapplers Quest;O91KG;SF;2002
Justin Ellison;W;Points;Grapplers Quest;O91KG;F;2002
Ilir Lafiti;W;Guillotine;ADCC;99KG;R1;2003
Nate Marquardt;W;Kimura;ADCC;ABS;R1;2003
Saulo Ribeiro;W;Kneebar;ADCC;ABS;1/4F;2003
Marcio Cruz;W;Pts: 3x0;ADCC;ABS;SF;2003
A. Cacareco;W;Heel hook;ADCC;ABS;F;2003
JJ Machado;W;Points;ADCC;ABS;SPF;2005
Andreas Olsen;W;Triangle;ADCC;99KG;R1;2009
Augusto Ferrari;W;Pts: 2x0;ADCC;99KG;R1;2011
Radek Turek;W;Footlock;ADCC;99KG;1/4F;2011
Rodolfo Vieira;W;Heel hook;ADCC;99KG;SF;2011
Joao Assis;W;Heel hook;ADCC;99KG;F;2011
Ricardo Abreu;W;Heel hook;Grapplers Quest;ABS;NA;2012
Kyle Griffin;W;Toe hold;Grapplers Quest;ABS;NA;2012
Tarsis Humphreys;W;Heel hook;World Expo;ABS;SPF;2013
Janne-Pekka;W;Referee Decision;Macao Branco;ABS;SPF;2013
Jia Jang;W;Heel Hook;ADCC;99KG;R1;2013
Ezra Lenon;W;Heel Hook;ADCC;99KG;1/4F;2013
Cristiano Lazzarini;W;Heel Hook;ADCC;99KG;SF;2013
Hideki Sekine;W;Heel Hook;ADCC;ABS;R1;2013
Joao Rocha;W;Heel Hook;ADCC;ABS;1/4F;2013
Renato Sobral;D;---;Metamoris 3;ABS;SPF;2014
Lee Hyoung;W;Straight armlock;ADCC;O99KG;R1;2015
Ricardo Mesquita;W;Heel hook;ADCC;ABS;R1;2015
