Opponent,W/L,Method,Competition,Weight,Stage,Year
Ronaldo Souza;L;Pts: 6x0;BB Challenge 3;88KG;SPF;2004
Bruno Bastos;L;Pts: 2x0;World Cup;88KG;R1;2004
Ronaldo Souza;L;Armbar;World Champ.;88KG;1/4F;2005
Braulio Estima;L;Pts: 6x4;World Champ.;88KG;F;2006
Felipe Pena;L;RNC;ADCC RJ;88KG;1/4F;2015
V. Honorio;L;DQ;Copa Podio;95KG;GP;2015
Felipe Pena;L;Pts: 7x3;Copa Podio;95KG;GP;2015
Fernando Paulon;W;Kimura;World Champ.;82KG;1/4F;2002
Bruno Fernandes;W;Pts: 2x0;World Champ.;82KG;F;2002
Roberto Tozi;W;Adv;World Cup;ABS;1/4F;2003
Andre Ricardo;W;Pts: 2x0;World Cup;88KG;R1;2005
Tarsis Humphreys;W;Pts: 2x0;World Champ.;88KG;1/4F;2006
Romulo Barral;W;Choke;World Cup;88KG;F;2006
Tarsis Humphreys;W;Pen;ADCC Trials;88KG;F;2007
Gustavo Campos;W;Adv;WPC Gr Trials;83KG;SF;2010
David da Silva;W;Adv;WPC Gr Trials;83KG;F;2010
Patrick Coutinho;W;Katagatame;ADCC Trials;88KG;F;2013
Claudio Calasans;W;Referee Decision;ADCC RJ;88KG;R1;2015
Leonardo Molina;W;Guillotine;ADCC RJ;88KG;R2;2015
Daniel Moraes;W;Pts: 6x0;ADCC RJ;88KG;1/8F;2015
Eduardo Inojosa;W;Pts: 0x0, Adv;Copa Podio;95KG;GP;2015
Maks WiÅ›niewski;W;N/A;Copa Podio;95KG;GP;2015
