Opponent,W/L,Method,Competition,Weight,Stage,Year
Lucas Leite;L;Referee Decision;NYC World Trials;83KG;F;2012
Claudio Calasans;L;Armbar;World Pro.;82KG;R2;2012
Leandro Lo;L;Pts: 0x0, Adv;NoGi Worlds;ABS;1/4F;2012
Claudio Calasans;L;Pts: 0x0, Pen;European Open;82KG;1/4F;2013
Bernardo Faria;L;Pts: 12x0;Pan American;ABS;1/4F;2013
Clark Gracie;L;Referee Decision;Pan American;82KG;SF;2013
Claudio Calasans;L;Pts: 0x0, Adv;World Pro;82KG;R1;2013
Leonardo Leite;L;Points;World Champ.;ABS;RDS;2013
Tio Chico;D;N/A;Copa Podio;76KG;GP;2013
Vinicius Marinho;L;Adv;Copa Podio;76KG;GP;2013
Leandro Lo;L;Pts: 6x2;Copa Podio;76KG;SF;2013
Vinicius Marinho;L;Pen;Copa Podio;76KG;3PLC;2013
AJ Agazarm;L;Referee Decision;ADCC;77KG;R1;2013
Vitor Oliveira;L;Points;NoGi Worlds;82KG;SF;2013
Andre Galvao;L;Points;Pan American;ABS;R3;2014
Diego Hertzog;L;Pts: 2x2, Adv;Pan American;88KG;R1;2014
Rodrigo Freitas;L;Pen;World Champ.;76KG;R1;2014
Felipe Pena;L;RNC;NoGi Worlds;ABS;SF;2015
Rustam Chsiev;L;Points;EBI 6;ABS;1/4F;2016
Rafael Barbosa;W;Points;NYC World Trials;83KG;SF;2012
Unknown;W;Wristlock;NoGi Worlds;82KG;R1;2012
Jason Manly;W;Pts: 11x0;NoGi Worlds;82KG;1/4F;2012
Vitor Oliveira;W;Pts: 0x0, Adv;NoGi Worlds;82KG;SF;2012
Clark Gracie;W;Pts: 5x0;NoGi Worlds;82KG;F;2012
James Puopolo;W;Pts: 0x0, Adv;NoGi Worlds;ABS;R1;2012
Roberto Alencar;W;Pts: 4x0;NoGi Worlds;ABS;1/8F;2012
Rodrigo Breves;W;Points;NYC World Trials;83KG;N/A;2013
Felipe Matos;W;Adv;Pan American;ABS;R1;2013
Gabriel Vella;W;Pts: 2x0;Pan American;ABS;R2;2013
Gabriel Rollo;W;Adv;Pan American;82KG;R2;2013
Rafael Barbosa;W;Wristlock;Pan American;82KG;1/4F;2013
Magid Hage;W;Pts: 2x0;World Champ.;ABS;RDS;2013
Oliver Geddes;W;Wristlock;Copa Podio;76KG;GP;2013
Rodrigo Magalhaes;W;Pts: 2x0;Copa Podio;76KG;GP;2013
Abmar Barbosa;W;Pts: 3x0;Boston W. Open;82KG;SF;2013
Gregor Gracie;W;Pts: 2x0;Boston W. Open;82KG;F;2013
Abmar Barbosa;W;Points;Boston W. Open;ABS;SF;2013
Rafael Barbosa;W;Pts: 6x0;Boston W. Open;ABS;F;2013
Garry Tonon;W;Points;ADCC Nationals;ABS;SPF;2014
Unknown;W;Submission;Pan American;ABS;R2;2014
Unknown;W;Wristlock;World Champ.;76KG;R1;2014
Manuel Ribamar;W;Pts: 2x0;NoGi Worlds;82KG;1/8F;2015
Vinicius Agudo;W;Pts: 5x0;NoGi Worlds;82KG;1/4F;2015
Otavio Sousa;W;Referee Decision;NoGi Worlds;82KG;SF;2015
Jonathan Satava;W;Pts: 3x0;NoGi Worlds;82KG;F;2015
Elliot Kelly;W;Referee Decision;NoGi Worlds;ABS;R1;2015
Guybson SÃ¡;W;Pts: 6x0;NoGi Worlds;ABS;1/8F;2015
Caio Terra;W;Pts: 0x0, Adv;NoGi Worlds;ABS;1/4F;2015
Bruno Bastos;W;Arm in guillotine;EBI 6;ABS;R1;2016
Corey Brown;W;Pts: 24x0;Grappling Pro;77KG;1/4F;2016
Garry Tonon;W;Pts: 7x2;Grappling Pro;77KG;SF;2016
Lucas Barbosa;W;Pts: 6x3;Grappling Pro;77KG;F;2016
