Opponent,W/L,Method,Competition,Weight,Stage,Year
Victor Estima,L,Inverted triangle,World Champ.,82KG,1/4F,2012
Clark Gracie,L,Omoplata,Copa Podio,82KG,SPF,2013
Leandro Lo,L,Adv,Copa Podio,76KG,GP,2013
Leandro Lo,L,Adv,Copa Podio,76KG,F,2013
Claudio Mattos,L,Referee Decision,Brasileiro,82KG,F,2014
Lucas Lepri,L,Pts: 0x0, Adv,Copa Podio,77KG,SF,2016
Erberth Santos,L,Botinha,Copa Podio,86KG,GP,2016
Leandro Lo,L,Pts: 2x0,Copa Podio,86KG,SF,2016
Rodrigo Cavaca,D,Pts: 0x0,Copa Podio,105KG,RR,2016
Nelton Pontes,L,Pts: 2x0,Copa Podio,105KG,RR,2016
Alexander Trans,L,Pts: 6x0,Copa Podio,105KG,RR,2016
Vitor Hugo,W,Pts: 2x2, Adv,World Pro Trials,83KG,SF,2011
Claudio Calasans,W,Pts: 4x2,World Pro Trials,83KG,F,2011
Juarez Harles,W,Bow and arrow,Amazon Meeting,82KG,SPF,2011
Vagner Rocha,W,Points,World Champ.,82KG,R1,2012
Murilo Santana,W,Pts: 6x2,World Champ.,82KG,R2,2012
Victor Pina,W,Bow and arrow,Manaus Pro Trials,85KG,SF,2013
Rodrigo Reis,W,Armbar,Copa Podio,ABS,SPF,2013
Clark Gracie,W,Pts: 2x0,Copa Podio,76KG,GP,2013
Juan Kamezawa,W,Pts: 6x0,Copa Podio,76KG,GP,2013
Brandon Magana,W,Pts: 8x0,Copa Podio,76KG,GP,2013
Vinicius Marinho,W,Pts: 8x0,Copa Podio,76KG,SF,2013
Eduardo Santoro,W,Bow and arrow,Brasileiro,82KG,1/4F,2014
Augusto Carsalade,W,Pts: 2x0,Brasileiro,82KG,SF,2014
Luan Carvalho,W,Pts: 0x0, Adv,Copa Podio,77KG,GP,2016
Dillon Danis,W,Pts: 0x0, Pen,Copa Podio,77KG,GP,2016
Edwin Najmi,W,Pts: 2x2, Adv,Copa Podio,77KG,GP,2016
Patrick Gaudio,W,Pts: 2x0,Copa Podio,77KG,GP,2016
Dillon Danis,W,Injury,Copa Podio,77KG,3RD,2016
John Combs,W,Pts: 4x0,Copa Podio,86KG,GP,2016
Claudio Calasans,W,Pts: 2x0,Copa Podio,86KG,GP,2016
Dan Borovic,W,Pts: 4x0,Copa Podio,86KG,GP,2016
Charles Tavares,W,Bow and arrow,Manaus Open,76KG,F,2016
Gabriel Lucas,W,Pts: 4x0,Copa Podio,105KG,RR,2016
