Opponent,W/L,Method,Competition,Weight,Stage,Year
Garry Tonon,L,Inside heel hook,ADCC,77KG,R1,2015
Diego Borges,L,Pts: 0x0, Pen,Copa Podio,77KG,GP,2016
Leandro Lo,L,Pts: 2x0,Copa Podio,77KG,SF,2016
Diego Borges,L,Injury,Copa Podio,77KG,3RD,2016
Vinicius Marinho,L,Pts: 2x2, Adv,Pan American,82KG,1/8F,2016
Otavio Sousa,L,Pts: 4x0,World Champ.,82KG,1/4F,2016
Leandro Lo,L,Pts: 0x0, Adv,Copa Podio,86KG,GP,2016
Max Gimenis,L,Pts: 2x0,Copa Podio,86KG,GP,2016
Nicholas Meregali,L,Pts: 7x0,Copa Podio,86KG,GP,2016
Javier Valenciano,W,Kneebar,Boca Raton Open,82KG,SF,2015
Joe Lauzon,W,Darce choke,Metamoris 6,ABS,SPF,2015
Edwin Najmi,W,Pts: 7x0,Copa Podio,77KG,GP,2016
Patrick Gaudio,W,Pts: 2x2, Adv,Copa Podio,77KG,GP,2016
Luan Carvalho,W,Pts: 0x0, Adv,Copa Podio,77KG,GP,2016
Josh Hinger,W,Triangle,Pan American,82KG,R1,2016
Javier Yamuni,W,Kneebar,NY Spring Open,82KG,SF,2016
Luke Harris,W,Toe hold,NY Spring Open,ABS,SF,2016
Victor Silverio,W,Pts: 0x0, Adv,World Champ.,82KG,R2,2016
Gustavo Campos,W,Toe hold,World Champ.,82KG,1/8F,2016
Gottrell King,W,Kneebar,NoGi Pan Ams,83KG,SF,2016
Murilo Santana,W,Pts: 2x0,NoGi Pan Ams,83KG,F,2016
Todd Mueckenheim,W,Arm in guillotine,NoGi Pan Ams,ABS,1/4F,2016
Aaron Johnson,W,Arm in guillotine,NoGi Pan Ams,ABS,SF,2016
Jackson Souza,W,Inside heel hook,Polaris 4,90KG,SPF,2016
