Opponent,W/L,Method,Competition,Weight,Stage,Year
Leandro Lo,L,Pts: 2x0,Copa Podio,85KG,GP,2012
Otavio Sousa,W,Pts: 2x0,Copa Podio,85KG,GP,2012
Felipe Preguiça,W,"Pts: 4x4, Adv",Copa Podio,85KG,GP,2012
Rafael Barbosa,W,"Pts: 4x4, Adv",Copa Podio,85KG,GP,2012
Davi Ramos,W,Pts: 6x4,Copa Podio,85KG,SF,2012
Leandro Lo,L,Pts: 7x0,Copa Podio,85KG,F,2012
Rogerio Passos,W,Points,World Champ.,88KG,R1,2012
Rafael Lovato,L,Referee Decision,World Champ.,88KG,1/4F,2012
Alfredo Aguilera,W,RNC,European NoGi,94KG,SF,2012
Renato Morais,W,N/A,European NoGi,94KG,F,2012
Gabriel Marangoni,W,Points,European NoGi,ABS,1/4F,2012
Renato Morais,W,N/A,European NoGi,ABS,SF,2012
Marcelo Bernardo,W,Points,London Open,94KG,SF,2012
R. Tavares,W,N/A,London Open,94KG,F,2012
Oliver Geddes,W,Submission,London Open,ABS,SF,2012
Mathias Ribeiro,L,Points,London Open,ABS,F,2012
Leonardo Maciel,W,Adv,European Open,94KG,F,2013
Unknown,W,Armbar,Brasileiro,94KG,R1,2013
Rafael Lovato,W,Pts: 2x0,Brasileiro,94KG,1/4F,2013
Nivaldo Oliveira,W,Points,Brasileiro,94KG,SF,2013
Leonardo Maciel,W,Referee Decision,Brasileiro,94KG,F,2013
Andre Galvao,L,Choke from back,World Champ.,88KG,1/4F,2013
Leonardo Maciel,W,Pts: 14x2,Copa Podio,ABS,SPF,2013
Alan Regis,W,"Pts: 0x0, Adv",Brasileiro,94KG,F,2014
Lucas Leite,W,Adv,World Champ.,94KG,1/4F,2014
Felipe Pena,L,Choke from back,World Champ.,94KG,SF,2014
Vitor Toledo,W,N/A,South American,94KG,F,2014
Stefano Correa,W,Armbar,Paulista FPJJ,ABS,F,2014
Bruno Cuppari,W,Pts: 2x0,Paulista FPJJ,94KG,F,2014
William Martins,W,Choke from back,Rio Fall Open,ABS,SF,2015
Erberth Santos,L,Referee Decision,Rio Fall Open,ABS,F,2015
Alberto Ramos,W,N/A,Rio Fall Open,94KG,SF,2015
Alan Regis,W,Referee Decision,Rio Fall Open,94KG,F,2015
Alberto Oliveira,W,N/A,Rio Fall NoGi,94KG,SF,2015
Leo Maciel,W,N/A,Rio Fall NoGi,94KG,F,2015
Leo Teixeira,W,N/A,Brasileiro,ABS,R1,2015
Victor Silverio,L,N/A,Brasileiro,ABS,1/4F,2015
Roberto Torralbas,W,Points,World Champ.,94KG,1/8F,2015
Alexandre Ribeiro,L,Pts: 2x0,World Champ.,94KG,1/4F,2015
Kaue Damasceno,W,Pts: 8x0,Desafio UK,100KG,SPF,2015
Gustavo Saraiva,L,Armbar,Brasileiro NoGi,94KG,SF,2015
Unknown,W,Adv,Brasileiro NoGi,ABS,R1,2015
Willian Martins,W,Adv,Brasileiro NoGi,ABS,1/4F,2015
Matheus Souza,W,Submission,Brasileiro NoGi,ABS,SF,2015
Romulo Azevedo,W,Pts: 6x0,Brasileiro NoGi,ABS,F,2015
Diego Sergio,W,Choke from back,IBJJF Rio Pro,94KG,1/4F,2015
Diogo Sampaio,W,Points,IBJJF Rio Pro,94KG,SF,2015
Erberth Santos,L,Pts: 9x0,IBJJF Rio Pro,94KG,F,2015
Romes Pereira,W,Pts: 7x0,South American,ABS,R1,2015
Pedro Peres,L,"Pts: 2x2, Adv",South American,ABS,1/8F,2015
Oriones Netto,W,Choke from back,South American,94KG,1/4F,2015
Romes Ramos,W,Injury,South American,94KG,SF,2015
Romes Ramos,W,DQ,Brasileiro,94KG,1/4F,2016
Miguel Angel,L,Referee Decision,Brasileiro,94KG,SF,2016
Gustavo Almeida,W,Choke,Curitiba Open,94KG,SF,2016
Arnaldo Maidana,W,"Pts: 0x0, Adv",World Champ.,94KG,R1,2016
Cassio Francis,L,"Pts: 2x2, Adv",World Champ.,94KG,1/4F,2016
Diogo Almeida,W,Choke from back,Curitiba W. Open,94KG,F,2016
Diogo Almeida,W,Points,Curitiba W. Open,ABS,SF,2016
Matheus Spirandeli,W,Pts: 2x0,Curitiba W. Open,ABS,F,2016
Bruno Ferreira,W,Points,Curitiba NoGi Open,91KG,F,2016
George Antonio,W,RNC,Curitiba NoGi Open,ABS,F,2016
Marcos Aurélio,W,Choke,Sao Paulo Open,94KG,1/4F,2016
Diogo Almeida,W,Pts: 5x0,Sao Paulo Open,94KG,SF,2016
Tiago Hilgemberg,W,N/A,Floripa Open,94KG,SF,2016
Kitner Moura,W,Points,Floripa Open,ABS,SF,2016
Erberth Santos,L,Toe hold,Floripa Open,ABS,F,2016
Márcio Silva,W,RNC,Brasileiro NoGi,91KG,1/4F,2016
Bruno Cuppari,W,Points,Brasileiro NoGi,91KG,SF,2016
Vitor Bonfim,W,Points,Brasileiro NoGi,91KG,F,2016
Bruno Leonardo,W,Points,Brasileiro NoGi,ABS,1/4F,2016
Kim Terra,W,Points,Brasileiro NoGi,ABS,SF,2016
Max Gimenis,W,Points,Brasileiro NoGi,ABS,F,2016
