Opponent,W/L,Method,Competition,Weight,Stage,Year
Romulo Barral,L,Cross ck. f/ mount,World Champ.,88KG,F,2012
Gustavo Campos,L,Points,Pan American,88KG,R2,2013
Felipe Pena,L,Triangle,Copa Podio,88KG,GP,2013
Felipe Pena,L,Pts: 4x2,Copa Podio,88KG,F,2013
Luiz Panza,D,Pts: 0x0,Copa Podio,85KG,GP,2014
Claudio Calasans,L,Points,Copa Podio,85KG,GP,2014
Felipe Cesar,L,Referee Decision,Brasileiro,ABS,R2,2015
Ricardo Bastos,L,Referee Decision,Austin Open,94KG,F,2015
Dimitrius Souza,L,Points,IBJJF Rio Pro,94KG,SF,2015
Patrick Gaudio,L,Points,Grand Slam - Rio,85KG,SF,2015
Vinicius Marinho,L,Referee Decision,Grand Slam - Rio,85KG,3RD,2015
Romulo Barral,L,Cross ck. f/ mount,European Open,88KG,SF,2016
Alan Finfou,L,Pts: 2x0,European Open,ABS,R2,2016
Charles Negromonte,L,Pts: 0x0, Adv,NoGi Worlds,85KG,R1,2016
Josh Hinger,L,Referee Decision,NoGi Worlds,ABS,R1,2016
Joao Moncalvo,W,Points,World Champ.,88KG,R1,2012
Nivaldo Oliveira,W,Points,World Champ.,88KG,R2,2012
Eduardo Santoro,W,Pts: 2x0,World Champ.,88KG,1/4F,2012
Rodrigo Pinheiro,W,Pts: 0x0, Adv,World Champ.,88KG,SF,2012
Ricardo Bastos,W,Points,Pan American,88KG,R1,2013
Davi Ramos,W,Pts: 2x0,Copa Podio,88KG,GP,2013
Kit Dale,W,Pts: 5x2,Copa Podio,88KG,GP,2013
Paulo Miyao,W,Pts: 4x2,Copa Podio,88KG,SF,2013
Rubens Pedroso,W,Choke,World Pro Trial,88KG,SF,2014
Renato Cardoso,W,Pts: 4x0,World Pro Trial,88KG,F,2014
Victor Neves,W,Pts: 11x2,Rio Open,88KG,F,2014
Jon Satava,W,Pts: 6x0,Copa Podio,85KG,GP,2014
Luis Gustavo,W,Pts: 2x0,Copa Podio,85KG,GP,2014
Alberto Ramos,W,Choke from back,Brazil Nat. Pro RJ,94KG,1/4F,2015
Wesley Santos,W,Choke from back,Brazil Nat. Pro RJ,94KG,SF,2015
Ruan Oliveira,W,Choke from back,Brazil Nat. Pro RJ,94KG,F,2015
Ricardo Mesquita,W,Points,Brasileiro NoGi,94KG,SF,2015
Gustavo Saraiva,W,Pts: 2x0,Brasileiro NoGi,94KG,F,2015
Mauricio Togni,W,Points,IBJJF Rio Pro,94KG,1/4F,2015
George da Silva,W,Choke from back,Grand Slam - Rio,85KG,1/8F,2015
Wellington Luis,W,Referee Decision,Grand Slam - Rio,85KG,1/4F,2015
Cleidson Ramos,W,Choke from back,European Open,88KG,R2,2016
Max Carvalho,W,Choke from back,European Open,88KG,1/4F,2016
Juha Leppanen,W,Pts: 0x0, Adv,European Open,ABS,R1,2016
Gottrell King,W,Choke from back,Las Vegas Open,88KG,SF,2016
Lucas Barbosa,W,Pts: 0x0, Adv,Las Vegas Open,88KG,F,2016
Alec Baulding,W,Referee Decision,World Champ.,82KG,R2,2016
Daniel Cobb,W,N/A,American Nats,88KG,1/4F,2016
Daniel Hampton,W,N/A,American Nats,88KG,SF,2016
Tanner Rice,W,N/A,American Nats,88KG,F,2016
Daniel Hampton,W,Referee Decision,F2W Pro 12,58KG,SPF,2016
