Opponent,W/L,Method,Competition,Weight,Stage,Year
Mackenzie Dern,L,Referee Decision,European,ABS,SF,2015
Amanda Loewen,W,Pts: 13x0,European,ABS,R2,2015
Janni Larsson,W,Pts: 6x6, Adv,European,ABS,1/4F,2015
Tammy Griego,W,Gogoplata,Pan American,O74KG,F,2015
Tammi Griego,W,Shoulder lock,World Champ.,74KG,SF,2015
Vanessa Oliveira,W,RNC,World Champ.,74KG,F,2015
Laurence Fouillat,W,Triangle armbar,World Champ.,ABS,1/8F,2015
Tammi Musumeci,W,Referee Decision,World Champ.,ABS,1/4F,2015
Mackenzie Dern,W,Points,World Champ.,ABS,SF,2015
Monique Elias,W,Pts: 6x2,World Champ.,ABS,F,2015
Samela Lopes,W,Triangle,Pan American,O79KG,F,2016
Talita Nogueira,W,Triangle armbar,Pan American,ABS,1/4F,2016
Mackenzie Dern,W,Pts: 10x8,Pan American,ABS,SF,2016
Venla Luukkonen,W,Pts: 33x0,World Champ.,O79KG,F,2016
Rosamond Snow,W,Submission,World Champ.,ABS,R1,2016
Fabiana Santos,W,Referee Decision,World Champ.,ABS,1/4F,2016
Mackenzie Dern,W,Pts: 6x4,World Champ.,ABS,SF,2016
Bia Mesquita,W,Pts: 2x2, Adv,World Champ.,ABS,F,2016
Yas Wilson,W,Referee Decision,Polaris 4,ABS,SPF,2016
