Opponent,W/L,Method,Competition,Weight,Stage,Year
Lachlan Giles;L;Pts: 4x4, Adv;Boa Super 8;70KG;1/4F;2015
Dillon Danis;L;Pts: 7x0;Copa Podio;77KG;GP;2016
Patrick Gaudio;L;Pts: 2x0;Copa Podio;77KG;GP;2016
Diego Borges;L;Pts: 2x2, Adv;Copa Podio;77KG;GP;2016
Alex Cabanes;L;Pts: 6x6, Pen;European Open;76KG;SF;2016
Jhonny Loureiro;L;Pts: 2x2, Adv;World Pro;77KG;1/4F;2016
Lucas Lepri;L;Choke from back;World Champ.;76KG;F;2016
Igor Mocaiber;W;Bow and arrow;Sub Series Pro;ABS;SPF;2015
Michael Hoorigan;W;Darce choke;Boa Super 8;70KG;R1;2015
Luan Carvalho;W;DQ;Copa Podio;77KG;GP;2016
Diego Vivaldo;W;Pts: 6x6, Adv;European Open;76KG;R1;2016
Kevin Mahecha;W;Toe hold;European Open;76KG;1/4F;2016
Ilke Bulut;W;Referee Decision;PNBJJC;ABS;SPF;2016
Rafael Mansur;W;Estima lock;Pan American;76KG;1/8F;2016
Michael Liera;W;Pts: 4x4, Adv;Pan American;76KG;1/4F;2016
Rodrigo Freitas;W;Choke from back;Pan American;76KG;SF;2016
Francisco Iturralde;W;Estima lock;Pan American;76KG;F;2016
Adriano Araujo;W;Choke;World Pro;77KG;R2;2016
Caio Almeida;W;Pts: 2x2, Adv;World Pro;77KG;1/8F;2016
Alex Cabanes;W;Pts: 2x2, Adv;World Champ.;76KG;R2;2016
Michael Liera;W;Pts: 0x0, Adv;World Champ.;76KG;1/4F;2016
Gabriel Rollo;W;Darce choke;World Champ.;76KG;SF;2016
Osvaldo Moizinho;W;Referee Decision;Berkut 3;ABS;SPF;2016
Vitor Oliveira;W;Darce choke;Grand Slam - LA;77KG;SF;2016
Victor Silverio;W;Injury;Grand Slam - LA;77KG;F;2016
Kevin Mahecha;W;Straight ankle lock;Guatemala Open;76KG;SPF;2016
