Opponent,W/L,Method,Competition,Weight,Stage,Year
Daniel Moraes,L,Points,GQ Europa,77KG,F,2010
Renan Borges,L,Pts: 4x0,GQ UFC Expo,ABS,N/A,2010
Bill Cooper,L,Pts: 2x0,GQ UFC Expo,ABS,NA,2010
Leonardo Vieira,L,Pts: 6x0,ADCC,77KG,R1,2011
Vagner Rocha,L,Referee Decision,ADCC US Trials,77KG,SF,2013
Thiago Abreu,L,Pts: 2x0,No Gi Worlds,79KG,SF,2014
Eddie Cummings,L,Heel hook,EBI 3,77KG,1/4F,2015
Gabriel Rollo,L,Pts: 8x0,ADCC,77KG,R1,2015
Lucas Barbosa,L,Pts: 6x1,Grappling Pro,77KG,SF,2016
Garry Tonon,L,Inside heel hook,Grappling Pro,77KG,3RD,2016
AJ Agazarm,L,Pts: 2x0,NoGi Worlds,73KG,1/4F,2016
Felipe Cesar,L,Pts: 8x6,NoGi Worlds,ABS,R1,2016
Unknown,W,Points,GQ Pro Star,ABS,N/A,2009
Seph Smith,W,Armbar,GQ Pro Star,ABS,N/A,2009
Brian McLaughlin,W,Points,GQ Pro Star,ABS,N/A,2009
Unknown,W,Submission,ADCC US Trials,77KG,R1,2009
Unknown,W,Points,ADCC US Trials,77KG,1/4F,2009
Brian McLaughlin,W,Guillotine,ADCC US Trials,77KG,SF,2009
Jacob Volkmann,W,Toe hold,ADCC US Trials,77KG,F,2009
Chris Westfall,W,Injury,GQ Europa,77KG,1/4F,2010
Edson Diniz,W,Inside heel hook,GQ Europa,77KG,SF,2010
Kevin Macmullen,W,Outside heel hook,GQ US Nationals,76KG,N/A,2010
Rob Greenidge,W,RNC,GQ US Nationals,76KG,N/A,2010
J. Satava,W,N/A,GQ US Nationals,76KG,N/A,2010
Andre Vaughan,W,North south choke,GQ UFC Expo,76KG,N/A,2010
Javier Valenciano,W,Armbar,GQ UFC Expo,ABS,N/A,2010
Santino Franco,W,Inside heel hook,ADCC US Trials,77KG,R1,2011
Dustin Akbari,W,Toe hold,ADCC US Trials,77KG,1/4F,2011
Jason Manly,W,Points,ADCC US Trials,77KG,SF,2011
Shawn Williams,W,Points,ADCC US Trials,77KG,F,2011
Unknown,W,Heel hook,ADCC US Trials,77KG,1/4F,2013
Nathan Orchard,W,Points,ADCC US Trials,77KG,R1,2014
Unknown,W,Inside heel hook,ADCC US Trials,77KG,1/4F,2014
Matt Skaff,W,Inside heel hook,ADCC US Trials,77KG,SF,2014
Eddie Cummings,W,Points,ADCC US Trials,77KG,F,2014
Stephen Martinez,W,Heel hook,EBI 3,77KG,R1,2015
Anderson Melo,W,Inside heel hook,Grappling Pro,77KG,1/4F,2016
Fabio Caloi,W,Pts: 0x0, Adv,NoGi Worlds,73KG,R2,2016
