Opponent,W/L,Method,Competition,Weight,Stage,Year
Andre Galvao,L,North south choke,European,ABS,1/4F,2015
Eduardo Inojosa,L,Points,Amazon Open,94KG,F,2015
Alexander Trans,L,Pts: 6x4,Pan American,ABS,R3,2015
Bernardo Faria,L,Kneebar,Pan American,100KG,SF,2015
Cassio Francis,L,Footlock,ADCC SP,99KG,R1,2015
Felipe Pena,L,Pts: 7x2,World Pro,95KG,R1,2015
Marcus Almeida,L,Estima lock,World Pro,ABS,R2,2015
Tim Spriggs,L,Pts: 2x0,Copa Podio,95KG,GP,2015
V. Honorio,L,Pts: 4x2,Copa Podio,95KG,SF,2015
Claudivan Martins,L,DQ,Brasileiro CBJJE,ABS,N/A,2015
Bernardo Faria,L,Kneebar,World Champ.,ABS,1/4F,2015
Joao Rocha,L,RNC,World Champ.,100KG,1/4F,2015
Roberto Abreu,L,Choke from back,Grand Slam LA,ABS,1/4F,2015
Otavio Natali,L,Referee Decision,SP National Pro,O77KG,F,2015
R. Evangelista,L,Referee Decision,Grand Slam - Rio,ABS,SF,2015
Felipe Pena,L,Choke from back,European Open,ABS,SF,2016
Victor Honorio,L,Pts: 0x0, Pen,Expo Fight,ABS,F,2016
R. Evangelista,L,Guillotine,London Grand Slam,ABS,F,2016
Victor H.,L,DQ,World Pro,ABS,1/4F,2016
Alex Aparecido,L,Triangle,Brasileiro,100KG,SF,2016
Guilherme Augusto,L,Pts: 2x0,World Champ.,94KG,1/4F,2016
Marcus Almeida,L,Pts: 4x2,World Champ.,ABS,F,2016
Leandro Lo,L,Pts: 6x0,Copa Podio,86KG,F,2016
Alexandre Ribeiro,L,Referee Decision,Grand Slam - LA,94KG,SF,2016
R. Evangelista,L,Toe hold,Grand Slam - LA,94KG,3RD,2016
Vitor Toledo,W,Points,Brazil Nat. Pro,95KG,R1,2015
Fabiano Boi,W,Choke from back,Brazil Nat. Pro,95KG,1/4F,2015
Rubens Pedroso,W,Pts: 16x0,Brazil Nat. Pro,95KG,SF,2015
Augusto Ferrari,W,Adv,Brazil Nat. Pro,95KG,F,2015
T. Gaia,W,Pts: 2x0,Brazil Nat. Pro,ABS,SF,2015
Fred Almeida,W,Triangle,Brazil Nat. Pro,ABS,F,2015
Victor Silverio,W,Pts: 0x0, Adv,European,ABS,R3,2015
Henrique Lima,W,Submission,European,94KG,1/4F,2015
Vitor Toledo,W,Armbar,European,94KG,SF,2015
Daniel Statsos,W,Choke from back,Pan American,ABS,R2,2015
Unknown,W,Choke from back,Rio Fall Open,ABS,1/4F,2015
Alan Regis,W,wristlock,Rio Fall Open,ABS,SF,2015
