Opponent,W/L,Method,Competition,Weight,Stage,Year
Otavio Sousa,L,Pts: 10x0,Pan American,ABS,R2,2015
James Puopolo,L,Pts: 9x0,Pan American,O100KG,SF,2015
Ricardo Feliciano,L,Points,American Nat.,O100KG,F,2015
Wellington Peroto,L,N/A,American Nat.,ABS,SF,2015
Moku Kahawai,L,Triangle armbar,Metamoris UG,ABS,SPF,2015
Erberth Santos,L,Pts: 10x0,Grand Slam LA,94KG,F,2015
Erberth Santos,L,Pts: 4x0,Grand Slam LA,ABS,1/8F,2015
Joao Assis,L,Pts: 6x2,NoGi Worlds,100KG,1/4F,2015
Patrick Gaudio,L,Toe hold,NoGi Worlds,ABS,R1,2015
Yuri Simoes,L,Points,EBI 6,ABS,R1,2016
Gabriel Lucas,W,Triangle,Pan American,O100KG,R1,2015
Bruno Bastos,W,Armbar,Pan American,O100KG,1/4F,2015
Jimmy Friedrich,D,---,Metamoris 6,ABS,SPF,2015
James Puopolo,W,Points,American Nat.,O100KG,SF,2015
Howon Jung,W,Submission,American Nat.,ABS,R1,2015
Rodrigo Freitas,W,Kneebar,American Nat.,ABS,1/4F,2015
Fernando Moya,W,Triangle,Grand Slam LA,94KG,1/4F,2015
Faisal AlKitbe,W,Triangle,Grand Slam LA,94KG,SF,2015
Nicholas Liaskos,W,Armbar,NoGi Worlds,100KG,1/8F,2015
Unknown,W,Armbar,Gracie Nat. NoGi,ABS,1/4F,2015
Unknown,W,Armbar,Gracie Nat. NoGi,ABS,SF,2015
Unknown,W,Toe hold,Gracie Nat. NoGi,ABS,F,2015
Mike Conzachi,W,Triangle,Gracie Nationals,ABS,SF,2015
Morgan Neidlinger,W,Armbar,Gracie Nationals,ABS,F,2015
Harold Lucambio,W,Bow and arrow,Gracie Nationals,94KG,F,2015
