Opponent,W/L,Method,Competition,Weight,Stage,Year
Gabriel Rollo;L;Armbar;King of Fights;76KG;SPF;2014
Mario Reis;L;Points;Brazil Nat. Pro;75KG;F;2015
Osvaldo Moizinho;L;Pts: 0x0, Adv;Pan American;70KG;1/4F;2015
Luan Carvalho;L;Injury;Brasileiro;76KG;1/4F;2015
Sandro Vieira;L;Points;Rio Winter Open;82KG;F;2015
Isaque Paiva;L;Triangle armbar;SP Open;70KG;F;2015
Thiago Abreu;L;Points;SP Open NoGi;74KG;F;2015
Paulo Miyao;L;Points;Brazil Nat. Pro;69KG;1/4F;2015
David Lemes;L;Pts: 6x6, Pen;Floripa Open;70KG;F;2015
David Lemes;L;Pts: 6x6, Adv;Floripa NoGi Open;70KG;SF;2015
Thiago Gaia;L;Points;Brasileiro NoGi;73KG;1/4F;2015
Thiago Abreu;L;N/A;NoGi Worlds;76KG;1/4F;2015
Lucas Valle;L;Pts: 3x0;South American;76KG;1/4F;2015
Marcio Andre;L;Pts: 11x0;Pan American;70KG;1/8F;2016
Paulo Miyao;L;Pts: 10x4;Brasileiro;70KG;SF;2016
Osvaldo Moizinho;L;Armbar;World Champ.;70KG;R2;2016
Victor Moraes;L;Pts: 2x0;Sao Paulo Open;70KG;1/4F;2016
Thiago Abreu;L;Adv;Floripa Open;76KG;F;2016
Kim Terra;L;Points;Brasileiro NoGi;73KG;F;2016
Max Gimenis;L;Points;Brasileiro NoGi;ABS;SF;2016
Enrico Cocco;L;Pts: 0x0, Adv;NoGi Worlds;73KG;R2;2016
Muslim Patsarigov;L;Straight ankle lock;NoGi Worlds;ABS;R1;2016
Alexandre Rosa;W;Pts: 6x0;Brazil Nat. Pro;75KG;R1;2015
Pedro Farias;W;N/A;Brazil Nat. Pro;75KG;R2;2015
Vitor Matos;W;Armbar;Brazil Nat. Pro;75KG;1/4F;2015
Flavio Macedo;W;Armbar;Rio Winter Open;76KG;R1;2015
Bruno Rafael;W;Points;Rio Winter Open;76KG;1/4F;2015
V. Ferreira;W;Choke;SP Open;70KG;1/4F;2015
Victor de Matos;W;Choke from back;SP Open;70KG;SF;2015
Marco Queiroz;W;N/A;SP Open NoGi;74KG;SF;2015
Isaque Paiva;W;Adv;Floripa Open;70KG;SF;2015
Isaque Paiva;W;Points;Floripa NoGi Open;70KG;SF;2015
Herbert Maeda;W;Points;Floripa NoGi Open;70KG;SF;2015
Isaque Paiva;W;Points;Floripa NoGi Open;70KG;F;2015
Marcelo Motta;W;Kneebar;NoGi Worlds;76KG;1/8F;2015
JoÃ£o Francisco;W;Choke from back;Rio Summer Open;70KG;1/4F;2016
Luciano Queiroz;W;Adv;Rio Summer Open;70KG;SF;2016
Victor Matos;W;Armbar;Rio Summer Open;70KG;F;2016
Issa Able;W;N/A;Pan American;70KG;R1;2016
Thiago Santos;W;N/A;Brasileiro;70KG;R1;2016
Filipe Ciabotti;W;Points;Brasileiro;70KG;1/8F;2016
Victor Matos;W;N/A;Brasileiro;70KG;1/4F;2016
Daisuke Shiraki;W;Pts: 2x0;World Champ.;70KG;R1;2016
Matheus Knorr;W;N/A;Floripa Open;76KG;1/4F;2016
Breno Bittencourt;W;Toe hold;Floripa Open;76KG;SF;2016
Caio GregÃ³rio;W;Adv;Brasileiro NoGi;73KG;R1;2016
Leo Carlos;W;Referee Decision;Brasileiro NoGi;73KG;1/4F;2016
Herbert Burns;W;Points;Brasileiro NoGi;73KG;SF;2016
Junior Greco;W;Guillotine;Brasileiro NoGi;ABS;R1;2016
Ruan Oliveira;W;Points;Brasileiro NoGi;ABS;1/4F;2016
