Opponent,W/L,Method,Competition,Weight,Stage,Year
Marcio Cruz,L,Points,ADCC,O99KG,F,2003
A. Cacareco,L,Pts: 9x4,ADCC,ABS,SF,2003
Marcio Cruz,L,Pts: 7x0,World Champ.,ABS,SF,2003
Alexandre Dantas,L,Toe hold,Pan American,O100KG,SF,2003
Marcio Cruz,L,Armbar,Pan American,ABS,F,2003
Leonardo Leite,L,N/A,World Cup,O100KG,F,2003
Ronaldo Souza,L,Pts: 10x0,World Cup,ABS,SF,2004
Jeff Monson,L,Pts: 2x0,ADCC,O99KG,SF,2005
Roger Gracie,L,RNC,ADCC,ABS,1/4F,2005
Andre Galvao,L,Referee Decision,ADCC,ABS,1/4F,2007
Gabriel Vella,L,Points,Capital Challenge,O99KG,SF,2008
Leonardo Leite,L,Points,Capital Challenge,O99KG,3PLC,2008
Vinny Magalhaes,L,Pts: 2x0,ADCC,O99KG,F,2011
Elvis Sinosic,W,Kimura,World Champ.,O100KG,R1,2002
T. Kosaka,W,Points,ADCC,O99KG,R1,2003
Jehad Hamdan,W,Points,ADCC,O99KG,1/4F,2003
Mike Van Arsdale,W,Armbar,ADCC,O99KG,SF,2003
Matt Lindland,W,Armbar,ADCC,ABS,R1,2003
Akira Soji,W,Armbar,ADCC,ABS,1/4F,2003
Marcio Cruz,W,Pts: 6x0,ADCC,ABS,3PLC,2003
Vini. Antunes,W,Wristlock,World Champ.,O100KG,R1,2003
Leo. Montenegro,W,Points,World Champ.,O100KG,1/4F,2003
Adriano Camolesi,W,Points,World Champ.,O100KG,SF,2003
Leonardo Leite,W,Points,World Champ.,O100KG,F,2003
Jorge Oliveira,W,Armbar,Pan American,ABS,1/4F,2003
Roberto Tozi,W,N/A,Pan American,ABS,SF,2003
Alexandre,W,Kimura,World Cup,O100KG,R1,2003
Mario Esfiha,W,Points,World Cup,O100KG,SF,2003
Fabiano Sheirner,W,Points,World Champ.,O100KG,SF,2004
Fernando Terere,W,Points,World Champ.,O100KG,F,2004
Denis Roberts,W,Pts: 7x0,ADCC,O99KG,R1,2005
Marcio Corleta,W,Pts: 2x0,ADCC,O99KG,1/4F,2005
Daniel Simoes,W,Pts: 5x0,ADCC,O99KG,3PLC,2005
Reese Andy,W,Heel Hook,ADCC,ABS,R1,2005
Mario Rinaldi,W,Americana,ADCC,ABS,R1,2007
Elvis Sinosic,W,Armbar,ADCC,O99KG,R1,2007
Darren Andy,W,Points,ADCC,O99KG,SF,2007
Luis Fernando,W,Points,Capital Challenge,O99KG,1/4F,2008
Rogent Lorent,W,Kimura,ADCC,O99KG,R1,2009
Tomasz Janiszewski,W,Points,ADCC,O99KG,1/4F,2009
Saulo Ribeiro,W,Points,ADCC,O99KG,SF,2009
Roberto Abreu,W,Points,ADCC,O99KG,F,2009
Alexander Trans,W,Pts: 2x0,ADCC,O99KG,R1,2011
Jeff Monson,W,Armbar,ADCC,O99KG,1/4F,2011
Roberto Abreu,W,Points,ADCC,O99KG,SF,2011
