Opponent,W/L,Method,Competition,Weight,Stage,Year
Renato Cardoso,L,Points,Pan American,88KG,R1,2013
Alexandre Ceconi,W,Pts: 7x0,Copa Podio,88KG,GP,2013
Davi Ramos,W,Choke from back,Copa Podio,88KG,GP,2013
Diogo Sampaio,W,Triangle,Copa Podio,88KG,GP,2013
Travis Stevens,W,Pts: 9x2,Copa Podio,88KG,SF,2013
Diogo Sampaio,W,Pts: 4x2,Copa Podio,88KG,F,2013
Murilo Santana,L,Armbar,Brasileiro CBJJE,88KG,NA,2013
Rodrigo Farjado,W,Pts: 7x0,Rio Open,88KG,F,2013
Leandro Lo,L,"Pts: 0x0, Adv",Rio Open,ABS,SF,2013
Eduardo Telles,L,Pts: 6x2,NoGi Worlds,88KG,F,2013
Unknown,W,Bow and arrow,Pan American,ABS,R2,2014
Jackson Sousa,W,Submission,Pan American,ABS,R3,2014
Diego Hertzog,W,Points,Pan American,ABS,1/4F,2014
Andre Galvao,L,Pts: 4x2,Pan American,ABS,SF,2014
Lucas Lepri,W,Points,Brasileiro,ABS,SF,2014
Renato Cardoso,W,Adv,Brasileiro,88KG,F,2014
Giovanne Deallema,W,Choke from back,World Champ.,ABS,R2,2014
Luiz Panza,W,Referee Decision,World Champ.,ABS,R3,2014
Marcus Almeida,L,Footlock,World Champ.,ABS,1/4F,2014
John Jordan,W,Pts: 42x2,World Champ.,94KG,RDS,2014
Nivaldo Oliveira,W,Triangle/armbar,World Champ.,94KG,1/4F,2014
Dimitrius Souza,W,Choke from back,World Champ.,94KG,SF,2014
Andre Galvao,W,Pts: 6x4,World Champ.,94KG,F,2014
Gregor Gracie,W,Pts: 10x0,Copa Podio,85KG,GP,2014
Erberth S.,W,Pts: 5x0,Copa Podio,85KG,GP,2014
Thiago Sa,W,Choke from back,Copa Podio,85KG,GP,2014
Claudio Calasans,W,Pts: 7x2,Copa Podio,85KG,SF,2014
Luiz Panza,W,"Pts: 2x2, Adv",Copa Podio,85KG,F,2014
Marlon Morcego,W,Botinha,The Team,85KG,RR,2014
Paulo Cesar,W,RNC,ADCC RJ,88KG,R1,2015
Emanuel Neto,W,RNC,ADCC RJ,88KG,R2,2015
Marlon Jose,W,RNC,ADCC RJ,88KG,1/8F,2015
Delson Heleno,W,RNC,ADCC RJ,88KG,1/4F,2015
Victor Estima,W,Pts: 2x0,ADCC RJ,88KG,SF,2015
Isaque Bahiense,W,RNC,ADCC RJ,88KG,F,2015
Erberth Santos,W,Pts: 7x2,World Pro,95KG,R1,2015
Felipe Gargamel,W,Triangle,World Pro,95KG,1/4F,2015
Luiz Panza,W,Pts: 4x2,World Pro,95KG,SF,2015
Jackson Sousa,W,Pts: 8x2,World Pro,95KG,F,2015
Luiz Panza,W,Toe hold,World Pro,ABS,R1,2015
Marcelo Bernardo,W,"Pts: 0x0, Adv",World Pro,ABS,R2,2015
Keenan Cornelius,L,"Pts: 2x2, Adv",World Pro,ABS,1/4F,2015
Maks Wi?niewski,W,Choke from back,Copa Podio,95KG,GP,2015
Eduardo Inojosa,W,Choke from back,Copa Podio,95KG,GP,2015
Delson Heleno,W,Pts: 7x3,Copa Podio,95KG,GP,2015
V. Honorio,L,"Pts: 0x0, Adv",Copa Podio,95KG,GP,2015
Tim Spriggs,W,Pts: 2x0,Copa Podio,95KG,SF,2015
V. Honorio,W,Choke from back,Copa Podio,95KG,F,2015
Roberto Alencar,W,Pts: 3x0,ADCC,99KG,R1,2015
Jimmy Friedrich,W,Reverse triangle,ADCC,99KG,1/4F,2015
Joao Assis,W,Pts: 9x0,ADCC,99KG,SF,2015
Rodolfo Vieira,L,Referee Decision,ADCC,99KG,F,2015
Roberto Torralbas,W,Kneebar,NoGi Worlds,94KG,1/4F,2015
Arnaldo Maidana,W,Ezekiel,NoGi Worlds,94KG,SF,2015
Jackson Sousa,W,Pts: 2x0,NoGi Worlds,94KG,F,2015
