Opponent,W/L,Method,Competition,Weight,Stage,Year
Victor Silverio;L;Referee Decision;SP Open;82KG;SF;2014
Diego Vivaldo;L;Points;Pretorian Fight;NA;SPF;2014
Rafael Nicholas;L;Pts: 4x4, Adv;Brazil Nat. Pro;85KG;SF;2015
FÃ¡bio Pulita;L;Referee Decision;Gramado Trials;85KG;F;2015
Leandro Lo;L;Cross choke;Pan American;82KG;1/4F;2015
Claudio Calasans;L;Pts: 0x0, Pen;ADCC SP;88KG;F;2015
Augusto Carsalade;L;Choke from back;Brasileiro;82KG;1/4F;2015
Renato Cardoso;L;Triangle;Brasileiro;ABS;1/4F;2015
Jake Mackenzie;L;Kimura;SP Open;82KG;F;2015
Rodrigo Ribeiro;L;RNC;SP Open;ABS;1/4F;2015
Wellington Luis;L;Pts: 0x0, Adv;Brazil Nat. Pro;77KG;F;2015
Paulo Miyao;L;Points;Brazil Nat. Pro;U77KG;SF;2015
Gabriel Rollo;L;Pts: 5x2;Desafio UK;82KG;RR;2015
Claudio Mattos;D;N/A;Desafio UK;82KG;RR;2015
Jhonny Loureiro;L;Pts: 4x4, Adv;Floripa Open;82KG;F;2015
Otavio Natali;L;Points;Floripa Open;ABS;SF;2015
Anderson Lira;L;Points;SP National Pro;77KG;SF;2015
Gabriel Rollo;L;Pts: 2x2, Adv;SP National Pro;ABS;F;2015
Jonathan Satava;L;Pts: 6x4;NoGi Worlds;82KG;1/4F;2015
Steven Patterson;L;Triangle;NoGi Worlds;ABS;R1;2015
Vinicius Marinho;L;Pts: 2x2, Adv;South American;82KG;SF;2015
AJ Sousa;L;Pts: 4x2;Copa Podio;77KG;GP;2016
Lucas Lepri;L;Kimura;Copa Podio;77KG;GP;2016
Davi Ramos;L;Pts: 2x0;Copa Podio;77KG;GP;2016
Leandro Lo;L;Pts: 7x0;Copa Podio;77KG;GP;2016
Vitor Oliveira;L;Pts: 4x2;Pan American;82KG;1/4F;2016
Erberth Santos;L;Toe hold;Sul Brasileiro;ABS;F;2016
AJ Agazarm;L;Pts: 2x0;World Pro;77KG;1/8F;2016
