Opponent,W/L,Method,Competition,Weight,Stage,Year
Vinny Magalhaes;L;Pts: 2x2, Adv;Copa Podio;95KG;GP;2015
Erberth Santos;L;Pts: 6x2;Copa Podio;95KG;GP;2015
Tim Spriggs;L;Pts: 5x0;Copa Podio;95KG;GP;2015
Patrick Gaudio;L;N/A;Rio Winter Open;ABS;SF;2016
Erberth Santos;L;Referee Decision;Sao Paulo Open;100KG;SF;2016
Cassio Francis;L;Pts: 0x0, Adv;NoGi Pan Ams;97KG;F;2016
Nelton Pontes;W;Pts: 0x0, Adv;Copa Podio;95KG;GP;2015
Marcos Goulart;W;Choke from back;Rio Winter Open;94KG;1/4F;2016
Leonardo Maciel;W;Ezekiel;Rio Winter Open;94KG;SF;2016
Vitor Toledo;W;Referee Decision;Rio Winter Open;94KG;F;2016
Helvecio Penna;W;Choke from back;Gramado Open;94KG;SF;2016
Giovanne Guedes;W;Ezekiel;Gramado Open;94KG;F;2016
Unknown;W;Ezekiel;Gramado Open;ABS;1/4F;2016
Caio Almeida;W;Choke from back;Gramado Open;ABS;SF;2016
Rodrigo Fajardo;W;Pts: 2x0;Gramado Open;ABS;F;2016
Fernando Fernandes;W;Triangle;Sao Paulo Open;100KG;1/4F;2016
