Opponent,W/L,Method,Competition,Weight,Stage,Year
Matt Serra,L,Points,Pro Am,77KG,SF,2000
Vitor Shaolin,L,Pts: 2x0,World Champ.,82KG,F,2001
Bruno Severiano,L,Adv,Pan American,82KG,F,2001
Daniel Moraes,L,Pts: 2x0,ADCC Trials,77KG,1/4F,2003
Otto Olsen,L,Points,ADCC,77KG,1/4F,2003
Ronaldo Souza,L,Pts: 6x0,Pan American,ABS,F,2004
Fabricio Werdum,L,Points,World Champ.,O100KG,F,2004
Roger Gracie,L,Cross choke,World Champ.,ABS,SF,2004
Alexandre Dantas,L,Points,Estadual RJ,ABS,1/4F,2004
Claudio Calasans,L,DQ,European Open,82KG,F,2013
Vinicius Marinho,L,Pts: 7x2,Copa Podio,82KG,SPF,2013
Nino Schembri,W,Pts: 2x0,World Champ.,82KG,F,2000
Leonardo Santos,W,Pts: 4x0,Rio x Sao Paulo,75KG,SPF,2000
Marcio Cruz,W,Pts: 6x5,Brasileiro,ABS,F,2001
Paulo Coelho,W,Pts: 8x0,World Champ.,82KG,1/4F,2001
Bruno Bastos,W,Choke from back,World Cup,ABS,NA,2002
Ze Marcello,W,Cross choke,World Cup,82KG,F,2002
Bruno Bastos,W,Choke from back,World Cup,ABS,NA,2002
Ze Marcello,W,Cross choke,World Cup,82KG,F,2002
Jefferson Moura,W,Pts: 0x0, Adv,Team Nationals,O88KG,F,2002
Unknown,W,Points,ADCC Trials,77KG,R1,2003
Jussi Tammelin,W,Pts: 5x0,ADCC,77KG,R1,2003
Adriano Pires,W,Triangle,World Champ.,82KG,R1,2003
Rafael Branco,W,Pts: 8x0,World Champ.,82KG,1/4F,2003
Eduardo Santoro,W,Adv,World Champ.,82KG,SF,2003
Marcelo Garcia,W,Triangle,World Champ.,82KG,F,2003
Nelson Junior,W,Points,World Cup,82KG,1/4F,2003
Ricardo Bastos,W,Points,World Cup,82KG,SF,2003
Fabio Nascimento,W,Pts: 4x0,BB Challenge 3,82KG,SPF,2004
Eduardo Rios,W,Choke from back,Golden Cup,82KG,1/4F,2004
Bruno Proenca,W,Triangle,Golden Cup,82KG,SF,2004
Ze Roberto,W,Flying triangle,Golden Cup,82KG,F,2004
Alan Zborovsky,W,Choke,Pan American,82KG,1/4F,2004
Fabiano Victorino,W,Choke,Pan American,82KG,SF,2004
Paulo Guillobel,W,Points,Pan American,82KG,F,2004
Ricardo Barros,W,Pts: 5x2,Pan American,ABS,1/8F,2004
Alan Zborovsky,W,Points,Pan American,ABS,1/4F,2004
Roberto Agnase,W,Points,World Champ.,O100KG,1/4F,2004
Marco Villela,W,Points,World Champ.,O100KG,SF,2004
Leonardo Ramos,W,N/A,World Champ.,ABS,1/4F,2004
Jose Alves,W,Wristlock,World Cup,82KG,1/4F,2004
Silvio Proenca,W,Pts: 2x0,World Cup,82KG,SF,2004
Cassio Werneck,W,Pts: 2x0,World Cup,82KG,F,2004
Marcelo Garcia,W,Pts: 4x0,Japan Open,82KG,SPF,2004
Charles Negromonte,W,Points,European Open,82KG,1/4F,2013
Vitor Shaolin,W,Referee Decision,Polaris 4,82KG,SPF,2016
