Opponent,W/L,Method,Competition,Weight,Stage,Year
Paulo Miyao,L,Adv,World Pro Trial,70KG,F,2014
Victor Silverio,D,N/A,Copa Podio,77KG,GP,2014
Gilbert Burns,L,Pts: 2x0,Copa Podio,77KG,GP,2014
Paulo Miyao,L,Pts: 8x8, Adv,Grand Slam - Rio,69KG,F,2015
V. Silva,L,Submission,Grand Slam - Rio,ABS,R1,2015
Bibiano Fernandes,W,Pts: 4x2,World Champ.,64KG,F,2004
Gilson Nunes,W,Points,Amazon Meeting,70KG,SPF,2011
Gabriel Wilcox,W,Pts: 4x0,World Pro.,64KG,1/4F,2012
Bruno Lopes,W,Choke,World Pro.,64KG,SF,2012
Thiago Barreto,W,Adv,World Pro.,64KG,F,2012
Elton Tadeu,W,Submission,World Pro Trial,70KG,SF,2014
M. Andre,W,Pts: 6x2,Copa Podio,77KG,GP,2014
Gianni Grippo,D,---,Copa Podio,77KG,GP,2014
Laercio Barbosa,W,Choke,Grand Slam - Rio,69KG,1/8F,2015
Victor Morais,W,Bow and arrow,Grand Slam - Rio,69KG,1/4F,2015
Isaque Paiva,W,Pts: 11x4,Grand Slam - Rio,69KG,SF,2015
