Opponent,W/L,Method,Competition,Weight,Stage,Year
Rodrigo Comprido;L;Pts: 2x0;World Champ.;ABS;F;2000
Roberto Roleta;L;Pts: 4x0;World Champ.;88KG;F;2000
Eduardo Jamelao;L;Pts: 8x2;Rickson Cup;ABS;GP;2000
Nino Schembri;L;Pts: 5x0;Rio x Sao Paulo;ABS;SPF;2000
Ronaldo Souza;L;Points;ADCC Trials;88KG;NA;2003
David Terrell;L;Points;ADCC;88KG;1/4F;2003
Ronaldo Souza;L;Pts: 7x0;World Cup;ABS;F;2004
Alexandre Ribeiro;L;Pts: 9x2;World Cup;O75KG;SF;2005
Roger Gracie;L;Choke from back;World Champ.;100KG;SF;2005
Roger Gracie;L;Pts: 9x5;World Champ.;ABS;1/4F;2007
Francisco Mello;W;Armbar;World Champ.;ABS;R1;2000
Flavio Almeida;W;Baseball choke;World Champ.;ABS;R2;2000
Alexandre Dantas;W;Armbar;World Champ.;ABS;1/4F;2000
Leonardo Leite;W;Pts: 9x2;World Champ.;ABS;SF;2000
Flavio Almeida;W;Points;World Champ.;88KG;SF;2000
Leo Dalla;W;Pts: 7x0;Rickson Cup;ABS;GP;2000
Flavio Almeida;W;Pts: 14x0;Rickson Cup;ABS;GP;2000
Nino Schembri;W;Injury;Rickson Cup;ABS;F;2000
Paulo Streckert;W;Choke;World Champ.;ABS;R1;2001
Adriano Maciel;W;Armbar;World Champ.;ABS;R2;2001
Leo Dalla;W;Armbar;World Champ.;ABS;1/4F;2001
Rodrigo Comprido;W;Pts: 13x8;World Champ.;ABS;SF;2001
Saulo Ribeiro;W;Pts: 2x0;World Champ.;ABS;F;2001
Marcos Sheffer;W;Points;World Champ.;88KG;1/4F;2001
Leandro Borgo;W;Points;World Champ.;88KG;SF;2001
Saulo Ribeiro;W;Baseball choke;World Champ.;88KG;F;2001
Adriano Maciel;W;Submission;Pan American;94KG;1/4F;2001
Fabio Leopoldo;W;Submission;Pan American;94KG;SF;2001
Fabio Gurgel;W;Cross choke;Pan American;94KG;F;2001
Unknown;W;Points;ADCC Trials;88KG;NA;2003
Robert Sulski;W;Points;ADCC;88KG;R1;2003
Ronirlei Souza;W;Armbar;World Cup;ABS;R1;2004
Alexandre Ribeiro;W;Pts: 2x2, Adv;World Cup;ABS;1/4F;2004
Marcel Louzado;W;Pts: 12x2;World Cup;ABS;SF;2004
Wellington Araujo;W;Armbar;World Cup;94KG;1/4F;2004
Saulo Ribeiro;W;Pts: 4x2;World Cup;94KG;SF;2004
Eduardo Telles;W;Toe hold;World Cup;94KG;F;2004
Roberto Piasa;W;Wristlock;World Cup;94KG;1/4F;2005
Rafael Louzada;W;Armbar;World Cup;94KG;SF;2005
Fabio Trindade;W;Submission;World Cup;O75KG;1/4F;2005
Vitor Hugo;W;Guillotine;World Champ.;100KG;R1;2005
Eduardo Telles;W;Adv;World Champ.;100KG;1/4F;2005
Marcio Cruz;W;Armbar;Yamasaki Cup;ABS;SPF;2005
T. Gaia;W;Armbar;World Champ.;ABS;R1;2007
