Opponent,W/L,Method,Competition,Weight,Stage,Year
Renan Borges,L,Loop choke,Boston Summer O.,76KG,F,2013
Vitor Oliveira,L,Pts: 0x0, Adv,IBJJF Pro League,82KG,SF,2013
JT Torres,L,Adv,Pan American,76KG,1/4F,2014
M. Perez,L,Referee Decision,FIVE Cali. 2,77KG,SF,2014
Arnaldo Maidana,L,Adv,FIVE Cali. 2,ABS,1/4F,2014
Celso Vinicius,L,Pts: 5x2,World Champ.,76KG,R1,2014
JT Torres,L,Points,American Nat.,82KG,F,2014
Josh Hinger,L,DQ,Am. Nat. NoGi,82KG,SF,2014
Josh Hinger,L,Pts: 11x0,Am. Nat. NoGi,ABS,1/4F,2014
Vitor Oliveira,L,Points,No Gi Pan Am.,79KG,SF,2014
Vitor Oliveira,L,Pts: 4x2,IBJJF Pro League,82KG,F,2014
Davi Ramos,L,Pts: 2x0,European,82KG,SF,2015
Felipe Cesar,L,Pts: 4x2,Pan American,82KG,R1,2015
Rafael Rosendo,L,N/A,NY Spring Open,82KG,SF,2015
Murilo Santana,L,Katagatame,Boston Spring Open,ABS,F,2015
Jaime Canuto,L,Armbar,World Champ.,82KG,1/8F,2015
Jonathan Satava,L,Pts: 5x2,NY Summer Open,82KG,F,2015
Thiago Gaia,L,Referee Decision,NoGi Worlds,76KG,1/4F,2015
Felipe Cesar,L,Pts: 0x0, Adv,UAEJJF NYC Pro,77KG,F,2016
Felipe Cesar,L,Pts: 2x2, Adv,UAEJJF NYC Pro,LWABS,F,2016
Edwin Najmi,L,Estima lock,Pan American,76KG,F,2016
JT Torres,L,Pts: 0x0, Adv,World Champ.,76KG,1/4F,2016
Joao Rocha,L,RNC,US Open,ABS,F,2016
Jonathan Satava,L,Pts: 2x0,NoGi Worlds,79KG,SF,2016
Bricklin Welch,W,N/A,Chicago S. Open,76KG,SF,2013
P. Della Monica,W,Pts: 0x0, Adv,Chicago S. Open,76KG,F,2013
Keith Florian,W,Points,Boston Summer O.,76KG,SF,2013
Kenny Baker,W,RNC,NoGi Pan American,79KG,1/4F,2013
Daniel Tavares,W,Kneebar,NoGi Pan American,79KG,SF,2013
Vitor Oliveira,W,RNC,NoGi Pan American,79KG,F,2013
Pilo Stylin,W,Bow and arrow,European,76KG,1/4F,2014
AJ Agazarm,W,Points,European,76KG,SF,2014
Ruy Frade,W,Points,World Champ.,76KG,R1,2014
Bruno Sena,W,N/A,Boca Raton Open,76KG,SF,2014
Rafael Pereira,W,Pts: 10x0,Boca Raton Open,76KG,F,2014
Josh Hinger,W,Adv,American Nat.,82KG,SF,2014
Otavio Sousa,W,Pts: 2x0,IBJJF Pro League,82KG,SF,2014
Paulo Schauffler,W,Pts: 14x0,European,82KG,R2,2015
Luca Anacoreta,W,Choke,European,82KG,1/4F,2015
Caio Almeida,W,N/A,NY Spring Open,82KG,1/4F,2015
Kevin Mahecha,W,Choke,NY Spring Open,ABS,1/4F,2015
Jeferson Pereira,W,N/A,NY Spring Open,ABS,SF,2015
Tim Spriggs,W,DQ,NY Spring Open,ABS,F,2015
Mansher Khera,W,N/A,Boston Spring Open,ABS,SF,2015
Greg McIntyre,W,Armbar,Metamoris 6,ABS,SPF,2015
Marcos Tinoco,W,Points,NY Summer Open,82KG,SF,2015
Issa Able,W,Armbar,Seattle Open,76KG,SF,2015
Kim Terra,W,Armbar,Seattle Open,76KG,F,2015
Rafael Benedito,W,Pts: 2x2, Adv,NoGi Worlds,76KG,1/8F,2015
Daniel Rivas,W,RNC,F2W Pro 2,ABS,SPF,2016
Jason Rau,W,N/A,UAEJJF NYC Pro,77KG,SF,2016
Charles Murdock,W,Choke,UAEJJF NYC Pro,LWABS,SF,2016
Luis Lima,W,Choke from back,Pan American,76KG,1/8F,2016
AJ Sousa,W,Pts: 4x2,Pan American,76KG,1/4F,2016
Gabriel Rollo,W,Pts: 2x2, Adv,Pan American,76KG,SF,2016
Antonio Mugnaimi,W,Choke from back,World Champ.,76KG,R1,2016
Rafael Barbosa,W,Pts: 7x0,US Open,82KG,RR,2016
Manny Gonzales,W,Kneebar,US Open,82KG,RR,2016
Sergio Ardilla-Ibarra,W,Pts: 0x0, Adv,NoGi Worlds,79KG,R1,2016
Lachlan Giles,W,Pts: 8x4,NoGi Worlds,79KG,1/4F,2016
