Opponent,W/L,Method,Competition,Weight,Stage,Year
Robson Moura;L;Points;Rio x Sao Paulo;NA;SPF;2000
Joe Guilbert;L;Pen;ADCC;66KG;R1;2001
Mario Reis;L;Triangle;World Champ.;70KG;SF;2003
Mario Reis;L;Pts: 2x0;World Champ.;70KG;F;2004
Leonardo Santos;L;Pts: 5x0;GP Blackbelt;70KG;SF;2004
Wellington Dias;L;Points;Pan American;70KG;1/4F;2007
Bill Cooper;L;Points;GQ UFC Expo;ABS;SF;2012
Jeff Glover;L;Points;UFC Expo;70KG;SPF;2013
Romulo Caiado;L;DQ;Fightblok;ABS;SPF;2015
Fredson Alves;W;Points;World Champ.;70KG;F;2001
Eduardo Leitao;W;Wristlock;World Champ.;70KG;R1;2002
Admilson Brites;W;N/A;World Champ.;70KG;1/4F;2002
Ricardo De La Riva;W;Pts: 2x0;World Champ.;70KG;SF;2002
Anderson Bezerra;W;Choke;World Champ.;70KG;F;2002
Gabriel Wilcox;W;Choke from back;World Champ.;70KG;R1;2003
Fredson Alves;W;Choke from back;World Champ.;70KG;1/4F;2003
Reinaldo Ribeiro;W;Pts: 0x0, Adv;BB Challenge 3;70KG;SPF;2004
Gabriel Wilcox;W;Points;Brasileiro;70KG;SF;2004
Fredson Alves;W;Pts: 2x0;Brasileiro;70KG;F;2004
Luciano Nutti;W;Pts: 8x2;GP Blackbelt;70KG;1/4F;2004
Mario Reis;W;Armbar;World Champ.;70KG;F;2005
