Opponent,W/L,Method,Competition,Weight,Stage,Year
Jackson Sousa;L;Toe hold;European Open;ABS;R2;2016
Alan Finfou;L;DQ;PNBJJC;88KG;GP;2016
Leandro Lo;L;Pts: 12x6;Pan American;88KG;1/4F;2016
Bernardo Faria;L;Dogbar;Pan American;ABS;1/4F;2016
Otavio Sousa;L;Botinha;BJJ Pro LA;82KG;SF;2016
Lucas Barbosa;W;Pts: 6x4;Irvine Open;88KG;RR;2015
Lucas Barbosa;W;Pts: 2x2, Adv;Irvine Open;88KG;F;2015
Carlos Farias;W;Adv;Irvine Open;ABS;1/4F;2015
Lucas Barbosa;W;Pts: 8x6;Irvine Open;ABS;SF;2015
Jurandir Vieira;W;Pts: 8x4;European Open;88KG;R1;2016
Tero Pyylampi;W;Pts: 14x6;European Open;88KG;1/4F;2016
Patrick Gaudio;W;Referee Decision;European Open;88KG;SF;2016
Luca Anacoreta;W;Pts: 4x4, Adv;PNBJJC;88KG;GP;2016
Gregorio Thomaz;W;Armbar;PNBJJC;88KG;GP;2016
Manuel Diaz;W;Pts: 16x0;Pan American;88KG;1/8F;2016
Arnaldo Maidana;W;Pts: 10x4;Pan American;ABS;R2;2016
Pedro Moura;W;Referee Decision;Pan American;ABS;1/8F;2016
Andre Almeida;W;Toe hold;World Pro;77KG;R1;2016
Sam Gibson;W;Pts: 8x0;World Pro;77KG;1/8F;2016
Cesar Miyahira;W;Pts: 2x0;World Pro;77KG;1/4F;2016
Jhonny Loureiro;W;Pts: 3x2;World Pro;77KG;SF;2016
Roberto Satoshi;W;Pts: 6x2;World Pro;77KG;F;2016
Manuel Ribamar;W;Pts: 8x8, Adv;World Champ.;82KG;R2;2016
Celso Vinicius;W;Pts: 8x7;World Champ.;82KG;1/8F;2016
Claudio Calasans;W;Kneebar;World Champ.;82KG;1/4F;2016
Marcos Tinoco;W;Kneebar;World Champ.;82KG;SF;2016
Alan Finfou;W;Referee Decision;Berkut 3;ABS;SPF;2016
Lucas Barbosa;W;Pts: 4x2;Grand Slam - LA;85KG;SF;2016
Otavio Sousa;W;Pts: 2x0;Grand Slam - LA;85KG;F;2016
Gottrell King;W;Kneebar;Las Vegas Pro;85KG;SF;2016
Nathan Mendelsohn;W;Kneebar;Las Vegas Pro;85KG;F;2016
Yongam Noh;W;Pts: 2x2, Adv;Grand Slam Tokyo;85KG;SF;2016
Faisal AlKitbe;W;Pts: 2x0;Grand Slam Tokyo;85KG;F;2016
