Opponent,W/L,Method,Competition,Weight,Stage,Year
AJ Agazarm,L,Pts: 9x0,Brasileiro NoGi,ABS,SF,2013
Andre Galvao,L,Inverted armbar,Pan American,O100KG,1/4F,2014
Yuri Simoes,L,Pts: 2x0,No Gi Worlds,O100KG,F,2014
Jaime Canuto,L,Adv,Copa Cachoeira,ABS,NA,2014
Igor Silva,L,Pts: 11x2,European,O100KG,SF,2015
Alexandre Sousa,L,Pts: 2x2, Adv,Gramado Trials,O95KG,SF,2015
Yuri Simoes,L,Pts: 10x2,Pan American,ABS,R3,2015
Evandro Nunes,L,Triangle,Pan American,O100KG,R1,2015
Kaue Damasceno,L,Points,Brasileiro,O100KG,R1,2015
Jared Dopp,L,Pts: 2x0,ADCC,O99KG,R1,2015
Claudio Calasans,L,Referee Decision,ADCC,ABS,R1,2015
R. Evangelista,L,Referee Decision,Grand Slam - Rio,O94KG,SF,2015
Andre Campos,L,Pts: 2x0,Grand Slam - Rio,O94KG,3RD,2015
Andre Campos,L,Submission,Grand Slam - Rio,ABS,1/8F,2015
Dany Gerard,L,Referee Decision,World Pro,O94KG,R1,2016
Carlos Farias,L,Referee Decision,World Champ.,ABS,R1,2016
Otavio Serafim,L,Pts: 0x0, Adv,SP BJJ Pro,O94KG,R1,2016
Nelton Pontes,L,Pts: 2x0,Copa Podio,105KG,RR,2016
Diego Borges,L,Pts: 4x0,Copa Podio,105KG,RR,2016
Alexander Trans,L,Pts: 9x0,Copa Podio,105KG,RR,2016
Otavio Serafim,W,Points,Brasileiro NoGi,O100KG,F,2013
Alessandro Silva,W,Points,Pan American,O100KG,R1,2014
Unknown,W,Kimura,Rio Open,O100KG,SF,2014
Kitner Moura,W,Pts: 5x2,Rio Open,O100KG,F,2014
Kitner Moura,W,Adv,SP Open NoGi,O100KG,F,2014
Leonardo Moura,W,Kimura,Mundial CBJJE,O100KG,F,2014
Abraham Marte,W,Pts: 3x0,No Gi Pan Am.,O100KG,F,2014
Paulo Vitor,W,N/A,No Gi Worlds,O100KG,1/4F,2014
Rodrigo Comprido,W,Referee Decision,No Gi Worlds,O100KG,SF,2014
Cassio Francis,W,Pts: 3x0,Rio BJJ Pro,O94KG,SF,2014
Felipe Bueno,W,Adv,Rio BJJ Pro,O94KG,F,2014
Andre Campos,W,Pts: 2x0,South American,O100KG,F,2014
Takashi Haguihara,W,Armbar,European,O100KG,1/4F,2015
Unknown,W,Armbar,Gramado Trials,O95KG,1/4F,2015
Eduardo Inojosa,W,Pts: 2x0,Gramado Trials,ABS,SF,2015
Igor Ribeiro,W,Adv,Gramado Trials,ABS,F,2015
Victor Estima,W,Adv,Pan American,ABS,R2,2015
Alexandro Ferreira,W,Points,ADCC SP,O99KG,SF,2015
Gilmar Oliveira,W,Points,ADCC SP,O99KG,F,2015
Leo Davila,W,Choke from back,World Champ.,O100KG,1/8F,2015
R. Evangelista,W,Pts: 0x0, Adv,World Champ.,O100KG,F,2015
Pedro Moura,W,Adv,Brazil Nat. Pro,O77KG,SF,2015
Igor Schneider,W,Pts: 6x0,Brazil Nat. Pro,O77KG,F,2015
John Fain,W,Pts: 4x0,NoGi Worlds,O100KG,1/4F,2015
Gustavo Elias,W,Pts: 2x2, Adv,NoGi Worlds,O100KG,SF,2015
Mahamed Aly,W,Pts: 2x2, Adv,NoGi Worlds,O100KG,F,2015
Marcos Conrado,W,Submission,Grand Slam - Rio,O94KG,1/8F,2015
Igor Schneider,W,Pts: 0x0, Adv,Grand Slam - Rio,O94KG,1/4F,2015
N. Guimaraes,W,Reverse triangle,Grand Slam - Rio,ABS,R1,2015
Rodrigo Cavaca,W,Pts: 3x2,Copa Podio,105KG,RR,2016
