Opponent,W/L,Method,Competition,Weight,Stage,Year
Samuel Braga,L,Referee Decision,World Champ.,57KG,F,2005
Ivaniel Oliveira,L,Choke,World Champ.,57KG,1/4F,2006
Guilherme Mendes,L,Pts: 4x0,Brasileiro,64KG,F,2010
Ary Farias,L,Pts: 2x0,Brasileiro,64KG,F,2011
Henrique Rezende,L,Points,NoGi Worlds,64KG,SF,2012
Caio Terra,L,Pts: 0x0, Adv,IBJJF Pro League,70KG,F,2013
Paulo Miyao,L,Points,World Champ.,64KG,SF,2014
Joao Miyao,L,Points,Santa Cruz Pro,70KG,F,2015
Joao Miyao,L,Pts: 2x0,Pan American,64KG,F,2016
Ary Farias,L,Pts: 2x0,World Champ.,64KG,1/4F,2016
Geremias Maia,W,Pts: 7x0,World Champ.,57KG,F,2004
Jeremias Maia,W,Pts: 16x2,Brasileiro,57KG,F,2005
Samuel Braga,W,Pts: 3x2,World Cup,57KG,F,2005
Daniel Otero,W,Pts: 4x2,Brasileiro,57KG,F,2006
Gabriel Wilcox,W,Pts: 6x4,World Champ.,64KG,1/4F,2013
Daniel Beleza,W,Referee Decision,World Champ.,64KG,SF,2013
Ary Farias,W,Adv,World Champ.,64KG,F,2013
Laercio Fernandes,W,Pts: 2x0,IBJJF Pro League,70KG,SF,2013
Yushuto Yamada,W,Points,World Champ.,64KG,RDS,2014
Thomas Lisboa,W,Pts: 11x2,World Champ.,64KG,1/4F,2014
Kim Terra,W,Points,Santa Cruz Pro,70KG,SF,2015
Luis Felipe Pinto,W,Cross choke,Irvine Open,64KG,SF,2015
Gustavo Carpio,W,Choke,Irvine Open,64KG,F,2015
Kazuhiro Miyachi,W,Pts: 7x2,Pan American,64KG,R1,2016
Gabriel Marangoni,W,Clock choke,Pan American,64KG,1/4F,2016
Hiago George,W,Referee Decision,Pan American,64KG,SF,2016
Alex Lira,W,N/A,Las Vegas Open,64KG,SF,2016
Rafael Freitas,W,Americana,Las Vegas Open,64KG,F,2016
Mayko Borges,W,Pts: 7x0,World Champ.,64KG,R2,2016
