Opponent,W/L,Method,Competition,Weight,Stage,Year
Andre Galvao;L;Points;Super Challenge;ABS;1/4F;2007
Alexandre Ribeiro;L;Points;World Champ.;ABS;SF;2008
Braga Neto;L;Pts: 2x2, Adv;NoGi Worlds;ABS;F;2008
Bernardo Faria;L;Pts: 2x0;Pan American;ABS;1/4F;2010
Ricardo Abreu;L;Pts: 2x0;World Pro.;O92KG;F;2010
Antonio Peinado;L;Points;Pan American;O100KG;SF;2011
DJ Jackson;L;Pts: 2x0;Pan American;ABS;R2;2013
Hugo Carioni;W;Baseball choke;World Champ.;100KG;R1;2002
Lucio Linhares;W;Cross choke;World Champ.;100KG;1/4F;2002
Roberto Tozi;W;Baseball choke;World Champ.;100KG;SF;2002
Adriano Maciel;W;Pts: 2x0;BB Challenge 3;100KG;SPF;2004
Eduardo Telles;W;Pts: 0x0, Adv;Pan American;94KG;SF;2004
Eduardo Telles;W;Referee Decision;Super Challenge;ABS;R1;2007
Eduardo Paulista;W;Points;World Champ.;O100KG;R1;2008
Daniel Aguilar;W;Armbar;World Champ.;ABS;R1;2008
Andre Freitas;W;Pts: 7x0;NoGi Worlds;O100KG;1/4F;2008
Bruno Paulista;W;Referee Decision;NoGi Worlds;O100KG;SF;2008
Rodrigo Cavaca;W;Pts: 2x0;NoGi Worlds;O100KG;F;2008
Fabricio Werdum;W;Points;Capital Challenge;O99KG;SF;2008
Charles Cachoeira;W;Points;Capital Challenge;O99KG;F;2008
Charles Cachoeira;W;Points;Brasileiro;ABS;SF;2009
Marcel Fortuna;W;Pts: 2x0;World Champ.;O100KG;1/4F;2009
Andre Freitas;W;Pts: 8x0;World Champ.;O100KG;SF;2009
Rodrigo Cavaca;W;Pts: 0x0, Adv;World Champ.;O100KG;F;2009
Luiz Theodoro;W;Adv;Pan American;O100KG;F;2010
Matt Jubera;W;N/A;Pan American;ABS;R1;2013
