Opponent,W/L,Method,Competition,Weight,Stage,Year
Ana Cordeiro;L;Points;Pan American;ABS;SF;2009
Lana Stefanac;L;Pts: 16x0;World Champ.;ABS;SF;2009
Mackenzie Dern;L;Pts: 0x0, Pen;World Pro;ABS;SF;2015
Jessica Oliveira;L;Referee Decision;ADCC;O60KG;SF;2015
Maria do Carmo;W;Choke;World Champ.;O79KG;F;2008
Luzia Fernandes;W;Pts: 8x2;World Pro.;O63KG;F;2010
Luzia Fernandes;W;Pts: 4x2;World Pro.;O72KG;F;2010
Talita Nogueira;W;Clock choke;WLPJJ;ABS;F;2010
Katrina Weilbacher;W;Pts: 7x0;World Champ.;O79KG;F;2010
Beatriz Mesquita;W;Americana;European;ABS;SF;2011
Fabiana Borges;W;Pts: 2x0;Pan American;ABS;F;2011
Tammy Griego;W;Pts: 4x2;Pan American;O79KG;F;2011
Unknown;W;Americana;World Pro.;O72KG;RDS;2011
Penny Thomas;W;Pts: 6x0;World Pro.;O72KG;F;2011
Penny Thomas;W;Americana;World Champ.;ABS;SF;2011
Emily Wetzel;W;Shoulder Pressure;World Champ.;O79KG;F;2011
Bia Mesquita;W;Pts: 2x0;World Champ.;ABS;F;2011
Hanette Staack;W;Pts: 2x0;ADCC;O60KG;F;2011
Penny Thomas;W;Americana;ADCC;O60KG;SF;2011
Hannette Staack;W;Points;ADCC;O60KG;F;2011
M. Dern;W;Clock choke;Pan American;ABS;SF;2012
Emely Wetzel;W;Choke;Pan American;O79KG;F;2012
Maria Malyjasiak;W;Pts: 7x0;World Pro.;ABS;F;2012
Maria Malyjasiak;W;Points;World Pro.;O72KG;F;2012
Beatriz Mesquita;W;Pts: 3x2;World Pro.;ABS;F;2012
Talita Nogueira;W;Submission;World Champ.;ABS;1/4F;2012
Beatriz Mesquita;W;Pts: 0x0, Adv;World Champ.;ABS;SF;2012
Luiza Monteiro;W;Americana;World Champ.;ABS;F;2012
Fabiana Borges;W;Americana;Pan American;ABS;1/4F;2013
Mackenzie Dern;W;Clock choke;Pan American;ABS;SF;2013
Beatriz Mesquita;W;N/A;Pan American;ABS;F;2013
Beatriz Mesquita;W;Pts: 9x0;World Pro.;ABS;F;2013
Yurika Nakakura;W;Darce choke;ADCC;O60KG;1/4F;2013
Tammy Griego;W;Points;ADCC;O60KG;SF;2013
Fernanda Mazelli;W;N/A;ADCC;O60KG;F;2013
Janni Larsson;W;Kimura;World Pro.;ABS;F;2014
D. Obelenyte;W;Pts: 3x0;World Pro.;O72KG;F;2014
Beatriz Mesquita;W;Pts: 3x0;World Pro.;ABS;F;2014
Talita Nogueira;W;Americana;SP Open;O79KG;F;2014
Luiza Monteiro;W;Americana;SP Open;ABS;F;2014
Luiza Monteiro;W;Armbar;No Gi Worlds;ABS;SF;2014
Mackenzie Dern;W;Americana;No Gi Worlds;ABS;F;2014
Anna Louise Mayne;W;Armbar;European;ABS;1/4F;2015
Shanti Abelha;W;Choke;European;ABS;SF;2015
Mackenzie Dern;W;Clock choke;European;ABS;F;2015
Samuela Leite;W;Armbar;European;O79KG;SF;2015
Venla Luukkonen;W;Americana;European;O79KG;F;2015
Leanna Dittrich;W;Choke;Pan American;ABS;1/4F;2015
Luiza Monteiro;W;Choke;Pan American;ABS;SF;2015
Mackenzie Dern;W;Bread cutter;Pan American;ABS;F;2015
Maria Malyjasiak;W;Pts: 8x0;World Pro;O75KG;1/4F;2015
Unknown;W;Americana;World Pro;O75KG;SF;2015
Vanessa Oliveira;W;Pts: 0x0, Adv;World Pro;O75KG;F;2015
n/a;W;Americana;World Pro;ABS;R1;2015
Ana Cordeiro;W;Pts: 2x0;World Pro;ABS;R2;2015
Luanna Alzuguir;W;Points;World Pro;ABS;1/4F;2015
Beatriz Mesquita;W;Pts: 3x0;World Pro;ABS;3RD;2015
Alison Tremblay;W;Armbar;ADCC;O60KG;1/4F;2015
Amanda Santana;W;Referee Decision;ADCC;O60KG;3RD;2015
