Opponent,W/L,Method,Competition,Weight,Stage,Year
Joe Soto,L,Points,EBI 4,65KG,1/4F,2015
Bruno Frazatto,L,Pts: 2x0,ADCC,66KG,SF,2015
Augusto Mendes,L,Toe hold,ADCC,66KG,3RD,2015
Joao Miyao,L,Pts: 4x2,GT Open,ABS,SPF,2015
Bill Cooper,L,Armbar,EBI 7,65KG,SF,2016
James Santiago,W,RNC,ADCC US Trials,66KG,R1,2014
Unknown,W,Calf Slicer,ADCC US Trials,66KG,1/4F,2014
Mark Ramos,W,Kimura,ADCC US Trials,66KG,SF,2014
Ostap Manastyrski,W,Darce choke,ADCC US Trials,66KG,F,2014
Toni Pinedo,W,Heel hook,EBI,65KG,R1,2014
Erick Rios,W,Twister,EBI,65KG,1/4F,2014
Brandon Walenzki,W,Calf slicer,EBI,65KG,SF,2014
Jeff Glover,W,Points,EBI,65KG,F,2014
Javier Cardenez,W,Heel hook,EBI 2,61KG,R1,2014
Kerry Phan,W,RNC,EBI 2,61KG,1/4F,2014
Richard Alarcon,W,Calf slicer,EBI 2,61KG,SF,2014
Fabbio Passos,W,Calf slicer,EBI 2,61KG,F,2014
Sergio Perez,W,RNC,EBI 4,65KG,R1,2015
Alexandre Vieira,W,Armbar,ADCC,66KG,R1,2015
Jeff Glover,W,Pts: 5x0,ADCC,66KG,1/4F,2015
Luiz Tosta,D,---,Polaris 3,64KG,SPF,2016
Mike Main,W,Heel hook,EBI 7,65KG,R1,2016
Rafael Domingos,W,Triangle,EBI 7,65KG,1/4F,2016
Sergio Hernandez,W,Heel hook,Guatemala Open,ABS,SPF,2016
