Opponent,W/L,Method,Competition,Weight,Stage,Year
Rafael Mendes;L;Pts: 3x0;European;70KG;SF;2014
Otavio Sousa;L;Pts: 0x0, Adv;WP Montreal;ABS;SF;2014
M. Andre;D;N/A;Copa Podio;77KG;GP;2014
Gilbert Burns;L;Armbar;Copa Podio;77KG;GP;2014
Fernando Vieira;D;Pts: 2x2;Copa Podio;77KG;GP;2014
Rafael Mendes;L;Choke from back;World Champ.;70KG;1/4F;2014
Osvaldo Moizinho;L;Referee Decision;SF Open;ABS;SF;2014
Osvaldo Moizinho;L;Pts: 2x2, Adv;No Gi Pan Am.;70KG;SF;2014
Jackson Sousa;L;Pts: 2x0;No Gi Pan Am.;ABS;SF;2014
Osvaldo Moizinho;L;Referee Decision;No Gi Worlds;70KG;SF;2014
Augusto Mendes;L;Referee Decision;World Expo;ABS;SPF;2014
Samir Chantre;L;Adv;Las Vegas Open;70KG;F;2014
Joao Miyao;L;Pts: 6x4;NYC Pro;70KG;F;2014
Joao Miyao;L;Pen;Copa Podio;70KG;SPF;2014
Marcio Andre;L;Adv;European;70KG;F;2015
Magid Hage;L;Referee Decision;SF Open;ABS;SF;2015
Paulo Miyao;L;Adv;NY Spring Open;70KG;F;2015
Paulo Miyao;L;Pts: 9x2;Boston Spring Open;70KG;F;2015
Rubens Charles;L;Pts: 3x0;ADCC;66KG;1/4F;2015
Paulo Miyao;L;Referee Decision;NoGi Pan Ams;70KG;F;2015
Garry Tonon;L;Pts: 6x6, Adv;NoGi Pan Ams;ABS;SF;2015
Augusto Mendes;L;Pts: 2x0;NoGi Worlds;70KG;SF;2015
Kim Terra;L;Referee Decision;IBJJF NY Pro;70KG;F;2015
Bruno Frazatto;D;N/A;Polaris 3;70KG;SPF;2016
Rafael Mansur;L;Pts: 0x0, Adv;World Pro;69KG;1/8F;2016
Hiago George;L;Pts: 4x0;World Champ.;64KG;1/4F;2016
Marcio Andre;L;Pts: 2x2, Adv;NoGi Worlds;73KG;1/4F;2016
Unknown;W;Choke from back;European;70KG;1/4F;2014
Zachary Adamson;W;Points;Pan American;70KG;R1;2014
Isaque Paiva;W;Pts: 5x0;Pan American;70KG;1/4F;2014
Samir Chantre;W;Pts: 2x0;Pan American;70KG;SF;2014
Steven Barrett;W;Cross choke;NY Summer Op.;ABS;1/4F;2014
Eliot Kelly;W;Pts: 11x2;NY Summer Op.;ABS;SF;2014
Rodrigo Freitas;W;Referee Decision;NY Summer Op.;ABS;F;2014
Steven Barnett;W;Choke from back;NY Summer Op.;76KG;SF;2014
Rodrigo Freitas;W;N/A;NY Summer Op.;76KG;F;2014
D. Hemmings;W;Pts: 2x0;FIVE;70KG;SPF;2014
AJ Agazarm;W;Pts: 4x0;NY Spring Open;ABS;F;2014
Victor Silverio;D;---;Copa Podio;77KG;GP;2014
Osvaldo Moizinho;W;Pts: 2x0;World Pro.;70KG;R1;2014
S. Franceschini;W;Points;World Champ.;70KG;RDS;2014
Vugner Silva;W;Choke from back;World Champ.;70KG;RDS;2014
S. Franceschini;W;Armbar;World Pro.;70KG;3PLC;2014
Osvaldo Moizinho;W;Pts: 2x0;SF Open;70KG;F;2014
